"","ColA","ColB","ColC","ColD","ColE","ColF","ColG","ColH","ColI","ColJ","ColK","ColL"
"1",1,"1992-1993","Forest","Loss",0,0,0,0,0,0,0,0
"2",1,"1992-1993","Mosaic Vegetation","Loss",0,0,0,0,0,0,0,0
"3",1,"1992-1993","Shrubland","Loss",0,0,0,0,0,0,0,0
"4",1,"1992-1993","Other Vegetation","Loss",0,0,0,0,0,0,0,0
"5",1,"1992-1993","Cropland","Loss",0,0,0,0,0,0,0,0
"6",1,"1992-1993","Non-Vegetation","Loss",0,0,0,0,0,0,0,0
"7",2,"1993-1994","Forest","Loss",0,0,0,1,1,0,100,0
"8",2,"1993-1994","Mosaic Vegetation","Loss",0,0,0,0,0,0,100,0
"9",2,"1993-1994","Shrubland","Loss",0,0,0,0,0,0,100,0
"10",2,"1993-1994","Other Vegetation","Loss",0,0,0,0,0,0,100,0
"11",2,"1993-1994","Cropland","Loss",1,0.01,0,0,1,96.33,0,0
"12",2,"1993-1994","Non-Vegetation","Loss",0,0,0,0,0,0,100,0
"13",3,"1994-1995","Forest","Loss",2645,0.73,0.67,2442,203,7.67,0,0.08
"14",3,"1994-1995","Mosaic Vegetation","Loss",1,0,0.67,159,158,0,99.37,0.08
"15",3,"1994-1995","Shrubland","Loss",302,0.51,0.67,400,98,0,24.45,0.08
"16",3,"1994-1995","Other Vegetation","Loss",0,0,0.67,7,7,0,100,0.08
"17",3,"1994-1995","Cropland","Loss",5,0.03,0.67,118,113,0,95.76,0.08
"18",3,"1994-1995","Non-Vegetation","Loss",238,2.39,0.67,66,172,72.23,0,0.08
"19",4,"1995-1996","Forest","Loss",816,0.23,0.18,657,159,19.5,0,0.03
"20",4,"1995-1996","Mosaic Vegetation","Loss",0,0,0.18,44,44,0,100,0.03
"21",4,"1995-1996","Shrubland","Loss",37,0.06,0.18,109,72,0,66.1,0.03
"22",4,"1995-1996","Other Vegetation","Loss",0,0,0.18,2,2,0,100,0.03
"23",4,"1995-1996","Cropland","Loss",0,0,0.18,35,35,0,100,0.03
"24",4,"1995-1996","Non-Vegetation","Loss",11,0.11,0.18,18,7,0,38.17,0.03
"25",5,"1996-1997","Forest","Loss",1547,0.43,0.34,1209,338,21.82,0,0.07
"26",5,"1996-1997","Mosaic Vegetation","Loss",0,0,0.34,82,82,0,100,0.07
"27",5,"1996-1997","Shrubland","Loss",47,0.08,0.34,203,156,0,76.82,0.07
"28",5,"1996-1997","Other Vegetation","Loss",0,0,0.34,3,3,0,100,0.07
"29",5,"1996-1997","Cropland","Loss",1,0.01,0.34,65,64,0,98.46,0.07
"30",5,"1996-1997","Non-Vegetation","Loss",0,0,0.34,33,33,0,100,0.07
"31",6,"1997-1998","Forest","Loss",7292,2.04,1.58,5623,1669,22.89,0,0.35
"32",6,"1997-1998","Mosaic Vegetation","Loss",0,0,1.58,392,392,0,100,0.35
"33",6,"1997-1998","Shrubland","Loss",178,0.29,1.58,970,792,0,81.66,0.35
"34",6,"1997-1998","Other Vegetation","Loss",0,0,1.58,16,16,0,100,0.35
"35",6,"1997-1998","Cropland","Loss",0,0,1.58,317,317,0,100,0.35
"36",6,"1997-1998","Non-Vegetation","Loss",5,0.05,1.58,156,151,0,96.8,0.35
"37",7,"1998-1999","Forest","Loss",5480,1.56,1.18,4110,1370,25,0,0.29
"38",7,"1998-1999","Mosaic Vegetation","Loss",0,0,1.18,316,316,0,100,0.29
"39",7,"1998-1999","Shrubland","Loss",92,0.14,1.18,767,675,0,88,0.29
"40",7,"1998-1999","Other Vegetation","Loss",0,0,1.18,12,12,0,100,0.29
"41",7,"1998-1999","Cropland","Loss",1,0,1.18,251,250,0,99.6,0.29
"42",7,"1998-1999","Non-Vegetation","Loss",0,0,1.18,116,116,0,100,0.29
"43",8,"1999-2000","Forest","Loss",13016,3.77,2.77,9462,3554,27.3,0,0.75
"44",8,"1999-2000","Mosaic Vegetation","Loss",0,0,2.77,801,801,0,100,0.75
"45",8,"1999-2000","Shrubland","Loss",100,0.15,2.77,1929,1829,0,94.81,0.75
"46",8,"1999-2000","Other Vegetation","Loss",0,0,2.77,30,30,0,100,0.75
"47",8,"1999-2000","Cropland","Loss",3,0.01,2.77,620,617,0,99.52,0.75
"48",8,"1999-2000","Non-Vegetation","Loss",0,0,2.77,278,278,0,100,0.75
"49",9,"2000-2001","Forest","Loss",10743,3.24,2.33,7665,3078,28.65,0,0.65
"50",9,"2000-2001","Mosaic Vegetation","Loss",0,0,2.33,746,746,0,100,0.65
"51",9,"2000-2001","Shrubland","Loss",275,0.36,2.33,1826,1551,0,84.94,0.65
"52",9,"2000-2001","Other Vegetation","Loss",0,0,2.33,25,25,0,100,0.65
"53",9,"2000-2001","Cropland","Loss",0,0,2.33,538,538,0,100,0.65
"54",9,"2000-2001","Non-Vegetation","Loss",15,0.15,2.33,232,217,0,93.54,0.65
"55",10,"2001-2002","Forest","Loss",15321,4.77,3.25,10271,5050,32.96,0,1.07
"56",10,"2001-2002","Mosaic Vegetation","Loss",2,0.01,3.25,1155,1153,0,99.83,1.07
"57",10,"2001-2002","Shrubland","Loss",54,0.06,3.25,2813,2759,0,98.08,1.07
"58",10,"2001-2002","Other Vegetation","Loss",0,0,3.25,36,36,0,100,1.07
"59",10,"2001-2002","Cropland","Loss",0,0,3.25,776,776,0,100,1.07
"60",10,"2001-2002","Non-Vegetation","Loss",0,0,3.25,327,327,0,100,1.07
"61",11,"2002-2003","Forest","Loss",1482,0.48,0.37,1116,366,24.7,0,0.08
"62",11,"2002-2003","Mosaic Vegetation","Loss",20,0.05,0.37,139,119,0,85.62,0.08
"63",11,"2002-2003","Shrubland","Loss",209,0.22,0.37,348,139,0,39.89,0.08
"64",11,"2002-2003","Other Vegetation","Loss",0,0,0.37,4,4,0,100,0.08
"65",11,"2002-2003","Cropland","Loss",18,0.08,0.37,87,69,0,79.19,0.08
"66",11,"2002-2003","Non-Vegetation","Loss",0,0,0.37,36,36,0,100,0.08
"67",12,"2003-2004","Forest","Loss",13099,4.3,2.8,8395,4704,35.91,0,0.99
"68",12,"2003-2004","Mosaic Vegetation","Loss",8,0.02,2.8,1104,1096,0,99.28,0.99
"69",12,"2003-2004","Shrubland","Loss",143,0.15,2.8,2757,2614,0,94.81,0.99
"70",12,"2003-2004","Other Vegetation","Loss",0,0,2.8,32,32,0,100,0.99
"71",12,"2003-2004","Cropland","Loss",1,0,2.8,683,682,0,99.85,0.99
"72",12,"2003-2004","Non-Vegetation","Loss",0,0,2.8,280,280,0,100,0.99
"73",13,"2004-2005","Forest","Loss",824,0.28,0.2,585,239,29.06,0,0.05
"74",13,"2004-2005","Mosaic Vegetation","Loss",13,0.03,0.2,81,68,0,84.02,0.05
"75",13,"2004-2005","Shrubland","Loss",100,0.09,0.2,214,114,0,53.27,0.05
"76",13,"2004-2005","Other Vegetation","Loss",0,0,0.2,2,2,0,100,0.05
"77",13,"2004-2005","Cropland","Loss",1,0,0.2,48,47,0,97.93,0.05
"78",13,"2004-2005","Non-Vegetation","Loss",12,0.12,0.2,20,8,0,38.62,0.05
"79",14,"2005-2006","Forest","Loss",238,0.08,0.11,318,80,0,25.22,0.03
"80",14,"2005-2006","Mosaic Vegetation","Loss",12,0.03,0.11,45,33,0,73.11,0.03
