Interval*,Id*,Category_name,Observed_Annual_Gain_number_of_elements,Gain_Intensity_percent_of_t2_category,Uniform_Intensity_percent_of_interval_domain,Uniform_Annual_Gain_number_of_elements,Hypothesized_Annual_Error_number_of_elements,Commission_Intensity_percent_of_t2_category,Omission_Intensity_percent_of_t2_category,Hypothesized_t2_Error_percent_of_interval_domain
1,1,Forest,0,0.00,0.00,0,0,0.00,0.00,0.00
1,2,Mosaic Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
1,3,Shrubland,0,0.00,0.00,0,0,0.00,0.00,0.00
1,4,Other Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
1,5,Cropland,0,0.00,0.00,0,0,0.00,0.00,0.00
1,6,Non-Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
2,1,Forest,0,0.00,0.00,1,1,0.00,100.00,0.00
2,2,Mosaic Vegetation,0,0.00,0.00,0,0,0.00,100.00,0.00
2,3,Shrubland,0,0.00,0.00,0,0,0.00,100.00,0.00
2,4,Other Vegetation,0,0.00,0.00,0,0,0.00,100.00,0.00
2,5,Cropland,0,0.00,0.00,0,0,0.00,100.00,0.00
2,6,Non-Vegetation,1,0.01,0.00,0,1,97.89,0.00,0.00
3,1,Forest,215,0.06,0.67,2442,2227,0.00,91.20,0.48
3,2,Mosaic Vegetation,523,2.19,0.67,159,364,69.67,0.00,0.48
3,3,Shrubland,821,1.37,0.67,400,421,51.31,0.00,0.48
3,4,Other Vegetation,47,4.65,0.67,7,40,86.09,0.00,0.48
3,5,Cropland,1585,8.37,0.67,118,1467,92.57,0.00,0.48
3,6,Non-Vegetation,0,0.00,0.67,66,66,0.00,100.00,0.48
4,1,Forest,38,0.01,0.18,657,619,0.00,94.22,0.13
4,2,Mosaic Vegetation,219,0.91,0.18,44,175,80.05,0.00,0.13
4,3,Shrubland,328,0.55,0.18,109,219,66.73,0.00,0.13
4,4,Other Vegetation,0,0.00,0.18,2,2,0.00,100.00,0.13
4,5,Cropland,279,1.45,0.18,35,244,87.58,0.00,0.13
4,6,Non-Vegetation,0,0.00,0.18,18,18,0.00,100.00,0.13
5,1,Forest,1,0.00,0.34,1209,1208,0.00,99.92,0.26
5,2,Mosaic Vegetation,342,1.40,0.34,82,260,76.16,0.00,0.26
5,3,Shrubland,695,1.15,0.34,203,492,70.83,0.00,0.26
5,4,Other Vegetation,15,1.46,0.34,3,12,77.23,0.00,0.26
5,5,Cropland,540,2.73,0.34,65,475,87.96,0.00,0.26
5,6,Non-Vegetation,2,0.02,0.34,33,31,0.00,93.92,0.26
6,1,Forest,14,0.00,1.58,5623,5609,0.00,99.75,1.22
6,2,Mosaic Vegetation,2109,7.94,1.58,392,1717,81.39,0.00,1.22
6,3,Shrubland,3985,6.18,1.58,970,3015,75.65,0.00,1.22
6,4,Other Vegetation,18,1.73,1.58,16,2,8.63,0.00,1.22
