"","Interval*","Category_name_From","Category_name_To_","Observed_Annual_Transition_number_of_elements","Transition_Intensity_percent_of_t2_category","Uniform_Intensity_percent_of_t2_non_category","Uniform_Annual_Transition_number_of_elements","Hypothesized_Annual_error_number_of_elements","Commission_Intensity_percent_of_transition","Omission_Intensity_percent_of_transition","Hypothesized  t2 Error_percent of interval's domain"
"1","1992_1993","Forest","Mosaic Vegetation",0,0,0,0,0,0,0,0
"2","1992_1993","Forest","Shrubland",0,0,0,0,0,0,0,0
"3","1992_1993","Forest","Other Vegetation",0,0,0,0,0,0,0,0
"4","1992_1993","Forest","Cropland",0,0,0,0,0,0,0,0
"5","1992_1993","Forest","Non-Vegetation",0,0,0,0,0,0,0,0
"6","1993_1994","Forest","Mosaic Vegetation",0,0,0,0,0,0,0,0
"7","1993_1994","Forest","Shrubland",0,0,0,0,0,0,0,0
"8","1993_1994","Forest","Other Vegetation",0,0,0,0,0,0,0,0
"9","1993_1994","Forest","Cropland",0,0,0,0,0,0,0,0
"10","1993_1994","Forest","Non-Vegetation",0,0,0,0,0,0,0,0
"11","1994_1995","Forest","Mosaic Vegetation",509,2.13024187088013,2.33448958396912,558.969482421875,49.969482421875,0,8.93957233428955,0.184556275606155
"12","1994_1995","Forest","Shrubland",817,1.36821126937866,2.33448958396912,1407.78564453125,590.785583496094,0,41.9655952453613,0.184556275606155
"13","1994_1995","Forest","Other Vegetation",34,3.36633658409119,2.33448958396912,23.3292369842529,10.6707630157471,31.3845977783203,0,0.184556260704994
"14","1994_1995","Forest","Cropland",1285,6.78279209136963,2.33448958396912,422.125366210938,862.874633789062,67.1497802734375,0,0.184556260704994
"15","1994_1995","Forest","Non-Vegetation",0,0,2.33448958396912,232.790405273438,232.790405273438,0,100,0.184556275606155
"16","1995_1996","Forest","Mosaic Vegetation",218,0.904076635837555,0.715293765068054,172.150833129883,45.8491706848145,21.0317287445068,0,0.0378802679479122
"17","1995_1996","Forest","Shrubland",328,0.546630203723907,0.715293765068054,429.934020996094,101.934013366699,0,23.7092227935791,0.0378802642226219
"18","1995_1996","Forest","Other Vegetation",0,0,0.715293765068054,7.2765154838562,7.2765154838562,0,100,0.0378802642226219
"19","1995_1996","Forest","Cropland",270,1.40449440479279,0.715293765068054,136.553527832031,133.446472167969,49.424617767334,0,0.0378802679479122
"20","1995_1996","Forest","Non-Vegetation",0,0,0.715293765068054,70.085090637207,70.085090637207,0,100,0.0378802642226219
"21","1996_1997","Forest","Mosaic Vegetation",342,1.39848697185516,1.33794593811035,326.993927001953,15.0060834884644,4.38774347305298,0,0.0526078715920448
"22","1996_1997","Forest","Shrubland",695,1.14588141441345,1.33794593811035,813.070678710938,118.070693969727,0,14.521577835083,0.0526078753173351
"23","1996_1997","Forest","Other Vegetation",15,1.46341466903687,1.33794593811035,13.6965055465698,1.30349457263947,8.68996429443359,0,0.0526078715920448
"24","1996_1997","Forest","Cropland",494,2.49962043762207,1.33794593811035,261.304931640625,232.695068359375,47.1042633056641,0,0.0526078715920448
"25","1996_1997","Forest","Non-Vegetation",1,0.0102774919942021,1.33794593811035,131.933959960938,130.933959960938,0,99.2420425415039,0.0526078753173351
"26","1997_1998","Forest","Mosaic Vegetation",2080,7.83014583587646,5.93313407897949,1544.29370117188,535.706359863281,25.7551136016846,0,0.149241849780083
"27","1997_1998","Forest","Shrubland",3985,6.18222427368164,5.93313407897949,3814.31176757812,170.688201904297,4.28326749801636,0,0.149241849780083
"28","1997_1998","Forest","Other Vegetation",18,1.72579097747803,5.93313407897949,64.6504211425781,46.6504211425781,0,72.1579513549805,0.149241834878922
"29","1997_1998","Forest","Cropland",1203,5.69980096817017,5.93313407897949,1255.353515625,52.3534889221191,0,4.17041826248169,0.149241834878922
"30","1997_1998","Forest","Non-Vegetation",6,0.0616586171090603,5.93313407897949,613.390563964844,607.390563964844,0,99.0218276977539,0.149241834878922
"31","1998_1999","Forest","Mosaic Vegetation",1510,5.37538719177246,4.26854419708252,1185.21313476562,324.786926269531,21.5090675354004,0,0.17720365524292
"32","1998_1999","Forest","Shrubland",3384,4.99476003646851,4.26854419708252,2870.04296875,513.956970214844,15.1878538131714,0,0.17720365524292
"33","1998_1999","Forest","Other Vegetation",17,1.60377359390259,4.26854419708252,46.506046295166,29.506046295166,0,63.445613861084,0.177203625440598
"34","1998_1999","Forest","Cropland",565,2.59853744506836,4.26854419708252,944.300170898438,379.300170898438,0,40.1673316955566,0.177203625440598
"35","1998_1999","Forest","Non-Vegetation",4,0.041084636002779,4.26854419708252,433.937530517578,429.937530517578,0,99.0782089233398,0.177203625440598
"36","1999_2000","Forest","Mosaic Vegetation",3161,10.1132583618164,9.20567798614502,2848.56494140625,312.435089111328,9.88405895233154,0,0.550633430480957
"37","1999_2000","Forest","Shrubland",9153,11.91734790802,9.20567798614502,6859.166015625,2293.833984375,25.0610065460205,0,0.550633430480957
"38","1999_2000","Forest","Other Vegetation",1,0.0942507088184357,9.20567798614502,107.47388458252,106.47388458252,0,99.0695419311523,0.550633430480957
"39","1999_2000","Forest","Cropland",696,3.08976292610168,9.20567798614502,2213.35375976562,1517.35375976562,0,68.5545043945312,0.550633430480957
"40","1999_2000","Forest","Non-Vegetation",5,0.0513136275112629,9.20567798614502,987.441650390625,982.441650390625,0,99.4936447143555,0.550633430480957
"41","2000_2001","Forest","Mosaic Vegetation",3058,8.89082717895508,7.06186294555664,2381.1279296875,676.872009277344,22.1344680786133,0,0.453993290662766
"42","2000_2001","Forest","Shrubland",7287,8.69404411315918,7.06186294555664,5815.02197265625,1471.97802734375,20.2000560760498,0,0.453993290662766
"43","2000_2001","Forest","Other Vegetation",0,0,7.06186294555664,80.8475646972656,80.8475646972656,0,100,0.45399335026741
"44","2000_2001","Forest","Cropland",398,1.72122991085052,7.06186294555664,1726.7490234375,1328.7490234375,0,76.9509048461914,0.45399335026741
"45","2000_2001","Forest","Non-Vegetation",0,0,7.06186294555664,739.253723144531,739.253723144531,0,100,0.45399335026741
"46","2001_2002","Forest","Mosaic Vegetation",3569,9.40051651000977,9.14976119995117,3464.21020507812,104.789772033691,2.93611025810242,0,0.621733725070953
"47","2001_2002","Forest","Shrubland",11274,11.8627481460571,9.14976119995117,8435.9873046875,2838.0126953125,25.1730766296387,0,0.621733725070953
"48","2001_2002","Forest","Other Vegetation",36,3.27272725105286,9.14976119995117,107.158180236816,71.1581802368164,0,66.4048080444336,0.621733903884888
"49","2001_2002","Forest","Cropland",442,1.87177097797394,9.14976119995117,2333.71166992188,1891.71166992188,0,81.0602111816406,0.621733903884888
"50","2001_2002","Forest","Non-Vegetation",0,0,9.14976119995117,979.933349609375,979.933349609375,0,100,0.621733903884888
"51","2002_2003","Forest","Mosaic Vegetation",358,0.933385491371155,0.878149390220642,336.626495361328,21.3734970092773,5.97025060653687,0,0.0435780547559261
"52","2002_2003","Forest","Shrubland",1025,1.06934571266174,0.878149390220642,840.108947753906,184.891036987305,18.0381507873535,0,0.0435780547559261
"53","2002_2003","Forest","Other Vegetation",0,0,0.878149390220642,9.74522113800049,9.74522113800049,0,100,0.0435780771076679
"54","2002_2003","Forest","Cropland",99,0.417298942804337,0.878149390220642,209.300765991211,110.300765991211,0,52.6996459960938,0.0435780771076679
"55","2002_2003","Forest","Non-Vegetation",0,0,0.878149390220642,86.2186279296875,86.2186279296875,0,100,0.0435780771076679
"56","2003_2004","Forest","Mosaic Vegetation",2074,5.1268105506897,7.20398187637329,2979.533203125,905.533325195312,0,30.3917846679688,0.707801043987274
"57","2003_2004","Forest","Shrubland",10781,10.1230993270874,7.20398187637329,7430.8232421875,3350.17700195312,31.0748252868652,0,0.707800805568695
"58","2003_2004","Forest","Other Vegetation",3,0.271985501050949,7.20398187637329,85.3956909179688,82.3956909179688,0,96.4869384765625,0.707801043987274
"59","2003_2004","Forest","Cropland",240,0.998294591903687,7.20398187637329,1847.72985839844,1607.72985839844,0,87.0110855102539,0.707801043987274
