"","Interval*","Category_name_To","Category_name_From_","Observed_Annual_Transition_number_of_elements","Transition_Intensity_percent_of_t1_category","Uniform_Intensity_percent_of_t1_non_category","Uniform_Annual_Transition_number_of_elements","Hypothesized_Annual_error_number_of_elements","Commission_Intensity_percent_of_transition","Omission_Intensity_percent_of_transition","Hypothesized  t1 Error_percent of interval's domain"
"1","1992_1993","Mosaic Vegetation","Forest",0,0,0,0,0,0,0,0
"2","1992_1993","Mosaic Vegetation","Shrubland",0,0,0,0,0,0,0,0
"3","1992_1993","Mosaic Vegetation","Other Vegetation",0,0,0,0,0,0,0,0
"4","1992_1993","Mosaic Vegetation","Cropland",0,0,0,0,0,0,0,0
"5","1992_1993","Mosaic Vegetation","Non-Vegetation",0,0,0,0,0,0,0,0
"6","1993_1994","Mosaic Vegetation","Forest",0,0,0,0,0,0,0,0
"7","1993_1994","Mosaic Vegetation","Shrubland",0,0,0,0,0,0,0,0
"8","1993_1994","Mosaic Vegetation","Other Vegetation",0,0,0,0,0,0,0,0
"9","1993_1994","Mosaic Vegetation","Cropland",0,0,0,0,0,0,0,0
"10","1993_1994","Mosaic Vegetation","Non-Vegetation",0,0,0,0,0,0,0,0
"11","1994_1995","Mosaic Vegetation","Forest",509,0.140432775020599,0.116235136985779,421.193359375,87.806640625,17.2508125305176,0,0.018551142886281
"12","1994_1995","Mosaic Vegetation","Shrubland",12,0.0202723257243633,0.116235136985779,68.8703308105469,56.8703308105469,0,82.5759506225586,0.0185511447489262
"13","1994_1995","Mosaic Vegetation","Other Vegetation",0,0,0.116235136985779,1.12064695358276,1.12064695358276,0,100,0.0185511447489262
"14","1994_1995","Mosaic Vegetation","Cropland",0,0,0.116235136985779,20.2077198028564,20.2077198028564,0,100,0.0185511447489262
"15","1994_1995","Mosaic Vegetation","Non-Vegetation",2,0.0200461056083441,0.116235136985779,11.6079473495483,9.60794734954834,0,82.7704238891602,0.0185511447489262
"16","1995_1996","Mosaic Vegetation","Forest",218,0.0605520233511925,0.0487286075949669,175.412475585938,42.587532043457,19.5355644226074,0,0.00899758096784353
"17","1995_1996","Mosaic Vegetation","Shrubland",1,0.00167467724531889,0.0487286075949669,29.111011505127,28.111011505127,0,96.5648727416992,0.00899758283048868
"18","1995_1996","Mosaic Vegetation","Other Vegetation",0,0,0.0487286075949669,0.492398887872696,0.492398887872696,0,100,0.00899758283048868
"19","1995_1996","Mosaic Vegetation","Cropland",0,0,0.0487286075949669,9.23613548278809,9.23613548278809,0,100,0.00899758283048868
"20","1995_1996","Mosaic Vegetation","Non-Vegetation",0,0,0.0487286075949669,4.74799251556396,4.74799251556396,0,100,0.00899758283048868
"21","1996_1997","Mosaic Vegetation","Forest",342,0.0952001884579659,0.0761338248848915,273.453247070312,68.546760559082,20.042911529541,0,0.0144820567220449
"22","1996_1997","Mosaic Vegetation","Shrubland",0,0,0.0761338248848915,45.718147277832,45.718147277832,0,100,0.0144820539280772
"23","1996_1997","Mosaic Vegetation","Other Vegetation",0,0,0.0761338248848915,0.769537508487701,0.769537508487701,0,100,0.0144820539280772
"24","1996_1997","Mosaic Vegetation","Cropland",0,0,0.0761338248848915,14.6471176147461,14.6471176147461,0,100,0.0144820539280772
"25","1996_1997","Mosaic Vegetation","Non-Vegetation",0,0,0.0761338248848915,7.41194152832031,7.41194152832031,0,100,0.0144820539280772
