"","Interval*","Category_name_To","Category_name_From_","Observed_Annual_Transition_number_of_elements","Transition_Intensity_percent_of_t1_category","Uniform_Intensity_percent_of_t1_non_category","Uniform_Annual_Transition_number_of_elements","Hypothesized_Annual_error_number_of_elements","Commission_Intensity_percent_of_transition","Omission_Intensity_percent_of_transition","Hypothesized  t1 Error_percent of interval's domain"
"1","1992_1993","Shrubland","Forest",0,0,0,0,0,0,0,0
"2","1992_1993","Shrubland","Mosaic Vegetation",0,0,0,0,0,0,0,0
"3","1992_1993","Shrubland","Other Vegetation",0,0,0,0,0,0,0,0
"4","1992_1993","Shrubland","Cropland",0,0,0,0,0,0,0,0
"5","1992_1993","Shrubland","Non-Vegetation",0,0,0,0,0,0,0,0
"6","1993_1994","Shrubland","Forest",0,0,0,0,0,0,0,0
"7","1993_1994","Shrubland","Mosaic Vegetation",0,0,0,0,0,0,0,0
"8","1993_1994","Shrubland","Other Vegetation",0,0,0,0,0,0,0,0
"9","1993_1994","Shrubland","Cropland",0,0,0,0,0,0,0,0
"10","1993_1994","Shrubland","Non-Vegetation",0,0,0,0,0,0,0,0
"11","1994_1995","Shrubland","Forest",817,0.225409775972366,0.198247879743576,718.355895996094,98.6441268920898,12.0739440917969,0,0.0208408068865538
"12","1994_1995","Shrubland","Mosaic Vegetation",1,0.00427862396463752,0.198247879743576,46.4245491027832,45.4245491027832,0,97.8459701538086,0.0208408050239086
"13","1994_1995","Shrubland","Other Vegetation",0,0,0.198247879743576,1.9129194021225,1.9129194021225,0,100,0.0208408050239086
"14","1994_1995","Shrubland","Cropland",0,0,0.198247879743576,34.4941291809082,34.4941291809082,0,100,0.0208408050239086
"15","1994_1995","Shrubland","Non-Vegetation",3,0.0300691593438387,0.198247879743576,19.812520980835,16.812520980835,0,84.8580627441406,0.0208408050239086
"16","1995_1996","Shrubland","Forest",328,0.0911057963967323,0.0793019458651543,285.469940185547,42.5300674438477,12.9664840698242,0,0.00898544024676085
"17","1995_1996","Shrubland","Mosaic Vegetation",0,0,0.0793019458651543,18.9634456634521,18.9634456634521,0,100,0.0089854383841157
"18","1995_1996","Shrubland","Other Vegetation",0,0,0.0793019458651543,0.80158531665802,0.80158531665802,0,100,0.0089854383841157
"19","1995_1996","Shrubland","Cropland",0,0,0.0793019458651543,15.0356769561768,15.0356769561768,0,100,0.0089854383841157
"20","1995_1996","Shrubland","Non-Vegetation",0,0,0.0793019458651543,7.72934579849243,7.72934579849243,0,100,0.0089854383841157
"21","1996_1997","Shrubland","Forest",695,0.193462356925011,0.168151393532753,603.919006347656,91.0810165405273,13.1051826477051,0,0.0192429292947054
"22","1996_1997","Shrubland","Mosaic Vegetation",0,0,0.168151393532753,40.6146392822266,40.6146392822266,0,100,0.0192429311573505
"23","1996_1997","Shrubland","Other Vegetation",0,0,0.168151393532753,1.70118963718414,1.70118963718414,0,100,0.0192429311573505
"24","1996_1997","Shrubland","Cropland",0,0,0.168151393532753,32.3798713684082,32.3798713684082,0,100,0.0192429311573505
"25","1996_1997","Shrubland","Non-Vegetation",0,0,0.168151393532753,16.3853187561035,16.3853187561035,0,100,0.0192429311573505
"26","1997_1998","Shrubland","Forest",3985,1.11407136917114,0.965662658214569,3448.97021484375,536.029724121094,13.4511852264404,0,0.113248430192471
"27","1997_1998","Shrubland","Mosaic Vegetation",0,0,0.965662658214569,238.455474853516,238.455474853516,0,100,0.113248482346535
"28","1997_1998","Shrubland","Other Vegetation",0,0,0.965662658214569,9.99455547332764,9.99455547332764,0,100,0.113248482346535
"29","1997_1998","Shrubland","Cropland",0,0,0.965662658214569,192.704788208008,192.704788208008,0,100,0.113248482346535
"30","1997_1998","Shrubland","Non-Vegetation",0,0,0.965662658214569,94.8751525878906,94.8751525878906,0,100,0.113248482346535
"31","1998_1999","Shrubland","Forest",3384,0.965701043605804,0.827661097049713,2896.24487304688,487.755157470703,14.4135684967041,0,0.103049330413342
"32","1998_1999","Shrubland","Mosaic Vegetation",0,0,0.827661097049713,221.694778442383,221.694778442383,0,100,0.103049337863922
"33","1998_1999","Shrubland","Other Vegetation",0,0,0.827661097049713,8.70454978942871,8.70454978942871,0,100,0.103049337863922
"34","1998_1999","Shrubland","Cropland",0,0,0.827661097049713,176.144027709961,176.144027709961,0,100,0.103049337863922
"35","1998_1999","Shrubland","Non-Vegetation",0,0,0.827661097049713,81.2118606567383,81.2118606567383,0,100,0.103049337863922
"36","1999_2000","Shrubland","Forest",9153,2.65349721908569,2.25681805610657,7753.09765625,1399.90234375,15.2944641113281,0,0.295761108398438
"37","1999_2000","Shrubland","Mosaic Vegetation",0,0,2.25681805610657,648.600463867188,648.600463867188,0,100,0.295761048793793
"38","1999_2000","Shrubland","Other Vegetation",0,0,2.25681805610657,24.4746189117432,24.4746189117432,0,100,0.295761048793793
"39","1999_2000","Shrubland","Cropland",0,0,2.25681805610657,502.029846191406,502.029846191406,0,100,0.295761048793793
"40","1999_2000","Shrubland","Non-Vegetation",0,0,2.25681805610657,224.797073364258,224.797073364258,0,100,0.295761048793793
"41","2000_2001","Shrubland","Forest",7287,2.19533586502075,1.83774757385254,6077.83203125,1209.16784667969,16.5934925079346,0,0.255464106798172
"42","2000_2001","Shrubland","Mosaic Vegetation",0,0,1.83774757385254,585.16015625,585.16015625,0,100,0.255464047193527
"43","2000_2001","Shrubland","Other Vegetation",0,0,1.83774757385254,19.8635444641113,19.8635444641113,0,100,0.255464047193527
"44","2000_2001","Shrubland","Cropland",0,0,1.83774757385254,421.72119140625,421.72119140625,0,100,0.255464047193527
"45","2000_2001","Shrubland","Non-Vegetation",0,0,1.83774757385254,182.422592163086,182.422592163086,0,100,0.255464047193527
"46","2001_2002","Shrubland","Forest",11274,3.51001739501953,2.89469218254089,9238.6904296875,2035.30981445312,18.053129196167,0,0.430005341768265
"47","2001_2002","Shrubland","Mosaic Vegetation",1,0.00290739932097495,2.89469218254089,1025.27905273438,1024.27905273438,0,99.9024658203125,0.43000516295433
"48","2001_2002","Shrubland","Other Vegetation",0,0,2.89469218254089,31.7176532745361,31.7176532745361,0,100,0.43000516295433
"49","2001_2002","Shrubland","Cropland",0,0,2.89469218254089,689.292541503906,689.292541503906,0,100,0.43000516295433
"50","2001_2002","Shrubland","Non-Vegetation",0,0,2.89469218254089,290.019775390625,290.019775390625,0,100,0.43000516295433
"51","2002_2003","Shrubland","Forest",1025,0.335104197263718,0.270959734916687,828.265075683594,196.734939575195,19.1936531066895,0,0.0415647141635418
"52","2002_2003","Shrubland","Mosaic Vegetation",0,0,0.270959734916687,103.152076721191,103.152076721191,0,100,0.0415647327899933
"53","2002_2003","Shrubland","Other Vegetation",0,0,0.270959734916687,2.98865509033203,2.98865509033203,0,100,0.0415647327899933
"54","2002_2003","Shrubland","Cropland",0,0,0.270959734916687,64.1582717895508,64.1582717895508,0,100,0.0415647327899933
"55","2002_2003","Shrubland","Non-Vegetation",0,0,0.270959734916687,26.4360122680664,26.4360122680664,0,100,0.0415647327899933
"56","2003_2004","Shrubland","Forest",10781,3.53988409042358,2.85824799537659,8643.9404296875,2137.05981445312,19.8224639892578,0,0.451502323150635
"57","2003_2004","Shrubland","Mosaic Vegetation",8,0.0208577755838633,2.85824799537659,1128.30200195312,1120.30200195312,0,99.2909698486328,0.451502323150635
"58","2003_2004","Shrubland","Other Vegetation",0,0,2.85824799537659,32.3658218383789,32.3658218383789,0,100,0.451502323150635
"59","2003_2004","Shrubland","Cropland",0,0,2.85824799537659,698.042541503906,698.042541503906,0,100,0.451502323150635
"60","2003_2004","Shrubland","Non-Vegetation",0,0,2.85824799537659,286.349273681641,286.349273681641,0,100,0.451502323150635
"61","2004_2005","Shrubland","Forest",458,0.157122671604156,0.125128462910652,364.622589111328,93.3774032592773,20.3880786895752,0,0.0197280924767256
"62","2004_2005","Shrubland","Mosaic Vegetation",0,0,0.125128462910652,50.6828880310059,50.6828880310059,0,100,0.019728085026145
"63","2004_2005","Shrubland","Other Vegetation",0,0,0.125128462910652,1.38189613819122,1.38189613819122,0,100,0.019728085026145
"64","2004_2005","Shrubland","Cropland",0,0,0.125128462910652,30.1198215484619,30.1198215484619,0,100,0.019728085026145
"65","2004_2005","Shrubland","Non-Vegetation",1,0.0102743245661259,0.125128462910652,12.1927585601807,11.1927585601807,0,91.7984085083008,0.019728085026145
"66","2005_2006","Shrubland","Forest",119,0.0409296192228794,0.0324724949896336,94.4035186767578,24.5964832305908,20.6693134307861,0,0.00519656436517835
"67","2005_2006","Shrubland","Mosaic Vegetation",0,0,0.0324724949896336,13.2358655929565,13.2358655929565,0,100,0.00519656483083963
"68","2005_2006","Shrubland","Other Vegetation",0,0,0.0324724949896336,0.358287960290909,0.358287960290909,0,100,0.00519656483083963
"69","2005_2006","Shrubland","Cropland",0,0,0.0324724949896336,7.84303092956543,7.84303092956543,0,100,0.00519656483083963
"70","2005_2006","Shrubland","Non-Vegetation",0,0,0.0324724949896336,3.15930080413818,3.15930080413818,0,100,0.00519656483083963
"71","2006_2007","Shrubland","Forest",451,0.155151292681694,0.126293629407883,367.009307861328,83.9906845092773,18.6232109069824,0,0.0177449360489845
