Interval*,Id*,Category_name,Observed_Annual_Gain_number_of_elements,Gain_Intensity_percent_of_t2_category,Uniform_Intensity_percent_of_interval_domain,Uniform_Annual_Gain_number_of_elements,Hypothesized_Annual_Error_number_of_elements,Commission_Intensity_percent_of_t2_category,Omission_Intensity_percent_of_t2_category,Hypothesized_t2_Error_percent_of_interval_domain
1,1,Forest,0,0.00,0.00,0,0,0.00,0.00,0.00
1,2,Mosaic Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
1,3,Shrubland,0,0.00,0.00,0,0,0.00,0.00,0.00
1,4,Other Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
1,5,Cropland,0,0.00,0.00,0,0,0.00,0.00,0.00
1,6,Non-Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
2,1,Forest,0,0.00,0.00,1,1,0.00,100.00,0.00
2,2,Mosaic Vegetation,0,0.00,0.00,0,0,0.00,100.00,0.00
2,3,Shrubland,0,0.00,0.00,0,0,0.00,100.00,0.00
2,4,Other Vegetation,0,0.00,0.00,0,0,0.00,100.00,0.00
2,5,Cropland,0,0.00,0.00,0,0,0.00,100.00,0.00
2,6,Non-Vegetation,1,0.08,0.00,0,1,99.18,0.00,0.00
3,1,Forest,58,0.05,0.72,772,714,0.00,92.49,0.46
3,2,Mosaic Vegetation,177,1.53,0.72,82,95,53.47,0.00,0.46
3,3,Shrubland,337,1.17,0.72,205,132,39.19,0.00,0.46
3,4,Other Vegetation,33,4.24,0.72,5,28,83.67,0.00,0.46
3,5,Cropland,530,5.85,0.72,62,468,88.38,0.00,0.46
3,6,Non-Vegetation,0,0.00,0.72,9,9,0.00,100.00,0.46
4,1,Forest,27,0.03,0.24,261,234,0.00,89.64,0.15
4,2,Mosaic Vegetation,95,0.81,0.24,28,67,70.20,0.00,0.15
4,3,Shrubland,186,0.64,0.24,70,116,62.31,0.00,0.15
4,4,Other Vegetation,0,0.00,0.24,2,2,0.00,100.00,0.15
4,5,Cropland,78,0.85,0.24,22,56,71.61,0.00,0.15
4,6,Non-Vegetation,0,0.00,0.24,3,3,0.00,100.00,0.15
5,1,Forest,1,0.00,0.48,510,509,0.00,99.80,0.32
5,2,Mosaic Vegetation,145,1.23,0.48,56,89,61.25,0.00,0.32
5,3,Shrubland,415,1.42,0.48,139,276,66.59,0.00,0.32
5,4,Other Vegetation,13,1.64,0.48,4,9,71.16,0.00,0.32
5,5,Cropland,183,1.96,0.48,44,139,75.98,0.00,0.32
5,6,Non-Vegetation,1,0.08,0.48,6,5,0.00,83.02,0.32
6,1,Forest,9,0.01,1.86,1954,1945,0.00,99.54,1.24
6,2,Mosaic Vegetation,623,5.01,1.86,224,399,64.04,0.00,1.24
6,3,Shrubland,2004,6.45,1.86,551,1453,72.49,0.00,1.24
6,4,Other Vegetation,18,2.22,1.86,15,3,16.60,0.00,1.24
