Interval*,Id*,Category_name,Observed_Annual_Gain_number_of_elements,Gain_Intensity_percent_of_t2_category,Uniform_Intensity_percent_of_interval_domain,Uniform_Annual_Gain_number_of_elements,Hypothesized_Annual_Error_number_of_elements,Commission_Intensity_percent_of_t2_category,Omission_Intensity_percent_of_t2_category,Hypothesized_t2_Error_percent_of_interval_domain
1,1,Forest,0,0.00,0.00,0,0,0.00,0.00,0.00
1,2,Mosaic Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
1,3,Shrubland,0,0.00,0.00,0,0,0.00,0.00,0.00
1,4,Other Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
1,5,Cropland,0,0.00,0.00,0,0,0.00,0.00,0.00
1,6,Non-Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
2,1,Forest,0,0.00,0.00,0,0,0.00,0.00,0.00
2,2,Mosaic Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
2,3,Shrubland,0,0.00,0.00,0,0,0.00,0.00,0.00
2,4,Other Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
2,5,Cropland,0,0.00,0.00,0,0,0.00,0.00,0.00
2,6,Non-Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
3,1,Forest,110,0.06,0.86,1494,1384,0.00,92.64,0.66
3,2,Mosaic Vegetation,291,3.59,0.86,68,223,76.70,0.00,0.66
3,3,Shrubland,468,2.08,0.86,192,276,59.06,0.00,0.66
3,4,Other Vegetation,14,6.45,0.86,2,12,87.41,0.00,0.66
3,5,Cropland,983,11.41,0.86,66,917,93.26,0.00,0.66
3,6,Non-Vegetation,0,0.00,0.86,45,45,0.00,100.00,0.66
4,1,Forest,11,0.01,0.19,325,314,0.00,96.61,0.15
4,2,Mosaic Vegetation,78,0.95,0.19,15,63,80.37,0.00,0.15
4,3,Shrubland,142,0.63,0.19,43,99,70.00,0.00,0.15
4,4,Other Vegetation,0,0.00,0.19,0,0,0.00,100.00,0.15
4,5,Cropland,178,2.02,0.19,16,162,90.85,0.00,0.15
4,6,Non-Vegetation,0,0.00,0.19,10,10,0.00,100.00,0.15
5,1,Forest,0,0.00,0.37,633,633,0.00,100.00,0.30
5,2,Mosaic Vegetation,181,2.16,0.37,30,151,83.26,0.00,0.30
5,3,Shrubland,274,1.19,0.37,84,190,69.34,0.00,0.30
5,4,Other Vegetation,2,0.91,0.37,1,1,59.82,0.00,0.30
5,5,Cropland,343,3.75,0.37,33,310,90.50,0.00,0.30
5,6,Non-Vegetation,0,0.00,0.37,19,19,0.00,100.00,0.30
6,1,Forest,5,0.00,1.46,2479,2474,0.00,99.80,1.18
6,2,Mosaic Vegetation,722,7.95,1.46,123,599,82.90,0.00,1.18
6,3,Shrubland,1653,6.73,1.46,338,1315,79.53,0.00,1.18
6,4,Other Vegetation,0,0.00,1.46,3,3,0.00,100.00,1.18
