"","ColA","ColB","ColC","ColD","ColE","ColF","ColG","ColH","ColI","ColJ","ColK","ColL"
"1",1,"1992-1993","Forest","Loss",0,0,0,0,0,0,0,0
"2",1,"1992-1993","Mosaic Vegetation","Loss",0,0,0,0,0,0,0,0
"3",1,"1992-1993","Shrubland","Loss",0,0,0,0,0,0,0,0
"4",1,"1992-1993","Other Vegetation","Loss",0,0,0,0,0,0,0,0
"5",1,"1992-1993","Cropland","Loss",0,0,0,0,0,0,0,0
"6",1,"1992-1993","Non-Vegetation","Loss",0,0,0,0,0,0,0,0
"7",2,"1993-1994","Forest","Loss",0,0,0,0,0,0,0,0
"8",2,"1993-1994","Mosaic Vegetation","Loss",0,0,0,0,0,0,0,0
"9",2,"1993-1994","Shrubland","Loss",0,0,0,0,0,0,0,0
"10",2,"1993-1994","Other Vegetation","Loss",0,0,0,0,0,0,0,0
"11",2,"1993-1994","Cropland","Loss",0,0,0,0,0,0,0,0
"12",2,"1993-1994","Non-Vegetation","Loss",0,0,0,0,0,0,0,0
"13",3,"1994-1995","Forest","Loss",144,0.18,0.2,158,14,0,9.07,0.04
"14",3,"1994-1995","Mosaic Vegetation","Loss",0,0,0.2,8,8,0,100,0.04
"15",3,"1994-1995","Shrubland","Loss",0,0,0.2,17,17,0,100,0.04
"16",3,"1994-1995","Other Vegetation","Loss",0,0,0.2,0,0,0,100,0.04
"17",3,"1994-1995","Cropland","Loss",0,0,0.2,2,2,0,100,0.04
"18",3,"1994-1995","Non-Vegetation","Loss",48,1.41,0.2,7,41,86.28,0,0.04
"19",4,"1995-1996","Forest","Loss",69,0.09,0.07,57,12,17.64,0,0.01
"20",4,"1995-1996","Mosaic Vegetation","Loss",0,0,0.07,3,3,0,100,0.01
"21",4,"1995-1996","Shrubland","Loss",0,0,0.07,6,6,0,100,0.01
"22",4,"1995-1996","Other Vegetation","Loss",0,0,0.07,0,0,0,100,0.01
"23",4,"1995-1996","Cropland","Loss",0,0,0.07,1,1,0,100,0.01
"24",4,"1995-1996","Non-Vegetation","Loss",0,0,0.07,2,2,0,100,0.01
"25",5,"1996-1997","Forest","Loss",36,0.04,0.04,30,6,17.71,0,0.01
"26",5,"1996-1997","Mosaic Vegetation","Loss",0,0,0.04,2,2,0,100,0.01
"27",5,"1996-1997","Shrubland","Loss",0,0,0.04,3,3,0,100,0.01
"28",5,"1996-1997","Other Vegetation","Loss",0,0,0.04,0,0,0,100,0.01
"29",5,"1996-1997","Cropland","Loss",0,0,0.04,0,0,0,100,0.01
"30",5,"1996-1997","Non-Vegetation","Loss",0,0,0.04,1,1,0,100,0.01
"31",6,"1997-1998","Forest","Loss",1374,1.7,1.4,1127,247,17.99,0,0.25
"32",6,"1997-1998","Mosaic Vegetation","Loss",0,0,1.4,61,61,0,100,0.25
"33",6,"1997-1998","Shrubland","Loss",0,0,1.4,120,120,0,100,0.25
"34",6,"1997-1998","Other Vegetation","Loss",0,0,1.4,0,0,0,100,0.25
"35",6,"1997-1998","Cropland","Loss",0,0,1.4,18,18,0,100,0.25
"36",6,"1997-1998","Non-Vegetation","Loss",0,0,1.4,48,48,0,100,0.25
"37",7,"1998-1999","Forest","Loss",303,0.38,0.31,245,58,19.19,0,0.06
"38",7,"1998-1999","Mosaic Vegetation","Loss",0,0,0.31,16,16,0,100,0.06
"39",7,"1998-1999","Shrubland","Loss",0,0,0.31,27,27,0,100,0.06
"40",7,"1998-1999","Other Vegetation","Loss",0,0,0.31,0,0,0,100,0.06
"41",7,"1998-1999","Cropland","Loss",0,0,0.31,5,5,0,100,0.06
"42",7,"1998-1999","Non-Vegetation","Loss",0,0,0.31,10,10,0,100,0.06
"43",8,"1999-2000","Forest","Loss",2063,2.61,2.1,1653,410,19.86,0,0.42
"44",8,"1999-2000","Mosaic Vegetation","Loss",0,0,2.1,110,110,0,100,0.42
"45",8,"1999-2000","Shrubland","Loss",0,0,2.1,192,192,0,100,0.42
"46",8,"1999-2000","Other Vegetation","Loss",0,0,2.1,0,0,0,100,0.42
"47",8,"1999-2000","Cropland","Loss",0,0,2.1,35,35,0,100,0.42
"48",8,"1999-2000","Non-Vegetation","Loss",0,0,2.1,72,72,0,100,0.42
"49",9,"2000-2001","Forest","Loss",2880,3.74,2.93,2241,639,22.19,0,0.65
"50",9,"2000-2001","Mosaic Vegetation","Loss",0,0,2.93,178,178,0,100,0.65
"51",9,"2000-2001","Shrubland","Loss",0,0,2.93,306,306,0,100,0.65
"52",9,"2000-2001","Other Vegetation","Loss",0,0,2.93,0,0,0,100,0.65
"53",9,"2000-2001","Cropland","Loss",0,0,2.93,54,54,0,100,0.65
"54",9,"2000-2001","Non-Vegetation","Loss",0,0,2.93,102,102,0,100,0.65
"55",10,"2001-2002","Forest","Loss",3514,4.74,3.58,2622,892,25.38,0,0.91
"56",10,"2001-2002","Mosaic Vegetation","Loss",0,0,3.58,244,244,0,100,0.91
"57",10,"2001-2002","Shrubland","Loss",0,0,3.58,449,449,0,100,0.91
"58",10,"2001-2002","Other Vegetation","Loss",0,0,3.58,0,0,0,100,0.91
"59",10,"2001-2002","Cropland","Loss",0,0,3.58,74,74,0,100,0.91
"60",10,"2001-2002","Non-Vegetation","Loss",0,0,3.58,125,125,0,100,0.91
"61",11,"2002-2003","Forest","Loss",875,1.24,0.97,683,192,21.93,0,0.2
"62",11,"2002-2003","Mosaic Vegetation","Loss",7,0.09,0.97,73,66,0,90.4,0.2
"63",11,"2002-2003","Shrubland","Loss",68,0.47,0.97,142,74,0,52,0.2
"64",11,"2002-2003","Other Vegetation","Loss",0,0,0.97,0,0,0,100,0.2
"65",11,"2002-2003","Cropland","Loss",2,0.09,0.97,21,19,0,90.58,0.2
"66",11,"2002-2003","Non-Vegetation","Loss",0,0,0.97,33,33,0,100,0.2
"67",12,"2003-2004","Forest","Loss",3152,4.51,3.22,2223,929,29.48,0,0.95
"68",12,"2003-2004","Mosaic Vegetation","Loss",0,0,3.22,256,256,0,100,0.95
"69",12,"2003-2004","Shrubland","Loss",15,0.1,3.22,501,486,0,97,0.95
"70",12,"2003-2004","Other Vegetation","Loss",0,0,3.22,0,0,0,100,0.95
"71",12,"2003-2004","Cropland","Loss",0,0,3.22,75,75,0,100,0.95
"72",12,"2003-2004","Non-Vegetation","Loss",0,0,3.22,112,112,0,100,0.95
"73",13,"2004-2005","Forest","Loss",128,0.19,0.17,114,14,10.87,0,0.02
"74",13,"2004-2005","Mosaic Vegetation","Loss",9,0.11,0.17,14,5,0,35.71,0.02
"75",13,"2004-2005","Shrubland","Loss",23,0.13,0.17,30,7,0,23.48,0.02
"76",13,"2004-2005","Other Vegetation","Loss",0,0,0.17,0,0,0,100,0.02
"77",13,"2004-2005","Cropland","Loss",1,0.04,0.17,4,3,0,75.48,0.02
"78",13,"2004-2005","Non-Vegetation","Loss",7,0.21,0.17,6,1,17.71,0,0.02
"79",14,"2005-2006","Forest","Loss",103,0.15,0.14,92,11,10.46,0,0.02
"80",14,"2005-2006","Mosaic Vegetation","Loss",2,0.02,0.14,11,9,0,82.47,0.02
"81",14,"2005-2006","Shrubland","Loss",30,0.17,0.14,24,6,18.82,0,0.02
"82",14,"2005-2006","Other Vegetation","Loss",0,0,0.14,0,0,0,100,0.02
