Interval*,Id*,Category_name,Observed_Annual_Gain_number_of_elements,Gain_Intensity_percent_of_t2_category,Uniform_Intensity_percent_of_interval_domain,Uniform_Annual_Gain_number_of_elements,Hypothesized_Annual_Error_number_of_elements,Commission_Intensity_percent_of_t2_category,Omission_Intensity_percent_of_t2_category,Hypothesized_t2_Error_percent_of_interval_domain
1,1,Forest,0,0.00,0.00,0,0,0.00,0.00,0.00
1,2,Mosaic Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
1,3,Shrubland,0,0.00,0.00,0,0,0.00,0.00,0.00
1,4,Other Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
1,5,Cropland,0,0.00,0.00,0,0,0.00,0.00,0.00
1,6,Non-Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
2,1,Forest,0,0.00,0.00,0,0,0.00,0.00,0.00
2,2,Mosaic Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
2,3,Shrubland,0,0.00,0.00,0,0,0.00,0.00,0.00
2,4,Other Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
2,5,Cropland,0,0.00,0.00,0,0,0.00,0.00,0.00
2,6,Non-Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
3,1,Forest,144,0.18,0.20,158,14,0.00,9.07,0.04
3,2,Mosaic Vegetation,0,0.00,0.20,8,8,0.00,100.00,0.04
3,3,Shrubland,0,0.00,0.20,17,17,0.00,100.00,0.04
3,4,Other Vegetation,0,0.00,0.20,0,0,0.00,100.00,0.04
3,5,Cropland,0,0.00,0.20,2,2,0.00,100.00,0.04
3,6,Non-Vegetation,48,1.41,0.20,7,41,86.28,0.00,0.04
4,1,Forest,69,0.09,0.07,57,12,17.64,0.00,0.01
4,2,Mosaic Vegetation,0,0.00,0.07,3,3,0.00,100.00,0.01
4,3,Shrubland,0,0.00,0.07,6,6,0.00,100.00,0.01
4,4,Other Vegetation,0,0.00,0.07,0,0,0.00,100.00,0.01
4,5,Cropland,0,0.00,0.07,1,1,0.00,100.00,0.01
4,6,Non-Vegetation,0,0.00,0.07,2,2,0.00,100.00,0.01
5,1,Forest,36,0.04,0.04,30,6,17.71,0.00,0.01
5,2,Mosaic Vegetation,0,0.00,0.04,2,2,0.00,100.00,0.01
5,3,Shrubland,0,0.00,0.04,3,3,0.00,100.00,0.01
5,4,Other Vegetation,0,0.00,0.04,0,0,0.00,100.00,0.01
5,5,Cropland,0,0.00,0.04,0,0,0.00,100.00,0.01
5,6,Non-Vegetation,0,0.00,0.04,1,1,0.00,100.00,0.01
6,1,Forest,1374,1.70,1.40,1127,247,17.99,0.00,0.25
6,2,Mosaic Vegetation,0,0.00,1.40,61,61,0.00,100.00,0.25
6,3,Shrubland,0,0.00,1.40,120,120,0.00,100.00,0.25
6,4,Other Vegetation,0,0.00,1.40,0,0,0.00,100.00,0.25
