Interval*,Id*,Category_name,Observed_Annual_Gain_number_of_elements,Gain_Intensity_percent_of_t2_category,Uniform_Intensity_percent_of_interval_domain,Uniform_Annual_Gain_number_of_elements,Hypothesized_Annual_Error_number_of_elements,Commission_Intensity_percent_of_t2_category,Omission_Intensity_percent_of_t2_category,Hypothesized_t2_Error_percent_of_interval_domain
1,1,Forest,0,0.00,0.00,0,0,0.00,0.00,0.00
1,2,Mosaic Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
1,3,Shrubland,0,0.00,0.00,0,0,0.00,0.00,0.00
1,4,Other Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
1,5,Cropland,0,0.00,0.00,0,0,0.00,0.00,0.00
1,6,Non-Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
2,1,Forest,0,0.00,0.00,0,0,0.00,0.00,0.00
2,2,Mosaic Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
2,3,Shrubland,0,0.00,0.00,0,0,0.00,0.00,0.00
2,4,Other Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
2,5,Cropland,0,0.00,0.00,0,0,0.00,0.00,0.00
2,6,Non-Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
3,1,Forest,1711,0.98,0.86,1494,217,12.70,0.00,0.13
3,2,Mosaic Vegetation,1,0.01,0.86,68,67,0.00,98.53,0.13
3,3,Shrubland,37,0.17,0.86,192,155,0.00,80.69,0.13
3,4,Other Vegetation,0,0.00,0.86,2,2,0.00,100.00,0.13
3,5,Cropland,0,0.00,0.86,66,66,0.00,100.00,0.13
3,6,Non-Vegetation,117,2.22,0.86,45,72,61.72,0.00,0.13
4,1,Forest,398,0.23,0.19,325,73,18.43,0.00,0.03
4,2,Mosaic Vegetation,0,0.00,0.19,15,15,0.00,100.00,0.03
4,3,Shrubland,0,0.00,0.19,43,43,0.00,100.00,0.03
4,4,Other Vegetation,0,0.00,0.19,0,0,0.00,100.00,0.03
4,5,Cropland,0,0.00,0.19,16,16,0.00,100.00,0.03
4,6,Non-Vegetation,11,0.21,0.19,10,1,11.55,0.00,0.03
5,1,Forest,800,0.47,0.37,633,167,20.84,0.00,0.08
5,2,Mosaic Vegetation,0,0.00,0.37,30,30,0.00,100.00,0.08
5,3,Shrubland,0,0.00,0.37,84,84,0.00,100.00,0.08
5,4,Other Vegetation,0,0.00,0.37,1,1,0.00,100.00,0.08
5,5,Cropland,0,0.00,0.37,33,33,0.00,100.00,0.08
5,6,Non-Vegetation,0,0.00,0.37,19,19,0.00,100.00,0.08
6,1,Forest,3113,1.82,1.46,2479,634,20.37,0.00,0.29
6,2,Mosaic Vegetation,0,0.00,1.46,123,123,0.00,100.00,0.29
6,3,Shrubland,37,0.16,1.46,338,301,0.00,89.07,0.29
6,4,Other Vegetation,0,0.00,1.46,3,3,0.00,100.00,0.29
