"","ColA","ColB","ColC","ColD","ColE","ColF","ColG","ColH","ColI","ColJ","ColK","ColL"
"1",1,"1992-1993","Forest","Loss",0,0,0,0,0,0,0,0
"2",1,"1992-1993","Mosaic Vegetation","Loss",0,0,0,0,0,0,0,0
"3",1,"1992-1993","Shrubland","Loss",0,0,0,0,0,0,0,0
"4",1,"1992-1993","Other Vegetation","Loss",0,0,0,0,0,0,0,0
"5",1,"1992-1993","Cropland","Loss",0,0,0,0,0,0,0,0
"6",1,"1992-1993","Non-Vegetation","Loss",0,0,0,0,0,0,0,0
"7",2,"1993-1994","Forest","Loss",0,0,0,0,0,0,0,0
"8",2,"1993-1994","Mosaic Vegetation","Loss",0,0,0,0,0,0,0,0
"9",2,"1993-1994","Shrubland","Loss",0,0,0,0,0,0,0,0
"10",2,"1993-1994","Other Vegetation","Loss",0,0,0,0,0,0,0,0
"11",2,"1993-1994","Cropland","Loss",0,0,0,0,0,0,0,0
"12",2,"1993-1994","Non-Vegetation","Loss",0,0,0,0,0,0,0,0
"13",3,"1994-1995","Forest","Loss",1711,0.98,0.86,1494,217,12.7,0,0.13
"14",3,"1994-1995","Mosaic Vegetation","Loss",1,0.01,0.86,68,67,0,98.53,0.13
"15",3,"1994-1995","Shrubland","Loss",37,0.17,0.86,192,155,0,80.69,0.13
"16",3,"1994-1995","Other Vegetation","Loss",0,0,0.86,2,2,0,100,0.13
"17",3,"1994-1995","Cropland","Loss",0,0,0.86,66,66,0,100,0.13
"18",3,"1994-1995","Non-Vegetation","Loss",117,2.22,0.86,45,72,61.72,0,0.13
"19",4,"1995-1996","Forest","Loss",398,0.23,0.19,325,73,18.43,0,0.03
"20",4,"1995-1996","Mosaic Vegetation","Loss",0,0,0.19,15,15,0,100,0.03
"21",4,"1995-1996","Shrubland","Loss",0,0,0.19,43,43,0,100,0.03
"22",4,"1995-1996","Other Vegetation","Loss",0,0,0.19,0,0,0,100,0.03
"23",4,"1995-1996","Cropland","Loss",0,0,0.19,16,16,0,100,0.03
"24",4,"1995-1996","Non-Vegetation","Loss",11,0.21,0.19,10,1,11.55,0,0.03
"25",5,"1996-1997","Forest","Loss",800,0.47,0.37,633,167,20.84,0,0.08
"26",5,"1996-1997","Mosaic Vegetation","Loss",0,0,0.37,30,30,0,100,0.08
"27",5,"1996-1997","Shrubland","Loss",0,0,0.37,84,84,0,100,0.08
"28",5,"1996-1997","Other Vegetation","Loss",0,0,0.37,1,1,0,100,0.08
"29",5,"1996-1997","Cropland","Loss",0,0,0.37,33,33,0,100,0.08
"30",5,"1996-1997","Non-Vegetation","Loss",0,0,0.37,19,19,0,100,0.08
"31",6,"1997-1998","Forest","Loss",3113,1.82,1.46,2479,634,20.37,0,0.29
"32",6,"1997-1998","Mosaic Vegetation","Loss",0,0,1.46,123,123,0,100,0.29
"33",6,"1997-1998","Shrubland","Loss",37,0.16,1.46,338,301,0,89.07,0.29
"34",6,"1997-1998","Other Vegetation","Loss",0,0,1.46,3,3,0,100,0.29
"35",6,"1997-1998","Cropland","Loss",0,0,1.46,135,135,0,100,0.29
"36",6,"1997-1998","Non-Vegetation","Loss",5,0.1,1.46,76,71,0,93.42,0.29
"37",7,"1998-1999","Forest","Loss",2733,1.63,1.27,2116,617,22.57,0,0.28
"38",7,"1998-1999","Mosaic Vegetation","Loss",0,0,1.27,116,116,0,100,0.28
"39",7,"1998-1999","Shrubland","Loss",9,0.04,1.27,315,306,0,97.14,0.28
"40",7,"1998-1999","Other Vegetation","Loss",0,0,1.27,3,3,0,100,0.28
"41",7,"1998-1999","Cropland","Loss",1,0.01,1.27,127,126,0,99.21,0.28
"42",7,"1998-1999","Non-Vegetation","Loss",0,0,1.27,66,66,0,100,0.28
"43",8,"1999-2000","Forest","Loss",6136,3.72,2.83,4631,1505,24.52,0,0.69
"44",8,"1999-2000","Mosaic Vegetation","Loss",0,0,2.83,278,278,0,100,0.69
"45",8,"1999-2000","Shrubland","Loss",0,0,2.83,769,769,0,100,0.69
"46",8,"1999-2000","Other Vegetation","Loss",0,0,2.83,7,7,0,100,0.69
"47",8,"1999-2000","Cropland","Loss",0,0,2.83,301,301,0,100,0.69
"48",8,"1999-2000","Non-Vegetation","Loss",0,0,2.83,150,150,0,100,0.69
"49",9,"2000-2001","Forest","Loss",3165,1.99,1.5,2372,793,25.04,0,0.37
"50",9,"2000-2001","Mosaic Vegetation","Loss",0,0,1.5,163,163,0,100,0.37
"51",9,"2000-2001","Shrubland","Loss",73,0.24,1.5,469,396,0,84.44,0.37
"52",9,"2000-2001","Other Vegetation","Loss",0,0,1.5,3,3,0,100,0.37
"53",9,"2000-2001","Cropland","Loss",0,0,1.5,165,165,0,100,0.37
"54",9,"2000-2001","Non-Vegetation","Loss",13,0.25,1.5,78,65,0,83.38,0.37
"55",10,"2001-2002","Forest","Loss",4609,2.96,2.14,3304,1305,28.32,0,0.6
"56",10,"2001-2002","Mosaic Vegetation","Loss",1,0.01,2.14,250,249,0,99.6,0.6
"57",10,"2001-2002","Shrubland","Loss",25,0.08,2.14,723,698,0,96.54,0.6
"58",10,"2001-2002","Other Vegetation","Loss",0,0,2.14,5,5,0,100,0.6
"59",10,"2001-2002","Cropland","Loss",0,0,2.14,241,241,0,100,0.6
"60",10,"2001-2002","Non-Vegetation","Loss",0,0,2.14,112,112,0,100,0.6
"61",11,"2002-2003","Forest","Loss",399,0.26,0.21,321,78,19.62,0,0.04
"62",11,"2002-2003","Mosaic Vegetation","Loss",9,0.07,0.21,26,17,0,65.56,0.04
"63",11,"2002-2003","Shrubland","Loss",43,0.12,0.21,78,35,0,44.8,0.04
"64",11,"2002-2003","Other Vegetation","Loss",0,0,0.21,0,0,0,100,0.04
"65",11,"2002-2003","Cropland","Loss",9,0.08,0.21,24,15,0,62.24,0.04
"66",11,"2002-2003","Non-Vegetation","Loss",0,0,0.21,11,11,0,100,0.04
"67",12,"2003-2004","Forest","Loss",6003,3.98,2.81,4181,1822,30.35,0,0.84
"68",12,"2003-2004","Mosaic Vegetation","Loss",0,0,2.81,358,358,0,100,0.84
"69",12,"2003-2004","Shrubland","Loss",78,0.21,2.81,1063,985,0,92.66,0.84
"70",12,"2003-2004","Other Vegetation","Loss",0,0,2.81,7,7,0,100,0.84
"71",12,"2003-2004","Cropland","Loss",1,0.01,2.81,324,323,0,99.69,0.84
"72",12,"2003-2004","Non-Vegetation","Loss",0,0,2.81,148,148,0,100,0.84
"73",13,"2004-2005","Forest","Loss",622,0.43,0.3,438,184,29.51,0,0.08
"74",13,"2004-2005","Mosaic Vegetation","Loss",4,0.03,0.3,40,36,0,90.11,0.08
"75",13,"2004-2005","Shrubland","Loss",25,0.06,0.3,127,102,0,80.34,0.08
"76",13,"2004-2005","Other Vegetation","Loss",0,0,0.3,1,1,0,100,0.08
"77",13,"2004-2005","Cropland","Loss",0,0,0.3,35,35,0,100,0.08
"78",13,"2004-2005","Non-Vegetation","Loss",6,0.12,0.3,16,10,0,61.56,0.08
"79",14,"2005-2006","Forest","Loss",83,0.06,0.07,106,23,0,21.55,0.02
"80",14,"2005-2006","Mosaic Vegetation","Loss",3,0.02,0.07,10,7,0,69.71,0.02
"81",14,"2005-2006","Shrubland","Loss",68,0.16,0.07,31,37,54.52,0,0.02
