Interval*, Id_From*, Id_To_*, Category_name_From, Category_name_To_, Observed_Annual_Transition_number_of_elements, Transition_Intensity_percent_of_t1_category, Uniform_Intensity_percent_of_non_category, Uniform_Annual_Transition_number_of_elements, Hypothesized_Annual_error_number_of_elements, Commission_Intensity_percent_of_transition, Omission_Intensity_percent_of_transition, 
1, 1, 1, Forest, Forest, 0, 0, 0.00424239004020997, 0, 0, 0, 0, 
1, 1, 2, Forest, Other Vegetation, 680, 0.187611566804892, 0.0242990169119025, 87.7842245645036, 592.215775435496, 87.0905552111024, 0, 
1, 1, 3, Forest, Cropland, 642.5, 0.177265340694328, 0.0275265939895118, 99.4714606583817, 543.028539341618, 84.5180605979172, 0, 
1, 1, 4, Forest, Non-Forest, 0, 0, 1.73224723741211e-05, 0.062785496096726, 0.062785496096726, 0, 100, 
1, 2, 1, Other Vegetation, Forest, 15, 0.017957835003412, 0.00424239004020997, 3.54265384606277, 11.4573461539372, 76.3823076929149, 0, 
1, 2, 2, Other Vegetation, Other Vegetation, 0, 0, 0.0242990169119025, 0, 0, 0, 0, 
1, 2, 3, Other Vegetation, Cropland, 124.5, 0.149050030528319, 0.0275265939895118, 22.9367749002676, 101.563225099732, 81.5768876303072, 0, 
1, 2, 4, Other Vegetation, Non-Forest, 0, 0, 1.73224723741211e-05, 0.0144692929622581, 0.0144692929622581, 0, 100, 
1, 3, 1, Cropland, Forest, 2.5, 0.0143959461015778, 0.00424239004020997, 0.736583832399139, 1.76341616760086, 70.5366467040345, 0, 
1, 3, 2, Cropland, Other Vegetation, 0, 0, 0.0242990169119025, 4.22181899794558, 4.22181899794558, 0, 100, 
1, 3, 3, Cropland, Cropland, 0, 0, 0.0275265939895118, 0, 0, 0, 0, 
1, 3, 4, Cropland, Non-Forest, 0.5, 0.00287918922031556, 1.73224723741211e-05, 0.00300804836990282, 0.496991951630097, 99.3983903260194, 0, 
1, 4, 1, Non-Forest, Forest, 90, 0.902165196471532, 0.00424239004020997, 0.415619792764346, 89.5843802072357, 99.5382002302618, 0, 
1, 4, 2, Non-Forest, Other Vegetation, 3.5, 0.035084202085004, 0.0242990169119025, 2.42354679203729, 1.07645320796271, 30.7558059417918, 0, 
1, 4, 3, Non-Forest, Cropland, 25.5, 0.255613472333601, 0.0275265939895118, 2.73351934300139, 22.7664806569986, 89.2803163019553, 0, 
1, 4, 4, Non-Forest, Non-Forest, 0, 0, 1.73224723741211e-05, 0, 0, 0, 0, 
2, 1, 1, Forest, Forest, 0, 0, 0.000768812547336183, 0, 0, 0, 0, 
2, 1, 2, Forest, Other Vegetation, 799, 0.221931498440369, 0.0284161331084227, 101.907873325066, 697.092126674934, 87.2455728003672, 0, 
2, 1, 3, Forest, Cropland, 382, 0.106104921657348, 0.0142313259460183, 51.1415909068788, 330.858409093121, 86.6121489772569, 0, 
2, 1, 4, Forest, Non-Forest, 0.5, 0.000138880787509617, 3.46421003366866e-05, 0.124718576042407, 0.375281423957593, 75.0562847915185, 0, 
2, 2, 1, Other Vegetation, Forest, 14, 0.016545138683716, 0.000768812547336183, 0.650340845470245, 13.3496591545298, 95.3547082466411, 0, 
2, 2, 2, Other Vegetation, Other Vegetation, 0, 0, 0.0284161331084227, 0, 0, 0, 0, 
2, 2, 3, Other Vegetation, Cropland, 27.5, 0.0324993795572994, 0.0142313259460183, 12.03772010084, 15.46227989916, 56.2264723605818, 0, 
2, 2, 4, Other Vegetation, Non-Forest, 0, 0, 3.46421003366866e-05, 0.0293131263512594, 0.0293131263512594, 0, 100, 
2, 3, 1, Cropland, Forest, 0, 0, 0.000768812547336183, 0.145653776701862, 0.145653776701862, 0, 100, 
2, 3, 2, Cropland, Other Vegetation, 0, 0, 0.0284161331084227, 5.3864976860954, 5.3864976860954, 0, 100, 
2, 3, 3, Cropland, Cropland, 0, 0, 0.0142313259460183, 0, 0, 0, 0, 
2, 3, 4, Cropland, Non-Forest, 0.5, 0.00263921879123779, 3.46421003366866e-05, 0.0065626040346296, 0.49343739596537, 98.6874791930741, 0, 
2, 4, 1, Non-Forest, Forest, 5.5, 0.0564739706335353, 0.000768812547336183, 0.0747912346136559, 5.42520876538634, 98.6401593706608, 0, 
2, 4, 2, Non-Forest, Other Vegetation, 0, 0, 0.0284161331084227, 2.7690209007592, 2.7690209007592, 0, 100, 
2, 4, 3, Non-Forest, Cropland, 0, 0, 0.0142313259460183, 1.38638343537382, 1.38638343537382, 0, 100, 
2, 4, 4, Non-Forest, Non-Forest, 0, 0, 3.46421003366866e-05, 0, 0, 0, 0, 
3, 1, 1, Forest, Forest, 0, 0, 0.000315121540408626, 0, 0, 0, 0, 
3, 1, 2, Forest, Other Vegetation, 5497, 1.53677553907357, 0.195604120318774, 680.828811684744, 4816.17118831526, 87.6145386268011, 0, 
3, 1, 3, Forest, Cropland, 884, 0.247136542939974, 0.0344325683080625, 122.639952223849, 761.360047776151, 86.1267022371212, 0, 
