Class	PixelSum	Percentage %	Area [degree^2]
10.0	14722	3.11035616346	0.106921957392
11.0	3106	0.656212895238	0.022558049155
12.0	24	0.0050705439426	0.000174305595531
20.0	6362	1.34411669012	0.0462055082821
30.0	14319	3.02521327975	0.103995075934
40.0	6534	1.38045558837	0.0474546983834
50.0	265800	56.1562741643	1.93043447051
60.0	242	0.0511279847546	0.00175758142161
61.0	7	0.00147890864993	5.083913203e-05
70.0	1230	0.259865377058	0.00893316177099
80.0	23	0.00485927127833	0.000167042862384
100.0	20025	4.23073510211	0.145436231272
110.0	4	0.0008450906571	2.90509325886e-05
120.0	36908	7.79765149306	0.268052954995
121.0	69807	14.748310875	0.506989612803
122.0	1	0.000211272664275	7.26273314714e-06
130.0	814	0.17197594872	0.00591186478178
150.0	9	0.00190145397848	6.53645983243e-05
160.0	17	0.00359163529268	0.000123466463501
170.0	23365	4.93638580079	0.169693759983
180.0	280	0.059156345997	0.0020335652812
190.0	80	0.016901813142	0.000581018651772
210.0	9643	2.0373023016	0.0700345357379
