"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,154,"MMR","Myanmar",1,"Ayeyarwady",1,"Bassein","MM.AY.PT",NA,"","Kayaing","District","","Pathein"
2,154,"MMR","Myanmar",1,"Ayeyarwady",2,"Hinthada","MM.AY.HD",NA,"","Kayaing","District","","Hinthata|Henzada"
3,154,"MMR","Myanmar",1,"Ayeyarwady",3,"Maubin","MM.AY.MU",NA,"","Kayaing","District","","Ma-U-Pin|Manbin| Ma-oo-beng| Ma-ubin"
4,154,"MMR","Myanmar",1,"Ayeyarwady",4,"Myoungmya","MM.AY.MM",NA,"","Kayaing","District","",""
5,154,"MMR","Myanmar",1,"Ayeyarwady",5,"Pharpon","",NA,"","Kayaing","District","","Pyapon"
6,154,"MMR","Myanmar",2,"Bago",6,"Pegu","MM.BA.BG",NA,"","Kayaing","District","",""
7,154,"MMR","Myanmar",2,"Bago",7,"Pyay","MM.BA.PY",NA,"","Kayaing","District","","Prome| Pye"
8,154,"MMR","Myanmar",2,"Bago",8,"Taungoo","MM.BA.TA",NA,"","Kayaing","District","","Taungngu| Toungoo"
9,154,"MMR","Myanmar",2,"Bago",9,"Thayarwady","MM.BA.TW",NA,"","Kayaing","District","","Tharyarwady|Thayawaddy| Tharrawaddy| Tharyarwady"
10,154,"MMR","Myanmar",3,"Chin",10,"Mindat","MM.CH.MI",NA,"","Kayaing","District","",""
11,154,"MMR","Myanmar",3,"Chin",11,"Palam","MM.CH.FL",NA,"","Kayaing","District","","Hpalam| Palam| Falam"
12,154,"MMR","Myanmar",4,"Kachin",12,"Bhamo","MM.KC.BM",NA,"","Kayaing","District","","Bhamaw;Banmo| Hsinkai"
13,154,"MMR","Myanmar",4,"Kachin",13,"Myitkyina","MM.KC.MT",NA,"","Kayaing","District","",""
14,154,"MMR","Myanmar",4,"Kachin",14,"Putao","MM.KC.PU",NA,"","Kayaing","District","","Putato|Pudao| Kamde| Fort Hertz| Hkamti| Hkamti Patau"
15,154,"MMR","Myanmar",5,"Kayah",15,"Bawlake","MM.KH.BW",NA,"","Kayaing","District","",""
16,154,"MMR","Myanmar",5,"Kayah",16,"Loikaw","MM.KH.LK",NA,"","Kayaing","District","","Loi-kaw| Luykau"
17,154,"MMR","Myanmar",6,"Kayin",17,"Hpa-an","MM.KN.HP",NA,"","Kayaing","District","","Pha-An|Pa-an"
18,154,"MMR","Myanmar",6,"Kayin",18,"Kawkareik","MM.KN.KK",NA,"","Kayaing","District","","Kawkeraik|Kawkareit| Kawkayeik"
19,154,"MMR","Myanmar",6,"Kayin",19,"Myawady","MM.KN.MY",NA,"","Kayaing","District","",""
