Category,Interval,Change,AreaKm2
BRG,1996-2007,Loss,209.4075
BUA,1996-2007,Loss,152.8236
FOR,1996-2007,Loss,301.4361
OPM,1996-2007,Loss,1261.0935
RPD,1996-2007,Loss,2961.9207
RBR,1996-2007,Loss,394.1001
SHB,1996-2007,Loss,874.989
WTR,1996-2007,Loss,174.4326
BRG,1996-2007,Gain,61.3242
BUA,1996-2007,Gain,9.9576
FOR,1996-2007,Gain,131.5647
OPM,1996-2007,Gain,42.4278
RPD,1996-2007,Gain,1493.0712
RBR,1996-2007,Gain,9.2394
SHB,1996-2007,Gain,103.2696
WTR,1996-2007,Gain,153.5679
BRG,2007-2016,Loss,29.3787
BUA,2007-2016,Loss,3.0114
FOR,2007-2016,Loss,56.8422
OPM,2007-2016,Loss,530.4114
RPD,2007-2016,Loss,2439.333
RBR,2007-2016,Loss,58.4865
SHB,2007-2016,Loss,88.0992
WTR,2007-2016,Loss,382.1508
BRG,2007-2016,Gain,52.6923
BUA,2007-2016,Gain,27.459
FOR,2007-2016,Gain,12.7764
OPM,2007-2016,Gain,89.9658
RPD,2007-2016,Gain,673.8597
RBR,2007-2016,Gain,13.3551
SHB,2007-2016,Gain,48.7296
WTR,2007-2016,Gain,48.3687
