Reference,Year_Published,Study_Area,Time_Point,Areal_Extent_Km2
"Gaw et al., 2018",2018,Tanintharyi,1989,2588
"Gaw et al., 2018",2018,Tanintharyi,2014,2506
"Estoque et al., 2018",2018,Myanmar,2000,6667.59
"Estoque et al., 2018",2018,Myanmar,2014,4756.37
"Estoque et al., 2018",2018,Ayeyarwady,2000,1739.93
"Estoque et al., 2018",2018,Ayeyarwady,2014,1045.62
"Estoque et al., 2018",2018,Mon,2000,80.61
"Estoque et al., 2018",2018,Mon,2014,25.26
"Estoque et al., 2018",2018,Rakhine,2000,2047.85
"Estoque et al., 2018",2018,Rakhine,2014,1292.91
"Estoque et al., 2018",2018,Tanintharyi,2000,2774.36
"Estoque et al., 2018",2018,Tanintharyi,2014,2377.97
"Estoque et al., 2018",2018,Yangon,2000,24.85
"Estoque et al., 2018",2018,Yangon,2014,14.61
"De Alban et al., 2018",2018,Tanintharyi,1995,3511
"De Alban et al., 2018",2018,Tanintharyi,2015,3428
"Connette et al., 2016",2016,Tanintharyi,2016,2430
"Weber et al., 2014",2014,Tanintharyi,2000,2075
"Weber et al., 2014",2014,Tanintharyi,2013,2040
"Weber et al., 2014",2014,Rakhine,2000,1734
"Weber et al., 2014",2014,Rakhine,2013,1470
"Weber et al., 2014",2014,Ayeyarwady,2000,818
"Weber et al., 2014",2014,Ayeyarwady,2013,462
"Maung, 2012",2012,Ayeyarwady,1980,2964.415937
"Maung, 2012",2012,Ayeyarwady,2007,248.4733211
"Maung, 2012",2012,Rakhine,1980,1674.794116
"Maung, 2012",2012,Rakhine,2007,975.1644038
"Maung, 2012",2012,Tanintharyi,1980,1950.988446
"Maung, 2012",2012,Tanintharyi,2007,1900.734506
"Blasco et al., 2001",2001,Myanmar,2000,6900
"IUCN, 1983",1983,Myanmar,1983,5170
"Spalding et al., 1997",1997,Myanmar,1997,3790
"Blasco & Aizpuru, 2002",2000,Myanmar,2000,6950
"Richards & Friess, 2015",2015,Myanmar,2000,5024.66
"Richards & Friess, 2015",2015,Myanmar,2012,4746.796302
"Giri et al., 2008",2008,Myanmar,1975,8514.52
"Giri et al., 2008",2008,Myanmar,2005,5513.61
"FAO, 2010",2010,Myanmar,2009,4379.31
"Zockler et al., 2013",2013,Ayeyarwady,2001,1100
"FAO, 2010",2010,Ayeyarwady,2005,834
"Oo, 2002",2002,Myanmar,1954,2345.15
"Oo, 2002",2002,Myanmar,1984,1786.42
"Webb et al., 2014",2014,Ayeyarwady,1978,2623
"Webb et al., 2014",2014,Ayeyarwady,1989,2138
"Webb et al., 2014",2014,Ayeyarwady,2000,1198
"Webb et al., 2014",2014,Ayeyarwady,2008,933
"Webb et al., 2014",2014,Ayeyarwady,2009,918
"Webb et al., 2014",2014,Ayeyarwady,2011,938
This study,2019,Myanmar,1996,13233.276
This study,2019,Myanmar,2007,8907.4953
This study,2019,Myanmar,2016,6286.9887
This study,2019,Ayeyarwady,1996,4289.2947
This study,2019,Ayeyarwady,2007,3314.9196
This study,2019,Ayeyarwady,2016,2003.6898
This study,2019,Bago,1996,236.8629
This study,2019,Bago,2007,172.9404
This study,2019,Bago,2016,18.6831
This study,2019,Mon,1996,848.8521
This study,2019,Mon,2007,211.4766
This study,2019,Mon,2016,106.0497
This study,2019,Rakhine,1996,3442.8537
This study,2019,Rakhine,2007,1780.1802
This study,2019,Rakhine,2016,1308.6324
This study,2019,Tanintharyi,1996,4212.3321
This study,2019,Tanintharyi,2007,3284.8452
This study,2019,Tanintharyi,2016,2813.1597
This study,2019,Yangon,1996,203.0805
This study,2019,Yangon,2007,143.1333
This study,2019,Yangon,2016,36.774
