Category level Intensity Analysis for interval:  1996 - 2007 
"","Gross Loss","Gross Gain","Loss Intensity","Gain Intensity","Uniform Category Intensity","Loss Behavior","Gain Behavior"
"BRG","14344.7272727273","33651.2727272727","0.0536311633930058","0.0701299026080933","0.0212553107214639","Active","Active"
"BUA","5801.45454545455","27218","0.0783017444150375","0.0878927126355866","0.0212553107214639","Active","Active"
"FOR","86972.8181818182","30188.9090909091","0.0188106561675775","0.00754917118430723","0.0212553107214639","Dormant","Dormant"
"MNG","225413.363636364","126991.636363636","0.0472972927863239","0.0344782035519874","0.0212553107214639","Active","Active"
"OPM","7649.45454545455","122060.727272727","0.0815976633184834","0.0902635770021721","0.0212553107214639","Active","Active"
"RPD","286267.727272727","245003","0.0121162570280616","0.0105728544035658","0.0212553107214639","Dormant","Dormant"
"RBR","14961.5454545455","48902.6363636364","0.0431646128699929","0.0679233470982549","0.0212553107214639","Active","Active"
"SHB","129099","127469.545454545","0.0514628149381246","0.0511789408184105","0.0212553107214639","Active","Active"
"WTR","29634.4545454545","38658.8181818182","0.0221529576783292","0.0269026729393831","0.0212553107214639","Active","Active"

Category level Intensity Analysis for interval:  2007 - 2016 
"","Gross Loss","Gross Gain","Loss Intensity","Gain Intensity","Uniform Category Intensity","Loss Behavior","Gain Behavior"
"BRG","44879.6666666667","12550.6666666667","0.0935300925443514","0.0664474810418553","0.0232662845587252","Active","Active"
"BUA","33060.8888888889","2790.22222222222","0.106760643933727","0.0749314451277553","0.0232662845587252","Active","Active"
"FOR","75287.8888888889","40654.4444444444","0.0188268201284053","0.011025624776615","0.0232662845587252","Dormant","Dormant"
"MNG","230268.333333333","68388.1111111111","0.0625178058617168","0.0307179784016468","0.0232662845587252","Active","Active"
"OPM","116162.888888889","92270.4444444444","0.0859021415019847","0.0811355621641595","0.0232662845587252","Active","Active"
"RPD","145511","463886.111111111","0.00627937868971918","0.0178155914370117","0.0232662845587252","Dormant","Dormant"
"RBR","55522.1111111111","28612.8888888889","0.0771174706530167","0.0598865365988654","0.0232662845587252","Active","Active"
"SHB","151214.111111111","90182.4444444444","0.0607123687141706","0.0464527763226266","0.0232662845587252","Active","Active"
"WTR","23939.6666666667","76511.2222222222","0.0166596148796418","0.0400554632989878","0.0232662845587252","Dormant","Active"

