Category level Intensity Analysis for interval:  1996 - 2007 
"","Gross Loss","Gross Gain","Loss Intensity","Gain Intensity","Uniform Category Intensity","Loss Behavior","Gain Behavior"
"BRG","15807.7272727273","29690.9090909091","0.0735496276519698","0.0807606036620211","0.0168681725531432","Active","Active"
"BUA","2333.27272727273","34292.0909090909","0.0568425435410429","0.0873472431108163","0.0168681725531432","Active","Active"
"FOR","254837.272727273","102935","0.0151320414625742","0.00678544071910444","0.0168681725531432","Dormant","Dormant"
"MNG","20265.0909090909","13808.2727272727","0.0770005848031997","0.071859701114057","0.0168681725531432","Active","Active"
"OPM","53","26608.2727272727","0.0333123821495915","0.0905970831608985","0.0168681725531432","Active","Active"
"RPD","118995.454545455","224734.545454545","0.00636504037303849","0.0113169126917591","0.0168681725531432","Dormant","Dormant"
"RBR","12751.5454545455","9996.54545454545","0.0779648769804986","0.075020979020979","0.0168681725531432","Active","Active"
"SHB","275129","244157.909090909","0.0448469577537612","0.0421386204542003","0.0168681725531432","Active","Active"
"WTR","22922.4545454545","36871.2727272727","0.0447531121664953","0.0553926291845722","0.0168681725531432","Active","Active"

Category level Intensity Analysis for interval:  2007 - 2016 
"","Gross Loss","Gross Gain","Loss Intensity","Gain Intensity","Uniform Category Intensity","Loss Behavior","Gain Behavior"
"BRG","36084.1111111111","10923.7777777778","0.0981503997408099","0.0773649611026911","0.0177612069908704","Active","Active"
"BUA","40914.3333333333","11134.1111111111","0.104215115662027","0.0893782048366108","0.0177612069908704","Active","Active"
"FOR","199884.777777778","150211.666666667","0.013176337594234","0.0102025716543677","0.0177612069908704","Dormant","Dormant"
"MNG","20526.5555555556","1482.44444444444","0.106822350358852","0.0714121318196659","0.0177612069908704","Active","Active"
"OPM","25123.5555555556","17224.6666666667","0.0855418491569789","0.0773763265037203","0.0177612069908704","Active","Active"
"RPD","138751.777777778","270922.222222222","0.0069870956054465","0.0128717443356842","0.0177612069908704","Dormant","Dormant"
"RBR","11465.2222222222","19234.3333333333","0.0860429435063581","0.0946701973369034","0.0177612069908704","Active","Active"
"SHB","271548.888888889","194969.333333333","0.046865963123022","0.0381922570224734","0.0177612069908704","Active","Active"
"WTR","17077.6666666667","85274.3333333333","0.0256562029741024","0.0666515554756573","0.0177612069908704","Active","Active"

