Category level Intensity Analysis for interval:  1996 - 2007 
"","Gross Loss","Gross Gain","Loss Intensity","Gain Intensity","Uniform Category Intensity","Loss Behavior","Gain Behavior"
"BRG","17449.4545454545","12908.7272727273","0.0637513820981055","0.0576892840761309","0.0317203007518371","Active","Active"
"BUA","406.636363636364","5699.18181818182","0.0350911601343082","0.0816431512789992","0.0317203007518371","Active","Active"
"FOR","186324.727272727","14801.0909090909","0.0339339236419995","0.0041067939981662","0.0317203007518371","Active","Dormant"
"MNG","71163.6363636364","6782.27272727273","0.0754516278245324","0.0288639284655865","0.0317203007518371","Active","Dormant"
"OPM","2683.18181818182","42741.0909090909","0.058872692166531","0.0879061047505742","0.0317203007518371","Active","Active"
"RPD","41156.9090909091","105553.545454545","0.00935332429085957","0.0206619036176683","0.0317203007518371","Dormant","Dormant"
"RBR","11411.8181818182","87886.1818181818","0.0420885976212046","0.0790090419058124","0.0317203007518371","Active","Active"
"SHB","68207.7272727273","111019","0.0573516360792803","0.0668702950342546","0.0317203007518371","Active","Active"
"WTR","8142.18181818182","19555.1818181818","0.0399753624223381","0.0593979819702202","0.0317203007518371","Active","Active"

Category level Intensity Analysis for interval:  2007 - 2016 
"","Gross Loss","Gross Gain","Loss Intensity","Gain Intensity","Uniform Category Intensity","Loss Behavior","Gain Behavior"
"BRG","17583.5555555556","14311.7777777778","0.0785811575441675","0.0736517020012545","0.0311128806845533","Active","Active"
"BUA","6343.44444444444","1238.22222222222","0.0908724815122546","0.0518974903483894","0.0311128806845533","Active","Active"
"FOR","31660.2222222222","69972.2222222222","0.00878462347143414","0.0177196096244084","0.0311128806845533","Dormant","Dormant"
"MNG","17607.5555555556","4591.88888888889","0.0749340588982422","0.0389694643172022","0.0311128806845533","Active","Active"
"OPM","24168.5555555556","64396.5555555556","0.0497077526836089","0.075915610753191","0.0311128806845533","Active","Active"
"RPD","94754.1111111111","84851.7777777778","0.0185479351046403","0.0169044754338946","0.0311128806845533","Dormant","Dormant"
"RBR","37458.5555555556","128490","0.0336749705629812","0.0665186403877743","0.0311128806845533","Active","Active"
"SHB","154049.111111111","19516.7777777778","0.0927887074263385","0.0434262994501345","0.0311128806845533","Active","Active"
"WTR","15528.4444444444","11784.3333333333","0.0471669489812208","0.0398757920904872","0.0311128806845533","Active","Active"

