Category level Intensity Analysis for interval:  1996 - 2007 
"","Gross Loss","Gross Gain","Loss Intensity","Gain Intensity","Uniform Category Intensity","Loss Behavior","Gain Behavior"
"BRG","20852.2727272727","79270.8181818182","0.0328239579761753","0.0620330689750354","0.0172481176747523","Active","Active"
"BUA","3765.09090909091","19041.2727272727","0.0853742751658899","0.0897584731108977","0.0172481176747523","Active","Active"
"FOR","285772.090909091","34899.0909090909","0.0108694095059375","0.00148306045481978","0.0172481176747523","Dormant","Dormant"
"MNG","189754.272727273","21807.4545454545","0.0496038636363042","0.0110251249232573","0.0172481176747523","Active","Dormant"
"OPM","3359.81818181818","36329.8181818182","0.0628802624236072","0.0873098859938625","0.0172481176747523","Active","Active"
"RPD","79964.4545454545","197235.818181818","0.0117744945532677","0.0244064074961356","0.0172481176747523","Dormant","Active"
"RBR","43578.1818181818","12831.9090909091","0.0777344784422877","0.0576989895901377","0.0172481176747523","Active","Active"
"SHB","42075.6363636364","258347.272727273","0.0539380063476495","0.0817797411786387","0.0172481176747523","Active","Active"
"WTR","14896.9090909091","24255.2727272727","0.0220377931759041","0.0311398997413995","0.0172481176747523","Active","Active"

Category level Intensity Analysis for interval:  2007 - 2016 
"","Gross Loss","Gross Gain","Loss Intensity","Gain Intensity","Uniform Category Intensity","Loss Behavior","Gain Behavior"
"BRG","82488.8888888889","33847.2222222222","0.06455135763052","0.0402892760098109","0.0165326834770187","Active","Active"
"BUA","22597.5555555556","898.444444444444","0.106522400669163","0.0533296399622749","0.0165326834770187","Active","Active"
"FOR","45240.5555555556","179726.444444444","0.00192252798427607","0.00726396993750811","0.0165326834770187","Dormant","Dormant"
"MNG","88208.2222222222","29992.4444444444","0.0445951482889204","0.0206270301728736","0.0165326834770187","Active","Active"
"OPM","23416.1111111111","77867.3333333333","0.0562749304524158","0.0859308240717546","0.0165326834770187","Active","Active"
"RPD","118607.444444444","183143.666666667","0.0146767541913603","0.0211430071333035","0.0165326834770187","Dormant","Active"
"RBR","16107.8888888889","46617.6666666667","0.0724295119872339","0.0938015193038514","0.0165326834770187","Active","Active"
"SHB","242402.555555556","47055.6666666667","0.0767324463893256","0.0335886381048915","0.0165326834770187","Active","Active"
"WTR","16577.1111111111","56497.4444444444","0.0212823654389015","0.0496377112944031","0.0165326834770187","Active","Active"

