Category level Intensity Analysis for interval:  1996 - 2007 
"","Gross Loss","Gross Gain","Loss Intensity","Gain Intensity","Uniform Category Intensity","Loss Behavior","Gain Behavior"
"BRG","3757.72727272727","13185.1818181818","0.0449134328487949","0.0703705105363873","0.0129800765457534","Active","Active"
"BUA","724.454545454545","3503.63636363636","0.0563120517259654","0.0806620398663865","0.0129800765457534","Active","Active"
"FOR","300366.636363636","97932.0909090909","0.00818001619473532","0.00283920509489422","0.0129800765457534","Dormant","Dormant"
"MNG","115857.909090909","22172.3636363636","0.0247540117223469","0.00607490644391013","0.0129800765457534","Active","Dormant"
"OPM","20582.5454545455","205717.727272727","0.0385391849999353","0.0800285258524822","0.0129800765457534","Active","Active"
"RPD","39571.1818181818","78041.2727272727","0.0209025389821406","0.0336922274400985","0.0129800765457534","Active","Active"
"RBR","39079.1818181818","99224.4545454545","0.0547161948460715","0.0721205443071916","0.0129800765457534","Active","Active"
"SHB","63466.2727272727","70824.9090909091","0.0754254266799368","0.0767842082797053","0.0129800765457534","Active","Active"
"WTR","11809.3636363636","4613.63636363636","0.0313456076262416","0.0155031229246435","0.0129800765457534","Active","Active"

Category level Intensity Analysis for interval:  2007 - 2016 
"","Gross Loss","Gross Gain","Loss Intensity","Gain Intensity","Uniform Category Intensity","Loss Behavior","Gain Behavior"
"BRG","17853","2961.44444444444","0.0952830792878186","0.0555159801373059","0.0150401856909707","Active","Active"
"BUA","4086.44444444444","244.111111111111","0.0940796676591869","0.027567601480645","0.0150401856909707","Active","Active"
"FOR","248412.777777778","88220.1111111111","0.00720187650193447","0.00266920743643254","0.0150401856909707","Dormant","Dormant"
"MNG","70232","11999.2222222222","0.0192425506078643","0.00383885067029789","0.0150401856909707","Active","Dormant"
"OPM","115785.222222222","144030.444444444","0.0450428884899262","0.0509885237922503","0.0150401856909707","Active","Active"
"RPD","81355.2222222222","88593.8888888889","0.0351229362971802","0.037201705051126","0.0150401856909707","Active","Active"
"RBR","54111.2222222222","291953.111111111","0.0393303326047142","0.0830263503436083","0.0150401856909707","Active","Active"
"SHB","92706.7777777778","39416","0.100507245617389","0.0890209859702059","0.0150401856909707","Active","Active"
"WTR","5141.11111111111","22265.4444444444","0.017275587246756","0.0492911305285534","0.0150401856909707","Active","Active"

