Category level Intensity Analysis for interval:  1996 - 2007 
"","Gross Loss","Gross Gain","Loss Intensity","Gain Intensity","Uniform Category Intensity","Loss Behavior","Gain Behavior"
"BRG","5660.36363636364","18835.2727272727","0.0646588338896031","0.0810237743466689","0.0162073322103478","Active","Active"
"BUA","687.636363636364","24054.0909090909","0.0106397493947974","0.074781107097839","0.0162073322103478","Dormant","Active"
"FOR","24312.2727272727","8996.27272727273","0.0275614352001477","0.0126062484617827","0.0162073322103478","Active","Dormant"
"MNG","16960.1818181818","10904.9090909091","0.0751631182529275","0.0685683777417148","0.0162073322103478","Active","Active"
"OPM","173.636363636364","16332.2727272727","0.0363028148936575","0.0894781771962259","0.0162073322103478","Active","Active"
"RPD","71344.4545454545","46163.0909090909","0.00873167592126397","0.00584804252026294","0.0162073322103478","Dormant","Dormant"
"RBR","3883.72727272727","9113.72727272727","0.059906328439415","0.0744828969657345","0.0162073322103478","Active","Active"
"SHB","43961.3636363636","27747.1818181818","0.0492167806958469","0.0388146845174276","0.0162073322103478","Active","Active"
"WTR","5344","10180.8181818182","0.0223436591923001","0.0348207395283441","0.0162073322103478","Active","Active"

Category level Intensity Analysis for interval:  2007 - 2016 
"","Gross Loss","Gross Gain","Loss Intensity","Gain Intensity","Uniform Category Intensity","Loss Behavior","Gain Behavior"
"BRG","23441.7777777778","11409.6666666667","0.100839597092813","0.0918822863063745","0.0204303467969616","Active","Active"
"BUA","22831.4444444444","17158.3333333333","0.0709800548543321","0.0634080063463438","0.0204303467969616","Active","Active"
"FOR","9648.55555555555","26485.5555555556","0.0135202758206643","0.0306131583026617","0.0204303467969616","Dormant","Active"
"MNG","16084.8888888889","2954.11111111111","0.101139287643057","0.0722983629738402","0.0204303467969616","Active","Active"
"OPM","15830.1111111111","11248.1111111111","0.0867270287907122","0.079610100581153","0.0204303467969616","Active","Active"
"RPD","58000.6666666667","106510.444444444","0.00734765281506458","0.0127858214516216","0.0204303467969616","Dormant","Dormant"
"RBR","10169.6666666667","9661.55555555555","0.0831126729868149","0.0820256527083257","0.0204303467969616","Active","Active"
"SHB","55650.3333333333","11582.6666666667","0.0778475502765332","0.0363944103347222","0.0204303467969616","Active","Active"
"WTR","5572.22222222222","20219.2222222222","0.0190582814788466","0.0476642493115816","0.0204303467969616","Dormant","Active"

