"","BRG","BUA","FOR","IAS","MNG","OPM","RPD","RBR","SHB","WTR"
"BRG",75855,742,6,70,8123,114,254947,23,255,139707
"BUA",1604,12125,271,0,15409,7146,251296,399,7810,13613
"FOR",59,0,3321379,0,1068,78956,30794,68867,497640,207
"IAS",0,0,0,0,0,0,0,0,0,0
"MNG",3483,805,496,0,1610829,194509,1664940,15702,34461,158019
"OPM",744,190,8906,0,68888,306804,858817,60614,24406,22901
"RPD",70216,22819,12494,0,451651,168177,21863235,37642,201767,344833
"RBR",608,1,98257,0,11628,174261,166521,220269,45156,3267
"SHB",1573,275,245394,0,32773,206599,794214,74045,1129737,6054
"WTR",34654,280,66,15,25953,672,153446,224,147,1221531
