Category level Intensity Analysis for interval:  2007 - 2016 
"","Gross Loss","Gross Gain","Loss Intensity","Gain Intensity","Uniform Category Intensity","Loss Behavior","Gain Behavior"
"BRG","17853","2961.44444444444","0.0952830792878186","0.0555159801373059","0.0150401856909707","Active","Active"
"BUA","4086.44444444444","244.111111111111","0.0940796676591869","0.027567601480645","0.0150401856909707","Active","Active"
"FOR","248412.777777778","88220.1111111111","0.00720187650193447","0.00266920743643254","0.0150401856909707","Dormant","Dormant"
"MNG","70232","11999.2222222222","0.0192425506078643","0.00383885067029789","0.0150401856909707","Active","Dormant"
"OPM","115785.222222222","144030.444444444","0.0450428884899262","0.0509885237922503","0.0150401856909707","Active","Active"
"RPD","81355.2222222222","88593.8888888889","0.0351229362971802","0.037201705051126","0.0150401856909707","Active","Active"
"RBR","54111.2222222222","291953.111111111","0.0393303326047142","0.0830263503436083","0.0150401856909707","Active","Active"
"SHB","92706.7777777778","39416","0.100507245617389","0.0890209859702059","0.0150401856909707","Active","Active"
"WTR","5141.11111111111","22265.4444444444","0.017275587246756","0.0492911305285534","0.0150401856909707","Active","Active"

