SOURCE_ID,n,GiZScore,GiPValue,NNeighbors,Gi_Bin,ID_0,ISO,NAME_0,NAME_1,NAME_2
"0","1",-1.56428476020,0.11775070945,"25","0","154",MMR,Myanmar,Tanintharyi,Dawei
"1","2",-1.74239907562,0.08143863756,"27","-1","154",MMR,Myanmar,Tanintharyi,Dawei
"2","1",-1.74239907562,0.08143863756,"27","-1","154",MMR,Myanmar,Tanintharyi,Dawei
"3","3",-1.84010185539,0.06575328496,"29","-1","154",MMR,Myanmar,Tanintharyi,Dawei
"4","2",-2.04697307165,0.04066072859,"32","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"5","3",-2.04691755463,0.04066618017,"35","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"6","1",-2.04691755463,0.04066618017,"35","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"7","1",-1.79177200056,0.07316949566,"28","-1","154",MMR,Myanmar,Tanintharyi,Dawei
"8","6",-2.16665769266,0.03026096479,"34","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"9","1",-2.12231680868,0.03381114290,"36","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"10","2",-1.68835134201,0.09134380499,"19","-1","154",MMR,Myanmar,Tanintharyi,Dawei
"11","2",-1.68835134201,0.09134380499,"19","-1","154",MMR,Myanmar,Tanintharyi,Dawei
"12","4",-1.92225052058,0.05457424265,"30","-1","154",MMR,Myanmar,Tanintharyi,Dawei
"13","1",-2.18614809054,0.02880477259,"36","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"14","11",-2.18614809054,0.02880477259,"36","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"15","3",-2.22772861941,0.02589861734,"37","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"16","2",-2.03550638925,0.04179994632,"34","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"17","2",-1.77320378244,0.07619494553,"34","-1","154",MMR,Myanmar,Tanintharyi,Dawei
"18","1",-1.96815562945,0.04905013376,"31","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"19","2",-2.18614809054,0.02880477259,"36","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"20","5",-2.25923555642,0.02386873616,"37","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"21","1",-2.29983232490,0.02145772135,"38","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"22","2",-2.08202820695,0.03733989334,"38","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"23","1",-1.89890732218,0.05757666245,"36","-1","154",MMR,Myanmar,Tanintharyi,Dawei
"24","7",-1.68075329092,0.09281084474,"40","-1","154",MMR,Myanmar,Tanintharyi,Dawei
"25","1",-2.25923555642,0.02386873616,"37","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"26","1",-2.37062072861,0.01775824325,"39","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"27","2",-2.18619047475,0.02880167286,"39","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"28","2",-2.19622168241,0.02807608017,"37","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"29","3",-2.26871745090,0.02328551369,"38","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"30","1",-2.05810651397,0.03957990986,"41","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"31","1",-1.54762656912,0.12171223073,"41","0","154",MMR,Myanmar,Tanintharyi,Dawei
"32","1",-1.18362133573,0.23656301181,"46","0","154",MMR,Myanmar,Tanintharyi,Dawei
"33","1",-0.75355263573,0.45111790014,"48","0","154",MMR,Myanmar,Tanintharyi,Dawei
"34","2",0.26890991488,0.78799900725,"56","0","154",MMR,Myanmar,Tanintharyi,Dawei
"35","4",0.17054400744,0.86458232838,"59","0","154",MMR,Myanmar,Tanintharyi,Dawei
"37","2",0.08248988869,0.93425715859,"61","0","154",MMR,Myanmar,Tanintharyi,Dawei
"38","1",-1.64020849651,0.10096182330,"25","0","154",MMR,Myanmar,Tanintharyi,Dawei
"39","2",0.21444154279,0.83020274874,"60","0","154",MMR,Myanmar,Tanintharyi,Dawei
"41","1",-1.95704359067,0.05034234359,"30","-1","154",MMR,Myanmar,Tanintharyi,Dawei
"42","2",0.07671586108,0.93884958641,"62","0","154",MMR,Myanmar,Tanintharyi,Dawei
"43","3",0.10280765294,0.91811563130,"66","0","154",MMR,Myanmar,Tanintharyi,Dawei
"44","1",-1.06891869708,0.28510632227,"61","0","154",MMR,Myanmar,Tanintharyi,Dawei
"45","4",-2.08071552169,0.03745995250,"32","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"46","1",0.05745926726,0.95417935248,"61","0","154",MMR,Myanmar,Tanintharyi,Dawei
"47","1",-0.01763259703,0.98593195205,"61","0","154",MMR,Myanmar,Tanintharyi,Dawei
"48","3",-0.05232843114,0.95826699957,"63","0","154",MMR,Myanmar,Tanintharyi,Dawei
"49","9",-0.02267988750,0.98190561916,"62","0","154",MMR,Myanmar,Tanintharyi,Dawei
"50","2",-0.00806631257,0.99356408353,"64","0","154",MMR,Myanmar,Tanintharyi,Dawei
"51","1",-0.02772002438,0.97788545269,"68","0","154",MMR,Myanmar,Tanintharyi,Dawei
"52","1",-0.49146805327,0.62309544371,"85","0","154",MMR,Myanmar,Tanintharyi,Dawei
"53","1",-1.94801963039,0.05141261433,"58","-1","154",MMR,Myanmar,Tanintharyi,Dawei
"54","2",1.19690984796,0.23134171698,"36","0","154",MMR,Myanmar,Tanintharyi,Dawei
"56","3",-0.17955986961,0.85749811203,"64","0","154",MMR,Myanmar,Tanintharyi,Dawei
"57","2",0.00216904964,0.99826935013,"62","0","154",MMR,Myanmar,Tanintharyi,Dawei
"58","17",-0.05232843114,0.95826699957,"63","0","154",MMR,Myanmar,Tanintharyi,Dawei
"59","1",-0.15906148581,0.87362043177,"65","0","154",MMR,Myanmar,Tanintharyi,Dawei
"60","4",-0.10356361972,0.91751565964,"69","0","154",MMR,Myanmar,Tanintharyi,Dawei
