SOURCE_ID,n,GiZScore,GiPValue,NNeighbors,Gi_Bin
"0","1",-0.74561219275,0.45590172127,"1","0"
"1","2",-0.79941933686,0.42404730891,"2","0"
"2","7",-0.68340203458,0.49435283936,"2","0"
"3","7",-0.54876211044,0.58316871814,"1","0"
"4","2",-0.71280384570,0.47596715078,"1","0"
"5","11",-0.96979826246,0.33214707143,"3","0"
"6","1",-0.74561219275,0.45590172127,"1","0"
"7","4",-0.64718715159,0.51751082974,"1","0"
"8","7",-0.75301241595,0.45144245916,"2","0"
"9","5",-0.79941933686,0.42404730891,"2","0"
"10","8",-0.96979826246,0.33214707143,"3","0"
"11","1",-1.00825048097,0.31333424272,"2","0"
"12","5",-0.96184356006,0.33612820517,"2","0"
"13","3",-1.00825048097,0.31333424272,"2","0"
"14","2",-0.71280384570,0.47596715078,"1","0"
"15","3",-0.67999549865,0.49650731564,"1","0"
"16","2",-0.71280384570,0.47596715078,"1","0"
"17","10",-1.04559500787,0.29574807022,"3","0"
"18","5",-0.75301241595,0.45144245916,"2","0"
"19","1",-0.96184356006,0.33612820517,"2","0"
"20","12",-0.38472037519,0.70044459862,"1","0"
"21","3",-0.98874744881,0.32278673444,"3","0"
"22","1",-0.74561219275,0.45590172127,"1","0"
"23","2",-0.71280384570,0.47596715078,"1","0"
"24","2",-1.21613768505,0.22393249957,"3","0"
"25","4",-0.64718715159,0.51751082974,"1","0"
"26","1",-0.74561219275,0.45590172127,"1","0"
"27","1",-0.84582625777,0.39764968347,"2","0"
"28","1",-1.25403605775,0.20982892417,"3","0"
"29","13",-0.35191202814,0.72490423902,"1","0"
"30","10",-0.45033706929,0.65246741525,"1","0"
"31","3",-0.96184356006,0.33612820517,"2","0"
"32","13",-0.72980895549,0.46550697518,"2","0"
"33","13",-0.35191202814,0.72490423902,"1","0"
"34","12",-0.63699511366,0.52412803018,"2","0"
"35","4",-0.82262279732,0.41072253819,"2","0"
"36","1",-1.03145394142,0.30232801107,"2","0"
"37","4",-0.96184356006,0.33612820517,"2","0"
"38","1",-0.74561219275,0.45590172127,"1","0"
"39","2",-1.00825048097,0.31333424272,"2","0"
"40","6",-0.63699511366,0.52412803018,"2","0"
"41","14",-0.95084907611,0.34168100735,"3","0"
"42","1",-0.75301241595,0.45144245916,"2","0"
"43","1",-0.55650715556,0.57786420670,"4","0"
"44","3",-0.78030639894,0.43521055395,"3","0"
"45","1",-0.52097781138,0.60238223065,"2","0"
"46","32",0.27144656583,0.78604759187,"1","0"
"47","35",0.36987160698,0.71147815865,"1","0"
"48","23",-0.02382855763,0.98098936082,"1","0"
"49","8",-0.63699511366,0.52412803018,"2","0"
"50","8",-0.82262279732,0.41072253819,"2","0"
"51","6",-0.58157045749,0.56085604977,"1","0"
"52","2",-0.86902971823,0.38483088527,"2","0"
"53","3",-0.67999549865,0.49650731564,"1","0"
"54","9",-0.48314541634,0.62899249031,"1","0"
"55","2",-1.08349338058,0.27858950405,"3","0"
"56","19",-0.49777435092,0.61864309804,"2","0"
"57","33",-0.59081453541,0.55464469775,"3","0"
"58","26",-1.04891608877,0.29421675527,"4","0"
"59","6",-1.06454419422,0.28708226093,"3","0"
"60","4",-0.82262279732,0.41072253819,"2","0"
"61","24",-0.52097781138,0.60238223065,"2","0"
"62","58",1.12446358915,0.26081642711,"1","0"
"63","86",2.04309730658,0.04104280650,"1","2"
"64","83",1.94467226543,0.05181443561,"1","1"
"65","64",1.32131367146,0.18639679732,"1","0"
"66","70",1.51816375376,0.12897312245,"1","0"
"67","37",0.43548830108,0.66320803014,"1","0"
"68","22",-0.05663690468,0.95483443603,"1","0"
"69","2",-0.98874744881,0.32278673444,"3","0"
"70","8",-1.06454419422,0.28708226093,"3","0"
"71","5",-0.79941933686,0.42404730891,"2","0"
"72","1",-0.84582625777,0.39764968347,"2","0"
"73","10",-1.10244256693,0.27026933177,"3","0"
"74","4",-0.64718715159,0.51751082974,"1","0"
"75","1",-1.14034093964,0.25414430705,"3","0"
"76","4",-1.14034093964,0.25414430705,"3","0"
"77","1",-1.00769663517,0.31360013454,"3","0"
"78","1",-0.89400151705,0.37132108932,"3","0"
"79","7",-0.49777435092,0.61864309804,"2","0"
"80","6",-0.35954358228,0.71918848115,"4","0"
"81","29",-0.83553888438,0.40341437111,"4","0"
"82","1",-0.72345883988,0.46939803835,"3","0"
"83","8",-1.00769663517,0.31360013454,"3","0"
"84","6",-0.58157045749,0.56085604977,"1","0"
"85","3",-0.67999549865,0.49650731564,"1","0"
"86","14",-0.31910368109,0.74964789287,"1","0"
"87","123",3.25700614746,0.00112593994,"1","3"
"88","51",0.89480515980,0.37089126148,"1","0"
"89","112",2.89611432990,0.00377814725,"1","3"
"90","6",-0.58157045749,0.56085604977,"1","0"
"91","16",-0.25348698698,0.79989191600,"1","0"
"92","18",-0.18787029288,0.85097833099,"1","0"
"93","10",-0.45033706929,0.65246741525,"1","0"
"94","13",-0.75301241595,0.45144245916,"2","0"
"95","4",-0.96184356006,0.33612820517,"2","0"
"96","1",-0.74561219275,0.45590172127,"1","0"
"97","8",-0.51595376339,0.60588670471,"1","0"
"98","6",-0.66019857412,0.50912641137,"2","0"
"99","6",-1.14034093964,0.25414430705,"3","0"
"100","10",-0.84582625777,0.39764968347,"2","0"
"101","7",-0.91543663914,0.35996246162,"2","0"
"102","4",-0.93864009960,0.34791556859,"2","0"
"103","19",-0.89400151705,0.37132108932,"3","0"
"104","4",-0.89400151705,0.37132108932,"3","0"
"105","2",-0.71280384570,0.47596715078,"1","0"
"106","5",-0.59081453541,0.55464469775,"3","0"
"107","4",-0.33535012773,0.73736098476,"2","0"
"108","2",-0.71280384570,0.47596715078,"1","0"
"109","15",-0.28629533404,0.77465193189,"1","0"
"110","3",-0.67999549865,0.49650731564,"1","0"
"111","28",0.14021317763,0.88849156055,"1","0"
"112","25",0.04178813647,0.96666759247,"1","0"
"113","34",0.33706325993,0.73606921336,"1","0"
"114","56",1.05884689505,0.28966952831,"1","0"
"115","11",-0.41752872224,0.67629172123,"1","0"
"116","3",-0.67999549865,0.49650731564,"1","0"
"117","10",-0.45033706929,0.65246741525,"1","0"
"118","7",-0.54876211044,0.58316871814,"1","0"
"119","59",1.15727193620,0.24716129534,"1","0"
"120","16",-0.25348698698,0.79989191600,"1","0"
"121","29",0.17302152468,0.86263450861,"1","0"
"122","47",0.76357177159,0.44512248296,"1","0"
"123","25",0.04178813647,0.96666759247,"1","0"
"124","1",-0.74561219275,0.45590172127,"1","0"
"125","1",-0.74561219275,0.45590172127,"1","0"
"126","1",-0.74561219275,0.45590172127,"1","0"
"127","3",-0.67999549865,0.49650731564,"1","0"
"128","2",-0.71280384570,0.47596715078,"1","0"
"129","7",-0.54876211044,0.58316871814,"1","0"
"130","10",-0.45033706929,0.65246741525,"1","0"
"131","2",-0.72345883988,0.46939803835,"3","0"
"132","19",-0.72345883988,0.46939803835,"3","0"
"133","13",-0.66019857412,0.50912641137,"2","0"
"134","2",-0.42816396955,0.66853174747,"2","0"
