SOURCE_ID,n,GiZScore,GiPValue,NNeighbors,Gi_Bin,ID_0,ISO,NAME_0,NAME_1,NAME_2
"1","1",-0.64183902459,0.52097771222,"1","0","154",MMR,Myanmar,Tanintharyi,Dawei
"2","1",-0.88436285340,0.37650037825,"3","0","154",MMR,Myanmar,Tanintharyi,Dawei
"3","6",-0.51697934660,0.60517057848,"2","0","154",MMR,Myanmar,Tanintharyi,Dawei
"4","2",-0.92930937025,0.35272879150,"4","0","154",MMR,Myanmar,Tanintharyi,Dawei
"5","5",-0.87137031481,0.38355199804,"5","0","154",MMR,Myanmar,Tanintharyi,Dawei
"6","2",-0.65914722977,0.50980123365,"5","0","154",MMR,Myanmar,Tanintharyi,Dawei
"7","3",-1.04822288567,0.29453594401,"5","0","154",MMR,Myanmar,Tanintharyi,Dawei
"8","7",-0.76525877229,0.44411747504,"5","0","154",MMR,Myanmar,Tanintharyi,Dawei
"9","1",-0.42806588498,0.66860315458,"3","0","154",MMR,Myanmar,Tanintharyi,Dawei
"10","12",-0.65914722977,0.50980123365,"5","0","154",MMR,Myanmar,Tanintharyi,Dawei
"11","7",-0.53399988143,0.59334161836,"4","0","154",MMR,Myanmar,Tanintharyi,Dawei
"12","2",-0.76754522253,0.44275742294,"6","0","154",MMR,Myanmar,Tanintharyi,Dawei
"13","3",-0.96134856266,0.33637695000,"6","0","154",MMR,Myanmar,Tanintharyi,Dawei
"14","1",-1.31298149124,0.18918918506,"7","0","154",MMR,Myanmar,Tanintharyi,Dawei
"15","4",-0.89674744928,0.36985370502,"6","0","154",MMR,Myanmar,Tanintharyi,Dawei
"16","6",-0.80062928646,0.42334629823,"5","0","154",MMR,Myanmar,Tanintharyi,Dawei
"17","1",0.30200926449,0.76264500091,"3","0","154",MMR,Myanmar,Tanintharyi,Dawei
"18","1",0.81005238056,0.41791007877,"4","0","154",MMR,Myanmar,Tanintharyi,Dawei
"19","15",-1.02594967604,0.30491531983,"6","0","154",MMR,Myanmar,Tanintharyi,Dawei
"20","1",-1.17620354449,0.23951356915,"8","0","154",MMR,Myanmar,Tanintharyi,Dawei
"21","4",-1.15515190279,0.24802824657,"6","0","154",MMR,Myanmar,Tanintharyi,Dawei
"22","5",-1.07365764516,0.28297616735,"7","0","154",MMR,Myanmar,Tanintharyi,Dawei
"23","1",-0.41223909895,0.68016418282,"6","0","154",MMR,Myanmar,Tanintharyi,Dawei
"24","10",-0.42806588498,0.66860315458,"3","0","154",MMR,Myanmar,Tanintharyi,Dawei
"26","1",-0.83873315656,0.40161907607,"3","0","154",MMR,Myanmar,Tanintharyi,Dawei
"27","7",-0.83873315656,0.40161907607,"3","0","154",MMR,Myanmar,Tanintharyi,Dawei
"28","32",0.87978316860,0.37897679381,"6","0","154",MMR,Myanmar,Tanintharyi,Dawei
"29","23",2.78551601323,0.00534426002,"6","3","154",MMR,Myanmar,Tanintharyi,Dawei
"30","27",3.76216704175,0.00016844748,"5","3","154",MMR,Myanmar,Tanintharyi,Dawei
"31","18",2.06438236148,0.03898147751,"5","2","154",MMR,Myanmar,Tanintharyi,Dawei
"32","11",-0.13869039261,0.88969481035,"4","0","154",MMR,Myanmar,Tanintharyi,Dawei
"33","1",-0.60604243908,0.54448657549,"6","0","154",MMR,Myanmar,Tanintharyi,Dawei
"34","1",-1.02594967604,0.30491531983,"6","0","154",MMR,Myanmar,Tanintharyi,Dawei
"35","4",-1.22507545653,0.22054681463,"5","0","154",MMR,Myanmar,Tanintharyi,Dawei
"36","7",0.03321514299,0.97350302242,"7","0","154",MMR,Myanmar,Tanintharyi,Dawei
"37","9",0.01289253950,0.98971352675,"5","0","154",MMR,Myanmar,Tanintharyi,Dawei
"38","3",0.18974511036,0.84950887003,"5","0","154",MMR,Myanmar,Tanintharyi,Dawei
"39","4",-0.17822134149,0.85854915002,"4","0","154",MMR,Myanmar,Tanintharyi,Dawei
"40","1",-0.83873315656,0.40161907607,"3","0","154",MMR,Myanmar,Tanintharyi,Dawei
"41","6",1.35149229186,0.17653778744,"3","0","154",MMR,Myanmar,Tanintharyi,Dawei
"42","19",2.59494007407,0.00946074125,"5","3","154",MMR,Myanmar,Tanintharyi,Dawei
"43","39",3.79753755592,0.00014614064,"5","3","154",MMR,Myanmar,Tanintharyi,Dawei
"44","45",2.59171267310,0.00954994943,"6","3","154",MMR,Myanmar,Tanintharyi,Dawei
"45","3",0.75118668125,0.45254032062,"7","0","154",MMR,Myanmar,Tanintharyi,Dawei
"46","1",-0.87137031481,0.38355199804,"5","0","154",MMR,Myanmar,Tanintharyi,Dawei
"47","13",-0.63834299577,0.52325043318,"6","0","154",MMR,Myanmar,Tanintharyi,Dawei
"48","10",-0.05693297538,0.95459858635,"6","0","154",MMR,Myanmar,Tanintharyi,Dawei
"49","15",0.95131373760,0.34144514701,"8","0","154",MMR,Myanmar,Tanintharyi,Dawei
"50","12",2.27687620005,0.02279361950,"7","2","154",MMR,Myanmar,Tanintharyi,Dawei
"51","23",0.42211639288,0.67294006429,"7","0","154",MMR,Myanmar,Tanintharyi,Dawei
"52","2",-0.70294410915,0.48209058605,"6","0","154",MMR,Myanmar,Tanintharyi,Dawei
"53","1",-1.24555696130,0.21292711529,"4","0","154",MMR,Myanmar,Tanintharyi,Dawei
"54","1",-0.97748185732,0.32833066794,"5","0","154",MMR,Myanmar,Tanintharyi,Dawei
"55","3",0.50807973791,0.61139742632,"5","0","154",MMR,Myanmar,Tanintharyi,Dawei
"56","8",-0.99364911935,0.32039373492,"6","0","154",MMR,Myanmar,Tanintharyi,Dawei
"57","5",-0.70294410915,0.48209058605,"6","0","154",MMR,Myanmar,Tanintharyi,Dawei
"58","23",0.29615004509,0.76711549709,"4","0","154",MMR,Myanmar,Tanintharyi,Dawei
"59","1",0.53140901087,0.59513538084,"8","0","154",MMR,Myanmar,Tanintharyi,Dawei
"60","3",-0.03020168413,0.97590620540,"9","0","154",MMR,Myanmar,Tanintharyi,Dawei
"61","5",0.96059504658,0.33675583227,"7","0","154",MMR,Myanmar,Tanintharyi,Dawei
"62","46",2.00763687320,0.04468189325,"7","2","154",MMR,Myanmar,Tanintharyi,Dawei
"63","32",2.09738331548,0.03595965684,"7","2","154",MMR,Myanmar,Tanintharyi,Dawei
"64","2",0.90076408505,0.36771377704,"7","0","154",MMR,Myanmar,Tanintharyi,Dawei
"65","1",-0.83433379907,0.40409291888,"7","0","154",MMR,Myanmar,Tanintharyi,Dawei
"66","7",-0.34081260222,0.73324466326,"5","0","154",MMR,Myanmar,Tanintharyi,Dawei
"67","16",-0.44692414474,0.65492983154,"5","0","154",MMR,Myanmar,Tanintharyi,Dawei
"68","2",-0.41540703478,0.67784395879,"4","0","154",MMR,Myanmar,Tanintharyi,Dawei
"70","1",-0.81071652360,0.41752848956,"4","0","154",MMR,Myanmar,Tanintharyi,Dawei
"71","4",-0.48229465891,0.62959664262,"5","0","154",MMR,Myanmar,Tanintharyi,Dawei
"72","14",-0.13869039261,0.88969481035,"4","0","154",MMR,Myanmar,Tanintharyi,Dawei
"73","10",0.01289253950,0.98971352675,"5","0","154",MMR,Myanmar,Tanintharyi,Dawei
"74","16",-0.02661581853,0.97876615636,"7","0","154",MMR,Myanmar,Tanintharyi,Dawei
"75","4",0.48194735440,0.62984334687,"7","0","154",MMR,Myanmar,Tanintharyi,Dawei
"76","17",-0.29585514538,0.76734070752,"7","0","154",MMR,Myanmar,Tanintharyi,Dawei
"77","6",0.60160927745,0.54743425509,"7","0","154",MMR,Myanmar,Tanintharyi,Dawei
"78","11",1.73513589416,0.08271673790,"8","1","154",MMR,Myanmar,Tanintharyi,Dawei
"79","10",2.18712975777,0.02873305283,"7","2","154",MMR,Myanmar,Tanintharyi,Dawei
"80","9",0.87084860429,0.38383683177,"7","0","154",MMR,Myanmar,Tanintharyi,Dawei
"81","25",-0.35568610690,0.72207565130,"7","0","154",MMR,Myanmar,Tanintharyi,Dawei
"82","4",-0.09321900302,0.92572957790,"5","0","154",MMR,Myanmar,Tanintharyi,Dawei
"83","8",-0.76525877229,0.44411747504,"5","0","154",MMR,Myanmar,Tanintharyi,Dawei
"84","4",-0.29585514538,0.76734070752,"7","0","154",MMR,Myanmar,Tanintharyi,Dawei
"85","4",-0.47684021233,0.63347591025,"6","0","154",MMR,Myanmar,Tanintharyi,Dawei
"86","2",-0.68457222500,0.49361390347,"2","0","154",MMR,Myanmar,Tanintharyi,Dawei
"87","4",-0.79310345972,0.42771755434,"3","0","154",MMR,Myanmar,Tanintharyi,Dawei
"91","5",-0.05962849484,0.95245152314,"4","0","154",MMR,Myanmar,Tanintharyi,Dawei
"92","4",-0.05784848885,0.95386931430,"5","0","154",MMR,Myanmar,Tanintharyi,Dawei
"93","15",-0.18613520213,0.85233873705,"6","0","154",MMR,Myanmar,Tanintharyi,Dawei
"94","8",2.62401322979,0.00869004096,"6","3","154",MMR,Myanmar,Tanintharyi,Dawei
"95","34",4.31112889178,0.00001624232,"7","3","154",MMR,Myanmar,Tanintharyi,Dawei
"96","20",3.02476321907,0.00248827847,"7","3","154",MMR,Myanmar,Tanintharyi,Dawei
"97","9",0.57169379669,0.56752944051,"7","0","154",MMR,Myanmar,Tanintharyi,Dawei
"98","6",0.65367927178,0.51331846443,"6","0","154",MMR,Myanmar,Tanintharyi,Dawei
"99","5",0.13802624957,0.89021967198,"4","0","154",MMR,Myanmar,Tanintharyi,Dawei
"100","13",-0.57353083031,0.56628533325,"4","0","154",MMR,Myanmar,Tanintharyi,Dawei
"101","1",-0.42806588498,0.66860315458,"3","0","154",MMR,Myanmar,Tanintharyi,Dawei
"102","4",-0.21775229037,0.82762211942,"4","0","154",MMR,Myanmar,Tanintharyi,Dawei
"103","11",-0.19933054554,0.84200418680,"5","0","154",MMR,Myanmar,Tanintharyi,Dawei
"104","4",-0.37587608590,0.70700902055,"4","0","154",MMR,Myanmar,Tanintharyi,Dawei
"108","56",7.56599840317,0.00000000000,"6","3","154",MMR,Myanmar,Tanintharyi,Dawei
"109","73",9.42667610187,0.00000000000,"7","3","154",MMR,Myanmar,Tanintharyi,Dawei
"110","8",5.98639581438,0.00000000215,"7","3","154",MMR,Myanmar,Tanintharyi,Dawei
"111","21",1.55809485906,0.11921076320,"6","0","154",MMR,Myanmar,Tanintharyi,Dawei
"112","12",0.26607259151,0.79018330346,"6","0","154",MMR,Myanmar,Tanintharyi,Dawei
"113","9",0.36228543136,0.71713874462,"7","0","154",MMR,Myanmar,Tanintharyi,Dawei
"114","3",-0.51766517309,0.60469190336,"5","0","154",MMR,Myanmar,Tanintharyi,Dawei
"118","1",-0.90802939621,0.36386270108,"2","0","154",MMR,Myanmar,Tanintharyi,Dawei
"119","14",5.75142099081,0.00000000885,"4","3","154",MMR,Myanmar,Tanintharyi,Dawei
"120","104",8.88819744818,0.00000000000,"7","3","154",MMR,Myanmar,Tanintharyi,Dawei
"121","84",8.82836648666,0.00000000000,"7","3","154",MMR,Myanmar,Tanintharyi,Dawei
"122","49",3.95214312265,0.00007745439,"7","3","154",MMR,Myanmar,Tanintharyi,Dawei
"123","10",1.91691894926,0.05524822932,"4","1","154",MMR,Myanmar,Tanintharyi,Dawei
"124","1",1.00770712497,0.31359509718,"4","0","154",MMR,Myanmar,Tanintharyi,Dawei
"125","3",1.79832610261,0.07212534561,"4","1","154",MMR,Myanmar,Tanintharyi,Dawei
"126","4",0.86178487963,0.38880591588,"5","0","154",MMR,Myanmar,Tanintharyi,Dawei
"127","23",2.00763687320,0.04468189325,"7","2","154",MMR,Myanmar,Tanintharyi,Dawei
"128","14",1.40932725799,0.15873842239,"7","0","154",MMR,Myanmar,Tanintharyi,Dawei
"129","1",-0.51766517309,0.60469190336,"5","0","154",MMR,Myanmar,Tanintharyi,Dawei
"135","1",-1.11251133762,0.26591837604,"3","0","154",MMR,Myanmar,Tanintharyi,Dawei
"136","1",-0.90802939621,0.36386270108,"2","0","154",MMR,Myanmar,Tanintharyi,Dawei
"137","8",3.65605549923,0.00025612593,"5","3","154",MMR,Myanmar,Tanintharyi,Dawei
"138","22",5.91867001204,0.00000000325,"6","3","154",MMR,Myanmar,Tanintharyi,Dawei
"139","19",3.53332639200,0.00041036551,"7","3","154",MMR,Myanmar,Tanintharyi,Dawei
"140","5",1.39234259221,0.16381867961,"5","0","154",MMR,Myanmar,Tanintharyi,Dawei
"141","1",-0.34938646820,0.72679919148,"2","0","154",MMR,Myanmar,Tanintharyi,Dawei
"142","11",0.79104385129,0.42891840967,"5","0","154",MMR,Myanmar,Tanintharyi,Dawei
"143","47",2.06746783472,0.03869009205,"7","2","154",MMR,Myanmar,Tanintharyi,Dawei
"144","31",3.33462547694,0.00085414355,"6","3","154",MMR,Myanmar,Tanintharyi,Dawei
"145","18",2.91471823999,0.00356009797,"6","3","154",MMR,Myanmar,Tanintharyi,Dawei
"146","13",3.89231216113,0.00009929337,"7","3","154",MMR,Myanmar,Tanintharyi,Dawei
"147","56",3.35383350744,0.00079700303,"7","3","154",MMR,Myanmar,Tanintharyi,Dawei
"148","5",3.29400254591,0.00098771604,"7","3","154",MMR,Myanmar,Tanintharyi,Dawei
"149","8",1.13818762211,0.25504216512,"6","0","154",MMR,Myanmar,Tanintharyi,Dawei
"150","9",0.05896435180,0.95298050183,"4","0","154",MMR,Myanmar,Tanintharyi,Dawei
"155","1",-0.56495497551,0.57210439180,"3","0","154",MMR,Myanmar,Tanintharyi,Dawei
"156","1",1.44254756267,0.14914796402,"4","0","154",MMR,Myanmar,Tanintharyi,Dawei
"157","1",1.33199096224,0.18286315838,"6","0","154",MMR,Myanmar,Tanintharyi,Dawei
"158","2",0.23377203482,0.81516196124,"6","0","154",MMR,Myanmar,Tanintharyi,Dawei
"159","2",-0.85216510340,0.39412247071,"2","0","154",MMR,Myanmar,Tanintharyi,Dawei
"160","1",-1.02125194393,0.30713510222,"3","0","154",MMR,Myanmar,Tanintharyi,Dawei
"161","8",3.75453271390,0.00017366516,"6","3","154",MMR,Myanmar,Tanintharyi,Dawei
"162","32",4.19146696874,0.00002771565,"7","3","154",MMR,Myanmar,Tanintharyi,Dawei
"163","27",4.07180504569,0.00004665022,"7","3","154",MMR,Myanmar,Tanintharyi,Dawei
"164","52",2.87518581526,0.00403789788,"7","3","154",MMR,Myanmar,Tanintharyi,Dawei
"165","28",4.61028369939,0.00000402120,"7","3","154",MMR,Myanmar,Tanintharyi,Dawei
"166","37",5.80690292982,0.00000000636,"7","3","154",MMR,Myanmar,Tanintharyi,Dawei
"167","53",4.40087533406,0.00001078151,"7","3","154",MMR,Myanmar,Tanintharyi,Dawei
"168","14",2.18712975777,0.02873305283,"7","2","154",MMR,Myanmar,Tanintharyi,Dawei
"169","7",0.36659768122,0.71391913885,"5","0","154",MMR,Myanmar,Tanintharyi,Dawei
"170","4",-0.02009754596,0.98396555779,"4","0","154",MMR,Myanmar,Tanintharyi,Dawei
"171","3",-0.34081260222,0.73324466326,"5","0","154",MMR,Myanmar,Tanintharyi,Dawei
"172","1",-0.85024747248,0.39518752206,"4","0","154",MMR,Myanmar,Tanintharyi,Dawei
"173","1",-1.02125194393,0.30713510222,"3","0","154",MMR,Myanmar,Tanintharyi,Dawei
"174","1",-0.88436285340,0.37650037825,"3","0","154",MMR,Myanmar,Tanintharyi,Dawei
"175","1",-1.16649506354,0.24341436356,"4","0","154",MMR,Myanmar,Tanintharyi,Dawei
"176","3",-1.22507545653,0.22054681463,"5","0","154",MMR,Myanmar,Tanintharyi,Dawei
"177","3",-1.04790221689,0.29468367600,"4","0","154",MMR,Myanmar,Tanintharyi,Dawei
"181","2",-0.56495497551,0.57210439180,"3","0","154",MMR,Myanmar,Tanintharyi,Dawei
"182","12",0.05896435180,0.95298050183,"4","0","154",MMR,Myanmar,Tanintharyi,Dawei
"183","23",1.60067135820,0.10944972814,"4","0","154",MMR,Myanmar,Tanintharyi,Dawei
