SOURCE_ID,n,GiZScore,GiPValue,NNeighbors,Gi_Bin
"0","2",0.04695745101,0.96254713927,"2","0"
"1","3",1.30952366957,0.19035702537,"3","0"
"2","3",2.24724944101,0.02462409006,"2","2"
"3","10",3.06318737316,0.00218992891,"4","3"
"4","8",1.69717644351,0.08966330728,"2","1"
"5","2",4.06152348048,0.00004875351,"4","3"
"6","10",4.87513443578,0.00000108734,"5","3"
"7","8",3.86185625901,0.00011252877,"4","3"
"8","9",4.49455157777,0.00000697167,"3","3"
"9","1",-0.77815204525,0.43647939028,"2","0"
"10","1",-0.77815204525,0.43647939028,"2","0"
"11","1",-0.54331509752,0.58691287350,"1","0"
"12","1",-0.77815204525,0.43647939028,"2","0"
"13","1",-0.13148817023,0.89538914414,"4","0"
"14","5",0.17201370236,0.86342675671,"3","0"
"15","2",0.17201370236,0.86342675671,"3","0"
"16","1",-0.54331509752,0.58691287350,"1","0"
"17","2",-0.15924752858,0.87347385927,"1","0"
"18","2",-0.15924752858,0.87347385927,"1","0"
"19","1",-0.54331509752,0.58691287350,"1","0"
"20","1",-0.54331509752,0.58691287350,"1","0"
"21","2",-0.15924752858,0.87347385927,"1","0"
"22","1",-0.54331509752,0.58691287350,"1","0"
"23","1",-0.54331509752,0.58691287350,"1","0"
"24","1",-0.54331509752,0.58691287350,"1","0"
"25","3",0.22482004035,0.82211927536,"1","0"
"26","1",-0.54331509752,0.58691287350,"1","0"
"27","1",-0.54331509752,0.58691287350,"1","0"
"28","2",-0.15924752858,0.87347385927,"1","0"
"29","1",-0.54331509752,0.58691287350,"1","0"
"30","1",-0.54331509752,0.58691287350,"1","0"
"31","1",-0.54331509752,0.58691287350,"1","0"
"32","1",-0.54331509752,0.58691287350,"1","0"
"33","1",-0.54331509752,0.58691287350,"1","0"
"34","1",-0.54331509752,0.58691287350,"1","0"
"35","1",-0.54331509752,0.58691287350,"1","0"
"36","1",-0.54331509752,0.58691287350,"1","0"
"37","1",-0.54331509752,0.58691287350,"1","0"
"38","2",-0.15924752858,0.87347385927,"1","0"
"39","1",-0.54331509752,0.58691287350,"1","0"
"40","1",-0.54331509752,0.58691287350,"1","0"
