SOURCE_ID,n,GiZScore,GiPValue,NNeighbors,Gi_Bin,ID_0,ISO,NAME_0,NAME_1,NAME_2
"2","3",-0.73592475820,0.46177649483,"13","0","154",MMR,Myanmar,Tanintharyi,Dawei
"3","1",-0.73592475820,0.46177649483,"13","0","154",MMR,Myanmar,Tanintharyi,Dawei
"4","4",-0.89381655216,0.37142006141,"12","0","154",MMR,Myanmar,Tanintharyi,Dawei
"5","2",-0.73592475820,0.46177649483,"13","0","154",MMR,Myanmar,Tanintharyi,Dawei
"6","3",-0.73592475820,0.46177649483,"13","0","154",MMR,Myanmar,Tanintharyi,Dawei
"7","1",-1.02050971925,0.30748679630,"13","0","154",MMR,Myanmar,Tanintharyi,Dawei
"8","2",-0.89381655216,0.37142006141,"12","0","154",MMR,Myanmar,Tanintharyi,Dawei
"10","5",-0.46169104267,0.64430289693,"7","0","154",MMR,Myanmar,Tanintharyi,Dawei
"11","1",-0.53706328361,0.59122390387,"9","0","154",MMR,Myanmar,Tanintharyi,Dawei
"12","3",-0.86508189012,0.38699385279,"14","0","154",MMR,Myanmar,Tanintharyi,Dawei
"13","1",-0.89381655216,0.37142006141,"12","0","154",MMR,Myanmar,Tanintharyi,Dawei
"14","4",-0.89381655216,0.37142006141,"12","0","154",MMR,Myanmar,Tanintharyi,Dawei
"15","2",-0.89381655216,0.37142006141,"12","0","154",MMR,Myanmar,Tanintharyi,Dawei
"16","4",0.18750687749,0.85126323196,"1","0","154",MMR,Myanmar,Tanintharyi,Dawei
"26","1",-0.84639150688,0.39733438333,"7","0","154",MMR,Myanmar,Tanintharyi,Dawei
"37","2",-0.31737029795,0.75096264244,"1","0","154",MMR,Myanmar,Tanintharyi,Dawei
"38","3",0.50006011784,0.61703274914,"7","0","154",MMR,Myanmar,Tanintharyi,Dawei
"40","6",0.26505058534,0.79097049369,"8","0","154",MMR,Myanmar,Tanintharyi,Dawei
"41","12",0.26505058534,0.79097049369,"8","0","154",MMR,Myanmar,Tanintharyi,Dawei
"44","3",0.26505058534,0.79097049369,"8","0","154",MMR,Myanmar,Tanintharyi,Dawei
"45","2",0.26505058534,0.79097049369,"8","0","154",MMR,Myanmar,Tanintharyi,Dawei
"67","1",0.26505058534,0.79097049369,"8","0","154",MMR,Myanmar,Tanintharyi,Dawei
"68","1",0.26505058534,0.79097049369,"8","0","154",MMR,Myanmar,Tanintharyi,Dawei
"82","1",0.30770988574,0.75830309720,"7","0","154",MMR,Myanmar,Tanintharyi,Dawei
"103","2",-1.01742257727,0.30895246021,"4","0","154",MMR,Myanmar,Tanintharyi,Dawei
"116","1",-1.01742257727,0.30895246021,"4","0","154",MMR,Myanmar,Tanintharyi,Dawei
"117","1",-1.01742257727,0.30895246021,"4","0","154",MMR,Myanmar,Tanintharyi,Dawei
"189","1",-1.01742257727,0.30895246021,"4","0","154",MMR,Myanmar,Tanintharyi,Dawei
"1","1",-0.56980888567,0.56880733091,"1","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"9","2",-0.31737029795,0.75096264244,"1","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"17","2",-0.31737029795,0.75096264244,"1","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"18","2",-0.62815748435,0.52990078235,"2","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"22","1",-0.69728434703,0.48562486686,"3","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"47","2",-0.99612677611,0.31918856471,"8","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"49","1",-0.40502325108,0.68546042110,"3","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"50","4",-0.63726108468,0.52395479851,"4","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"51","2",-1.01742257727,0.30895246021,"4","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"53","1",-1.13491685504,0.25641017592,"7","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"63","1",-0.99612677611,0.31918856471,"8","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"64","4",-1.13491685504,0.25641017592,"7","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"65","1",-1.19753035419,0.23109992538,"6","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"66","1",-1.19753035419,0.23109992538,"6","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"75","1",-1.13491685504,0.25641017592,"7","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"80","2",-1.16739788810,0.24304974391,"5","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"81","1",-1.19753035419,0.23109992538,"6","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"89","1",-1.68166397859,0.09263401675,"16","-1","154",MMR,Myanmar,Tanintharyi,Kawthoung
"90","1",-1.16739788810,0.24304974391,"5","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"95","1",-1.86467803655,0.06222654717,"18","-1","154",MMR,Myanmar,Tanintharyi,Kawthoung
"145","1",-1.23195360395,0.21796643923,"24","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"156","3",-1.86990715218,0.06149671244,"24","-1","154",MMR,Myanmar,Tanintharyi,Kawthoung
"157","3",-1.89350616827,0.05829058872,"23","-1","154",MMR,Myanmar,Tanintharyi,Kawthoung
"158","1",-1.32649774809,0.18467488056,"25","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"159","2",-1.40658604841,0.15955017249,"27","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"160","1",-1.55758894626,0.11933072067,"27","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"161","1",-0.06397531640,0.94898988119,"11","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"162","4",-0.87724800690,0.38035195524,"9","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"177","2",0.50322339307,0.61480722145,"4","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"178","6",-1.78504554283,0.07425392998,"23","-1","154",MMR,Myanmar,Tanintharyi,Kawthoung
"179","1",-1.83927585555,0.06587462244,"23","-1","154",MMR,Myanmar,Tanintharyi,Kawthoung
"180","3",-1.48298313627,0.13807889130,"25","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"181","1",-1.45692034769,0.14513836858,"27","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"182","1",-1.59391575184,0.11095490587,"28","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"183","1",-1.50725464697,0.13174539778,"27","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"184","2",0.58905280982,0.55582585119,"30","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"185","5",0.65950449762,0.50957186305,"29","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"186","2",0.83145006209,0.40571943605,"28","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"187","2",5.08566166626,0.00000036635,"34","3","154",MMR,Myanmar,Tanintharyi,Kawthoung
"188","1",-0.87724800690,0.38035195524,"9","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"197","1",-1.06672766499,0.28609484674,"11","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"198","3",-1.35969715656,0.17392577832,"16","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"199","3",-1.42409052097,0.15442027002,"16","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"200","2",-1.57202156397,0.11594555028,"20","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"201","1",-1.75300568251,0.07960103168,"22","-1","154",MMR,Myanmar,Tanintharyi,Kawthoung
"202","2",-1.86990715218,0.06149671244,"24","-1","154",MMR,Myanmar,Tanintharyi,Kawthoung
"203","1",-1.78504554283,0.07425392998,"23","-1","154",MMR,Myanmar,Tanintharyi,Kawthoung
"204","2",0.39723304867,0.69119561444,"30","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"205","10",0.63700775010,0.52411979918,"30","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
"206","2",0.70820990828,0.47881491912,"29","0","154",MMR,Myanmar,Tanintharyi,Kawthoung
