SOURCE_ID,n,GiZScore,GiPValue,NNeighbors,Gi_Bin,ID_0,ISO,NAME_0,NAME_1,NAME_2
"0","5",-0.80329931052,0.42180176367,"5","0","154",MMR,Myanmar,Tanintharyi,Dawei
"1","2",-0.80329931052,0.42180176367,"5","0","154",MMR,Myanmar,Tanintharyi,Dawei
"2","2",-0.80329931052,0.42180176367,"5","0","154",MMR,Myanmar,Tanintharyi,Dawei
"3","1",-0.88569311535,0.37578292882,"4","0","154",MMR,Myanmar,Tanintharyi,Dawei
"4","1",-0.97678948513,0.32867339528,"5","0","154",MMR,Myanmar,Tanintharyi,Dawei
"5","2",-0.80329931052,0.42180176367,"5","0","154",MMR,Myanmar,Tanintharyi,Dawei
"6","1",-0.80329931052,0.42180176367,"5","0","154",MMR,Myanmar,Tanintharyi,Dawei
"7","3",-0.77196533631,0.44013496475,"10","0","154",MMR,Myanmar,Tanintharyi,Dawei
"8","2",-1.05763353994,0.29022256094,"11","0","154",MMR,Myanmar,Tanintharyi,Dawei
"9","2",-0.93668626128,0.34891997653,"8","0","154",MMR,Myanmar,Tanintharyi,Dawei
"10","1",-1.62797972647,0.10352918463,"21","0","154",MMR,Myanmar,Tanintharyi,Dawei
"11","4",-1.60245250952,0.10905558121,"20","0","154",MMR,Myanmar,Tanintharyi,Dawei
"12","4",-1.78846634260,0.07370080113,"23","-1","154",MMR,Myanmar,Tanintharyi,Dawei
"13","1",-1.78846634260,0.07370080113,"23","-1","154",MMR,Myanmar,Tanintharyi,Dawei
"14","2",-1.73754017087,0.08229186985,"22","-1","154",MMR,Myanmar,Tanintharyi,Dawei
"15","1",-1.42986602955,0.15275547349,"17","0","154",MMR,Myanmar,Tanintharyi,Dawei
"16","1",-1.76099254531,0.07823966475,"23","-1","154",MMR,Myanmar,Tanintharyi,Dawei
"17","1",-1.68141719163,0.09268190857,"22","-1","154",MMR,Myanmar,Tanintharyi,Dawei
"19","10",-1.88694736187,0.05916740594,"25","-1","154",MMR,Myanmar,Tanintharyi,Dawei
"20","4",-1.83823974389,0.06602708573,"24","-1","154",MMR,Myanmar,Tanintharyi,Dawei
"21","1",-1.76099254531,0.07823966475,"23","-1","154",MMR,Myanmar,Tanintharyi,Dawei
"23","8",-0.69062786617,0.48979943563,"6","0","154",MMR,Myanmar,Tanintharyi,Dawei
"24","1",-1.86516367752,0.06215846514,"24","-1","154",MMR,Myanmar,Tanintharyi,Dawei
"25","1",-1.76099254531,0.07823966475,"23","-1","154",MMR,Myanmar,Tanintharyi,Dawei
"26","4",-1.81131581025,0.07009197971,"24","-1","154",MMR,Myanmar,Tanintharyi,Dawei
