SOURCE_ID,n,GiZScore,GiPValue,NNeighbors,Gi_Bin
"0","5",-0.80329931052,0.42180176367,"5","0"
"1","2",-0.80329931052,0.42180176367,"5","0"
"2","2",-0.80329931052,0.42180176367,"5","0"
"3","1",-0.74347330699,0.45719518230,"6","0"
"4","1",-0.74347330699,0.45719518230,"6","0"
"5","2",-0.80329931052,0.42180176367,"5","0"
"6","1",-0.80329931052,0.42180176367,"5","0"
"7","3",-1.33460162316,0.18200676651,"17","0"
"8","2",-1.36635642529,0.17182711863,"17","0"
"9","2",-1.17532485291,0.23986479582,"11","0"
"10","1",-1.88694736187,0.05916740594,"25","-1"
"11","4",-1.81131581025,0.07009197971,"24","-1"
"12","4",-1.93466640590,0.05303124536,"26","-1"
"13","1",-1.90874351329,0.05629518692,"26","-1"
"14","2",-1.90874351329,0.05629518692,"26","-1"
"15","1",-1.92479919811,0.05425448437,"29","-1"
"16","1",-1.88694736187,0.05916740594,"25","-1"
"17","1",-2.14641978222,0.03183950244,"29","-2"
"18","2",-0.56135953993,0.57455246278,"3","0"
"19","10",-1.93466640590,0.05303124536,"26","-1"
"20","4",-2.03239682331,0.04211349944,"27","-2"
"21","1",-2.01998646142,0.04338479187,"30","-2"
"22","4",-0.56135953993,0.57455246278,"3","0"
"23","8",-1.18299236383,0.23681219481,"10","0"
"24","1",-1.90874351329,0.05629518692,"26","-1"
"25","1",-1.96058929850,0.04992695174,"26","-2"
"26","4",-2.15659372535,0.03103733387,"32","-2"
"27","3",-2.10344336278,0.03542703129,"35","-2"
"28","1",-1.34135892974,0.17980394528,"30","0"
"29","1",-1.22633607537,0.22007225406,"28","0"
"30","2",-1.03052173498,0.30276516916,"24","0"
"31","2",-0.56135953993,0.57455246278,"3","0"
"32","2",-0.67532945805,0.49946647665,"9","0"
"33","1",-2.15659372535,0.03103733387,"32","-2"
"34","1",-1.21184365261,0.22557225724,"8","0"
"35","2",-1.08955787507,0.27590796460,"7","0"
"36","2",-0.84467999050,0.39828954273,"7","0"
"37","1",-1.59928825359,0.10975656833,"21","0"
"38","1",-1.93466640590,0.05303124536,"26","-1"
"39","4",-1.96058929850,0.04992695174,"26","-2"
"40","2",-2.22283410739,0.02622698828,"33","-2"
"41","1",-1.08955787507,0.27590796460,"7","0"
"42","2",-1.99867272615,0.04564377585,"29","-2"
"43","2",-2.18011154655,0.02924919408,"32","-2"
"44","3",-1.82349672949,0.06822819197,"39","-1"
"45","1",-2.18011154655,0.02924919408,"32","-2"
"46","1",-1.80632064592,0.07086826874,"40","-1"
"47","1",-1.75454611876,0.07933697472,"38","-1"
"48","2",-1.67940341920,0.09307344737,"36","-1"
"49","1",-0.93388991704,0.35036069161,"3","0"
"50","10",-1.39682777291,0.16246536844,"31","0"
"51","1",-1.36559562730,0.17206591981,"30","0"
"52","1",-1.36559562730,0.17206591981,"30","0"
"53","4",-1.26864883706,0.20456636302,"30","0"
"54","4",-1.23531293644,0.21671408455,"29","0"
"55","1",-1.80203053503,0.07154060154,"39","-1"
"56","2",-1.67940341920,0.09307344737,"36","-1"
"57","3",-1.34135892974,0.17980394528,"30","0"
"58","17",-1.36559562730,0.17206591981,"30","0"
"59","6",-1.36559562730,0.17206591981,"30","0"
"60","6",-1.26864883706,0.20456636302,"30","0"
"61","3",-1.23531293644,0.21671408455,"29","0"
