SOURCE_ID,n,GiZScore,GiPValue,NNeighbors,Gi_Bin
"0","4",-0.99336963613,0.32052986629,"10","0"
"1","1",-1.24128338139,0.21450110549,"3","0"
"2","3",-1.27998484658,0.20055049115,"13","0"
"3","8",-1.29404600000,0.19564953220,"15","0"
"4","1",-1.43298971779,0.15186077579,"15","0"
"5","1",-1.19861976434,0.23067585123,"13","0"
"6","1",-1.24128338139,0.21450110549,"3","0"
"7","5",-1.28141475293,0.20004802497,"15","0"
"8","29",-1.42492515501,0.15417883732,"16","0"
"9","26",-1.48994934153,0.13623755641,"17","0"
"10","2",-1.44939203779,0.14722813099,"16","0"
"11","2",-1.27998484658,0.20055049115,"13","0"
"12","4",-1.55120178737,0.12085333396,"13","0"
"13","2",-1.24128338139,0.21450110549,"3","0"
"14","1",-1.19898697717,0.23053303119,"6","0"
"15","7",-1.32705762390,0.18448962169,"16","0"
"16","11",-1.42492515501,0.15417883732,"16","0"
"17","2",-1.62425090010,0.10432227161,"19","0"
"18","23",-1.85652833167,0.06337828859,"21","-1"
"19","4",-2.07186542379,0.03827799328,"18","-2"
"20","2",-1.74299463113,0.08133455264,"16","-1"
"21","3",-1.76299096171,0.07790201407,"17","-1"
"22","3",-0.93279875489,0.35092389530,"2","0"
"23","3",-1.17355175589,0.24057463536,"4","0"
"24","10",-1.35075239415,0.17677476248,"7","0"
"25","2",-1.58044318104,0.11400540929,"10","0"
"26","13",-1.38791457598,0.16516305882,"12","0"
"27","3",-1.21825851757,0.22312577122,"15","0"
"28","16",-1.80306527025,0.07137796464,"21","-1"
"29","2",-1.96093954695,0.04988607534,"22","-2"
"30","1",-2.07588504513,0.03790458418,"22","-2"
"31","8",-2.05968796508,0.03942838068,"21","-2"
"32","15",-2.00622490366,0.04483225800,"21","-2"
"33","1",-2.14903218034,0.03163184909,"22","-2"
"34","1",-1.90513202390,0.05676291158,"19","-1"
"35","6",-2.13446475559,0.03280475572,"16","-2"
"36","2",-1.77896738619,0.07524510905,"24","-1"
"37","9",-1.73610542995,0.08254519445,"27","-1"
"38","11",-2.21781540809,0.02656742111,"27","-2"
"39","31",-2.27355758970,0.02299259983,"25","-2"
"40","13",-2.46339304401,0.01376289510,"27","-2"
"41","7",-2.34223129861,0.01916883125,"25","-2"
"42","9",-2.22217931555,0.02627118975,"22","-2"
"43","3",-2.48936476141,0.01279715951,"19","-2"
"44","4",-2.57962579625,0.00989074274,"18","-3"
"45","2",-0.93279875489,0.35092389530,"2","0"
"46","1",-1.19493278417,0.23211331428,"14","0"
"47","3",-1.15510228221,0.24804856351,"15","0"
"48","11",-1.32089928639,0.18653494775,"19","0"
