SOURCE_ID,n,GiZScore,GiPValue,NNeighbors,Gi_Bin,ID_0,ISO,NAME_0,NAME_1,NAME_2
"0","2",-2.66328088846,0.00773827897,"59","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"1","1",-2.94239802827,0.00325681026,"69","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"2","1",-2.77572408373,0.00550789291,"61","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"3","1",-3.06760916412,0.00215778631,"68","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"4","1",-3.09261538695,0.00198401087,"72","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"5","20",-3.07024793525,0.00213881139,"86","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"7","1",-2.71445098906,0.00663857226,"60","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"8","10",-3.02182737721,0.00251253786,"68","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"9","6",-3.25293456707,0.00114219796,"75","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"10","1",-3.23079450623,0.00123446656,"80","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"11","5",-2.87473792563,0.00404362981,"86","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"12","2",-2.91502802503,0.00355656604,"91","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"13","7",-2.69073757594,0.00712942518,"95","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"14","6",-2.94376193654,0.00324249310,"98","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"15","1",-3.01169763357,0.00259791228,"95","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"16","1",-2.04602136553,0.04075426864,"41","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"17","9",-2.18631747980,0.02879238617,"47","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"18","1",-2.98473094364,0.00283827856,"67","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"19","21",-2.88365600028,0.00393087895,"89","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"20","5",-2.70142902971,0.00690422135,"103","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"21","5",-3.09166178869,0.00199039484,"107","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"22","8",-3.44757825114,0.00056563653,"108","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"23","5",-3.47120194687,0.00051813417,"105","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"24","5",-3.14464545555,0.00166288223,"98","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"25","1",-2.69203323411,0.00710178680,"93","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"27","2",-1.14929715113,0.25043349190,"31","0","154",MMR,Myanmar,Tanintharyi,Dawei
"28","20",-1.94941153945,0.05124629757,"40","-1","154",MMR,Myanmar,Tanintharyi,Dawei
"29","19",-2.04727991529,0.04063060877,"45","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"30","74",-2.39361619463,0.01668319610,"53","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"31","84",-2.60880995906,0.00908576852,"59","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"32","48",-2.93695780622,0.00331449197,"66","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"33","9",-3.34982561268,0.00080862452,"74","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"34","2",-2.86166447803,0.00421422776,"101","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"35","44",-2.45124734031,0.01423620916,"108","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"36","1",-2.41703540584,0.01564749501,"113","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"37","2",-2.96139906345,0.00306244855,"120","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"38","9",-2.84290799709,0.00447039729,"114","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"39","21",-2.82472653855,0.00473209837,"109","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"40","3",-2.74096666907,0.00612587214,"104","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"41","11",-2.80267074043,0.00506813817,"101","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"42","9",-2.85082996916,0.00436052802,"99","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"43","13",-2.10854546477,0.03498383444,"42","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"44","15",-2.21812431439,0.02654635740,"50","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"45","52",-2.62245621144,0.00872984853,"58","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"46","46",-2.86787188459,0.00413242832,"65","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"47","35",-3.29573145836,0.00098165802,"73","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"48","1",-2.62990336602,0.00854091421,"101","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"49","2",-2.34491443980,0.01903144634,"110","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"50","6",-2.37377420670,0.01760731396,"118","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"51","2",-2.96484118971,0.00302839219,"127","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"52","9",-3.00649384880,0.00264279401,"127","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"53","22",-2.82914781235,0.00466721375,"123","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"54","37",-2.51513913642,0.01189854160,"117","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"55","50",-2.53525956882,0.01123640322,"116","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"56","14",-2.48499819894,0.01295520901,"113","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"57","28",-2.49133599047,0.01272637080,"109","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"58","11",-2.48644889139,0.01290251011,"105","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"59","5",-3.11613452266,0.00183238662,"71","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"60","2",-3.32612676802,0.00088061868,"81","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"61","11",-3.12217314964,0.00179521321,"92","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"62","1",-2.66579513918,0.00768064806,"102","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"63","4",-2.26428853275,0.02355637441,"111","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"64","14",-2.37796435919,0.01740850845,"119","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"65","12",-2.38764850523,0.01695655053,"124","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"66","6",-2.96930301009,0.00298476115,"132","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"67","3",-3.19248503348,0.00141054254,"132","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"68","10",-2.75145521958,0.00593311311,"129","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"69","44",-2.68754608268,0.00719791695,"129","-3","154",MMR,Myanmar,Tanintharyi,Dawei
"70","6",-2.20752011530,0.02727774326,"127","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"71","1",-2.06391706034,0.03902558090,"125","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"72","1",-2.10227374346,0.03552930323,"120","-2","154",MMR,Myanmar,Tanintharyi,Dawei
"73","31",-1.81208800986,0.06997259874,"119","-1","154",MMR,Myanmar,Tanintharyi,Dawei
"74","33",-1.78885078317,0.07363884986,"116","-1","154",MMR,Myanmar,Tanintharyi,Dawei
"75","6",-1.48810784301,0.13672245544,"107","0","154",MMR,Myanmar,Tanintharyi,Dawei
"79","2",-3.00953703000,0.00261646182,"88","-3","154",MMR,Myanmar,Tanintharyi,Dawei
