SOURCE_ID,n,GiZScore,GiPValue,NNeighbors,Gi_Bin
"0","3",-2.25179817270,0.02433502922,"29","-2"
"1","1",-2.05305855588,0.04006689879,"31","-2"
"2","4",-2.04605248864,0.04075120677,"34","-2"
"3","4",-1.86854298467,0.06168642447,"33","-1"
"4","2",-1.36890894712,0.17102773865,"41","0"
"5","3",-2.06980738301,0.03847038572,"39","-2"
"6","3",-2.01708635408,0.04368650243,"42","-2"
"7","1",-2.04955631536,0.04040774705,"43","-2"
"8","2",-1.09197903380,0.27484233380,"47","0"
"9","2",-2.16681588212,0.03024889594,"45","-2"
"10","1",-2.06505413864,0.03891787807,"49","-2"
"11","3",-0.35109855145,0.72551441530,"1","0"
"12","2",-0.23138305301,0.81701722990,"34","0"
"13","4",-0.54853082578,0.58332747143,"41","0"
"14","1",-1.13885052310,0.25476552393,"54","0"
"15","2",-2.28839452894,0.02211455597,"53","-2"
"16","1",-2.16640952496,0.03027990675,"56","-2"
"17","6",-2.02541052075,0.04282522804,"52","-2"
"18","1",-1.87654564206,0.06058039352,"49","-1"
"19","9",-0.23138305301,0.81701722990,"34","0"
"20","2",-0.29403894437,0.76872814513,"39","0"
"21","2",-0.34376522578,0.73102285458,"46","0"
"22","1",-0.53620328746,0.59181806401,"57","0"
"23","1",-1.75570452863,0.07913887316,"60","-1"
"24","3",-2.42609249554,0.01526237985,"60","-2"
"25","2",-1.84656850295,0.06480970262,"58","-1"
"26","6",-2.06781558239,0.03865736785,"59","-2"
"27","8",-1.99029203494,0.04655877492,"54","-2"
"28","1",-1.97391815972,0.04839104952,"54","-2"
"29","6",-1.97780521235,0.04795068526,"50","-2"
"30","2",-0.38561480545,0.69978196746,"49","0"
"31","1",-0.53620328746,0.59181806401,"57","0"
"32","2",-0.76217524948,0.44595542228,"62","0"
"33","7",-0.72623600217,0.46769411028,"63","0"
"34","2",-1.15889381686,0.24649948948,"66","0"
"35","4",-2.31146977423,0.02080692082,"63","-2"
"36","1",-2.03639079164,0.04171112937,"59","-2"
"37","1",-2.05210318702,0.04015963529,"59","-2"
"38","4",-2.05578753586,0.03980299996,"54","-2"
"39","1",-1.90921928829,0.05623380909,"51","-1"
"40","2",-1.34689040193,0.17801553321,"53","0"
"41","6",0.09981206685,0.92049352794,"31","0"
"42","1",-0.54371323107,0.58663882851,"59","0"
"43","8",-1.26960849315,0.20422414784,"67","0"
"44","6",-1.66616128044,0.09568129565,"66","-1"
"45","9",-1.93172524902,0.05339342664,"64","-1"
"46","8",-1.99225467157,0.04634312240,"64","-2"
"47","3",-2.17342874402,0.02974806340,"66","-2"
"48","6",-2.14637755927,0.03184286822,"59","-2"
"49","5",-2.18072351229,0.02920387289,"57","-2"
"50","3",-2.00759505246,0.04468634075,"53","-2"
"51","2",-1.45398421287,0.14595068316,"55","0"
"52","2",-1.46251371577,0.14360048858,"53","0"
"53","1",-0.95881224264,0.33765335251,"52","0"
"54","2",0.77216555950,0.44001638345,"50","0"
"55","1",1.77383906958,0.07608977358,"48","1"
"56","1",-0.58436811057,0.55897267982,"1","0"
"57","8",0.10847251945,0.91362087818,"38","0"
"58","14",-0.02635932952,0.97897073321,"42","0"
"59","13",-0.14822570050,0.88216464983,"47","0"
"60","5",-0.61760402667,0.53683639307,"60","0"
"61","10",-0.89390495883,0.37137275422,"63","0"
"62","1",-1.06918097760,0.28498814457,"64","0"
"63","3",-1.34369343072,0.17904754252,"67","0"
"64","2",-2.09843577056,0.03586666819,"65","-2"
"65","3",-2.03765173849,0.04158477388,"64","-2"
"66","1",-2.21774914756,0.02657194116,"69","-2"
"67","2",-2.05407169376,0.03996875325,"66","-2"
"68","6",-2.19115134694,0.02844084204,"61","-2"
"69","17",-2.06896000186,0.03854984025,"57","-2"
"70","3",-2.27207672226,0.02308187679,"59","-2"
"71","6",-1.85077729685,0.06420159852,"61","-1"
"72","13",-1.56149144995,0.11840783963,"58","0"
"73","9",-1.23871678156,0.21545042540,"57","0"
"74","2",-0.35783278173,0.72046845718,"58","0"
"75","8",1.39503389779,0.16300561777,"53","0"
"76","6",1.52436187358,0.12741833871,"52","0"
"77","4",1.82449192064,0.06807773668,"53","1"
"78","1",0.55078386244,0.58178185036,"26","0"
"79","4",0.37098219139,0.71065079675,"32","0"
"80","4",0.35991372938,0.71891165028,"34","0"
"81","7",-0.06173854402,0.95077104481,"45","0"
"82","14",-0.09502603839,0.92429414487,"48","0"
"83","10",-0.07659085156,0.93894903697,"50","0"
"84","2",-0.41168923587,0.68056721672,"56","0"
"85","6",-0.92248443298,0.35627595731,"61","0"
"86","4",-2.20303479291,0.02759229646,"68","-2"
"87","3",-2.14473670375,0.03197390452,"61","-2"
"88","2",-2.14381075640,0.03204805313,"67","-2"
"89","9",-1.62555131517,0.10404513911,"63","0"
"90","8",1.68977781294,0.09107047003,"60","1"
"91","5",3.91860705530,0.00008906217,"59","3"
"92","12",4.96360554093,0.00000069196,"58","3"
"93","1",0.20241244708,0.83959429856,"39","0"
"94","3",-0.02597069453,0.97928071294,"46","0"
"95","15",-0.19710630887,0.84374434663,"49","0"
"96","13",-0.30628057733,0.75939102657,"53","0"
"97","5",-0.88746003451,0.37483128362,"57","0"
"98","1",-2.11375021889,0.03453660682,"66","-2"
"99","2",-2.02643438864,0.04272028994,"68","-2"
"100","12",-2.29278579427,0.02186034027,"66","-2"
"101","1",-2.04115108899,0.04123581160,"68","-2"
"102","12",4.48439354188,0.00000731216,"64","3"
"103","35",5.04429070052,0.00000045521,"64","3"
"104","6",5.49826136969,0.00000003836,"64","3"
"105","1",0.25419876896,0.79934200185,"35","0"
"106","16",0.08539772253,0.93194520371,"41","0"
"107","15",-0.04362594627,0.96520256925,"46","0"
"108","3",-0.12963465150,0.89685548666,"48","0"
"109","1",-0.11327187334,0.90981501554,"47","0"
"110","8",-0.70882827121,0.47843105658,"52","0"
"111","9",-0.88578788245,0.37573185037,"55","0"
"112","2",-1.38153450059,0.16711467745,"60","0"
"113","2",-2.02133928332,0.04324465528,"62","-2"
"114","1",-2.02133928332,0.04324465528,"62","-2"
"115","3",-1.97823799317,0.04790186451,"65","-2"
"116","1",-2.18834837530,0.02864423565,"66","-2"
"117","1",-0.72137995518,0.47067578127,"67","0"
"118","2",1.09474587876,0.27362800007,"64","0"
"119","4",1.52663981384,0.12685060105,"66","0"
"120","15",4.50901663680,0.00000651288,"67","3"
"121","8",4.75536308218,0.00000198090,"69","3"
"122","30",5.14520523045,0.00000026723,"70","3"
"123","4",5.53732235948,0.00000003071,"70","3"
"124","2",0.01146960421,0.99084878052,"39","0"
"125","10",0.02843063397,0.97731869169,"43","0"
"126","20",0.12110193156,0.90361029930,"42","0"
"127","3",-2.16105539235,0.03069106080,"60","-2"
"128","1",-2.30679761904,0.02106610505,"67","-2"
"129","2",-2.18831809256,0.02864643990,"68","-2"
"130","1",-1.68448414351,0.09208814134,"67","-1"
"131","2",-0.38307299021,0.70166564646,"66","0"
"132","5",1.07239462383,0.28354283787,"63","0"
"133","24",1.35840669329,0.17433467160,"68","0"
"134","11",3.16067077314,0.00157406303,"67","3"
"135","3",4.24478811937,0.00002188001,"70","3"
"136","8",4.68047381828,0.00000286213,"70","3"
"137","28",4.87445192901,0.00000109111,"74","3"
"138","66",5.12619202912,0.00000029566,"75","3"
"139","8",6.32648230494,0.00000000025,"76","3"
"140","1",6.70056892259,0.00000000002,"68","3"
"141","1",-1.57363723494,0.11557133986,"28","0"
"142","2",-1.17356205738,0.24057050700,"46","0"
"143","1",1.45671720918,0.14519445738,"67","0"
"144","1",3.06554393461,0.00217274453,"68","3"
"145","2",4.08994486890,0.00004314757,"72","3"
"146","5",4.59240652234,0.00000438164,"71","3"
"147","4",4.93790113859,0.00000078968,"79","3"
"148","1",5.99705437247,0.00000000201,"81","3"
"149","1",6.39511286348,0.00000000016,"79","3"
"150","2",6.60196507709,0.00000000004,"74","3"
"151","3",6.37540597570,0.00000000018,"74","3"
