SOURCE_ID,n,GiZScore,GiPValue,NNeighbors,Gi_Bin,ID_0,ISO,NAME_0,NAME_1,NAME_2
"0","4",-1.18352983756,0.23659924958,"22","0","154",MMR,Myanmar,Tanintharyi,Dawei
"1","2",0.67084399163,0.50231992375,"29","0","154",MMR,Myanmar,Tanintharyi,Dawei
"2","4",0.19029534138,0.84907770409,"29","0","154",MMR,Myanmar,Tanintharyi,Dawei
"3","5",0.05389655615,0.95701758047,"28","0","154",MMR,Myanmar,Tanintharyi,Dawei
"4","1",-0.55339849875,0.57999056919,"30","0","154",MMR,Myanmar,Tanintharyi,Dawei
"5","12",2.72943952554,0.00634420840,"34","3","154",MMR,Myanmar,Tanintharyi,Dawei
"6","4",2.51977684895,0.01174292542,"36","2","154",MMR,Myanmar,Tanintharyi,Dawei
"7","3",2.93249354931,0.00336251908,"35","3","154",MMR,Myanmar,Tanintharyi,Dawei
"8","1",2.73913243317,0.00616015539,"33","3","154",MMR,Myanmar,Tanintharyi,Dawei
"9","10",3.04427701940,0.00233240261,"38","3","154",MMR,Myanmar,Tanintharyi,Dawei
"10","16",3.32001169144,0.00090013678,"41","3","154",MMR,Myanmar,Tanintharyi,Dawei
"11","2",3.68342700405,0.00023011920,"41","3","154",MMR,Myanmar,Tanintharyi,Dawei
"12","2",3.50378783816,0.00045869064,"42","3","154",MMR,Myanmar,Tanintharyi,Dawei
"13","1",2.91379401640,0.00357065422,"43","3","154",MMR,Myanmar,Tanintharyi,Dawei
"14","1",-1.33072804188,0.18327851260,"33","0","154",MMR,Myanmar,Tanintharyi,Dawei
"15","3",-1.05557152964,0.29116402934,"29","0","154",MMR,Myanmar,Tanintharyi,Dawei
"17","10",3.62912820480,0.00028437999,"49","3","154",MMR,Myanmar,Tanintharyi,Dawei
"18","1",3.20215374311,0.00136404176,"48","3","154",MMR,Myanmar,Tanintharyi,Dawei
"19","3",2.99078920285,0.00278257504,"48","3","154",MMR,Myanmar,Tanintharyi,Dawei
"20","1",2.42524562156,0.01529803257,"46","2","154",MMR,Myanmar,Tanintharyi,Dawei
"21","1",-0.79304254296,0.42775304375,"36","0","154",MMR,Myanmar,Tanintharyi,Dawei
"22","12",0.14496927868,0.88473512762,"21","0","154",MMR,Myanmar,Tanintharyi,Dawei
"23","3",1.22258503452,0.22148649132,"29","0","154",MMR,Myanmar,Tanintharyi,Dawei
"24","4",2.97247431346,0.00295409928,"39","3","154",MMR,Myanmar,Tanintharyi,Dawei
"25","2",3.75170154779,0.00017563847,"48","3","154",MMR,Myanmar,Tanintharyi,Dawei
"26","2",4.06638736256,0.00004774755,"57","3","154",MMR,Myanmar,Tanintharyi,Dawei
"27","2",4.10920692073,0.00003970202,"58","3","154",MMR,Myanmar,Tanintharyi,Dawei
"28","1",3.72716324813,0.00019364704,"57","3","154",MMR,Myanmar,Tanintharyi,Dawei
"29","14",2.83996171808,0.00451189480,"57","3","154",MMR,Myanmar,Tanintharyi,Dawei
"30","1",2.69410946852,0.00705769806,"55","3","154",MMR,Myanmar,Tanintharyi,Dawei
"31","9",0.20471181208,0.83779729127,"45","0","154",MMR,Myanmar,Tanintharyi,Dawei
"32","1",0.52860864899,0.59707696141,"43","0","154",MMR,Myanmar,Tanintharyi,Dawei
"33","21",0.54432199942,0.58621991316,"40","0","154",MMR,Myanmar,Tanintharyi,Dawei
"34","5",0.80638911257,0.42001853000,"41","0","154",MMR,Myanmar,Tanintharyi,Dawei
"35","1",-0.58710877654,0.55713065649,"1","0","154",MMR,Myanmar,Tanintharyi,Dawei
"36","2",0.33179114323,0.74004697305,"21","0","154",MMR,Myanmar,Tanintharyi,Dawei
"37","2",1.30251640965,0.19273991210,"28","0","154",MMR,Myanmar,Tanintharyi,Dawei
"38","12",4.45278100989,0.00000847652,"49","3","154",MMR,Myanmar,Tanintharyi,Dawei
"39","19",4.97414869410,0.00000065535,"59","3","154",MMR,Myanmar,Tanintharyi,Dawei
"40","15",4.75908614078,0.00000194471,"65","3","154",MMR,Myanmar,Tanintharyi,Dawei
"41","30",4.55291222704,0.00000529084,"66","3","154",MMR,Myanmar,Tanintharyi,Dawei
"42","50",4.28637312653,0.00001816138,"64","3","154",MMR,Myanmar,Tanintharyi,Dawei
