Category level Intensity Analysis for interval:  1996 - 2007 
"","Gross Loss","Gross Gain","Loss Intensity","Gain Intensity","Uniform Category Intensity","Loss Behavior","Gain Behavior"
"Bare Ground","107.545454545455","449.636363636364","0.0434351593479219","0.0720686590216964","0.0123739093847349","Active","Active"
"Built-up Area","14.7272727272727","88.1818181818182","0.0418388429752066","0.0760188087774295","0.0123739093847349","Active","Active"
"Forest","12356.5454545455","3244.54545454545","0.00811266990949839","0.00228025838669004","0.0123739093847349","Dormant","Dormant"
"Mangrove","4690","761.727272727273","0.0244125883589952","0.00511559386128737","0.0123739093847349","Active","Dormant"
"Oil Palm","743.454545454545","8363.90909090909","0.0363671939272389","0.0802154936405138","0.0123739093847349","Active","Active"
"Rice Paddy","1444.45454545455","3123.36363636364","0.0186393257042976","0.0325475822594504","0.0123739093847349","Active","Active"
"Rubber","1270.27272727273","4148.36363636364","0.0530717663368593","0.0746189091694002","0.0123739093847349","Active","Active"
"Shrub/Orchard","2205.18181818182","2976.72727272727","0.0747341925028576","0.0783472988558002","0.0123739093847349","Active","Active"
"Water Body","529.090909090909","204.818181818182","0.0285886912568709","0.0137093829864914","0.0123739093847349","Active","Active"

Category level Intensity Analysis for interval:  2007 - 2016 
"","Gross Loss","Gross Gain","Loss Intensity","Gain Intensity","Uniform Category Intensity","Loss Behavior","Gain Behavior"
"Bare Ground","603.222222222222","103.555555555556","0.0966857224270271","0.0594463579538206","0.0140606658123579","Active","Active"
"Built-up Area","101","7","0.0870689655172414","0.0222929936305732","0.0140606658123579","Active","Active"
"Forest","9070","3200.77777777778","0.00637437319249272","0.00233622841723789","0.0140606658123579","Dormant","Dormant"
"Mangrove","2704.77777777778","380.777777777778","0.0181646963310194","0.00297512855038229","0.0140606658123579","Active","Dormant"
"Oil Palm","4666.66666666667","5520.77777777778","0.0447564609148221","0.0493124717768548","0.0140606658123579","Active","Active"
"Rice Paddy","3244.11111111111","3253.66666666667","0.0338058534134105","0.033875070710436","0.0140606658123579","Active","Active"
"Rubber","2042.55555555556","11832.5555555556","0.036740575521739","0.0823397786808687","0.0140606658123579","Active","Active"
"Shrub/Orchard","3898.77777777778","1258.11111111111","0.102615617670626","0.0884250148377222","0.0140606658123579","Active","Active"
"Water Body","214.666666666667","988.555555555556","0.0143685854529228","0.0451292196099318","0.0140606658123579","Active","Active"

