Transition_From*, Transition_To*, Variable*, Range_Lower_Limit*, Range_Upper_Limit*, Possible_Transitions, Executed_Transitions, Weight_Coefficient, Contrast, Significant, 
3, 5, distance/distance_to_5, 0, 200, 15519, 4610, 2.30472362343686, 2.37869125840966, 1, 
3, 5, distance/distance_to_5, 200, 800, 68786, 12709, 1.68166856065556, 1.8846804008996, 1, 
3, 5, distance/distance_to_5, 800, 2200, 94277, 12546, 1.29205242585601, 1.472122491359, 1, 
3, 5, distance/distance_to_5, 2200, 3700, 65019, 6668, 0.996927371386173, 1.07473550565976, 1, 
3, 5, distance/distance_to_5, 3700, 3800, 4526, 376, 0.764809433209071, 0.768251796140559, 1, 
3, 5, distance/distance_to_5, 3800, 6300, 93585, 6483, 0.568187423529432, 0.620637413111232, 1, 
3, 5, distance/distance_to_5, 6300, 6400, 3815, 202, 0.282057869297484, 0.282906673107478, 1, 
3, 5, distance/distance_to_5, 6400, 8200, 67125, 3053, 0.12220116577528, 0.128496122150557, 1, 
3, 5, distance/distance_to_5, 8200, 8300, 3981, 153, -0.0535759281364894, -0.0537198496858736, 0, 
3, 5, distance/distance_to_5, 8300, 8800, 18154, 612, -0.189537098955081, -0.191739513156097, 1, 
3, 5, distance/distance_to_5, 8800, 14000, 175696, 4806, -0.40507103430062, -0.450657417859108, 1, 
3, 5, distance/distance_to_5, 14000, 14100, 3250, 59, -0.824468279328604, -0.825758366651043, 1, 
3, 5, distance/distance_to_5, 14100, 16000, 55552, 1189, -0.656487254645566, -0.675871181740121, 1, 
3, 5, distance/distance_to_5, 16000, 16200, 5654, 148, -0.450297508894518, -0.451737063791338, 1, 
3, 5, distance/distance_to_5, 16200, 23600, 200813, 4300, -0.656029661138365, -0.732187069396683, 1, 
3, 5, distance/distance_to_5, 23600, 24700, 28429, 479, -0.90038797812841, -0.912484269937952, 1, 
3, 5, distance/distance_to_5, 24700, 24800, 2567, 18, -1.78700074343603, -1.78852774554271, 1, 
3, 5, distance/distance_to_5, 24800, 26100, 32574, 116, -2.46802813072554, -2.48965575819813, 1, 
3, 5, distance/distance_to_5, 26100, 69600, 500089, 139, -5.02170553622938, -5.46461787176424, 1, 
3, 5, distance/distance_to_5, 69600, 77400, 10486, 0, -20.2374119364093, 0, 0, 
3, 5, static_var/Acc00, 0, 10, 6232, 852, 1.32322677671741, 1.3339815831549, 1, 
3, 5, static_var/Acc00, 10, 40, 7011, 1888, 2.16786176581016, 2.1968840348041, 1, 
3, 5, static_var/Acc00, 40, 60, 11248, 1874, 1.55621918735964, 1.58192333932532, 1, 
3, 5, static_var/Acc00, 60, 70, 7002, 836, 1.16790690768253, 1.17781768139662, 1, 
3, 5, static_var/Acc00, 70, 480, 503066, 44689, 0.838119299746696, 1.87287097934365, 1, 
3, 5, static_var/Acc00, 480, 490, 12403, 502, 0.000306313553209232, 0.000308956866119131, 0, 
3, 5, static_var/Acc00, 490, 500, 10753, 524, 0.194593484907955, 0.196185889234326, 1, 
3, 5, static_var/Acc00, 500, 510, 12931, 520, -0.00642574051012823, -0.00648339263002193, 0, 
3, 5, static_var/Acc00, 510, 520, 12292, 407, -0.208135291307779, -0.209753028524893, 1, 
3, 5, static_var/Acc00, 520, 650, 138142, 3810, -0.396601255488472, -0.430993873192223, 1, 
3, 5, static_var/Acc00, 650, 660, 10016, 184, -0.812377990592965, -0.816328875468689, 1, 
3, 5, static_var/Acc00, 660, 670, 10184, 97, -1.47820786350753, -1.48382989268044, 1, 
3, 5, static_var/Acc00, 670, 680, 9612, 144, -1.01977576801395, -1.02414692394769, 1, 
3, 5, static_var/Acc00, 680, 690, 8560, 161, -0.788379662097244, -0.791686936580249, 1, 
3, 5, static_var/Acc00, 690, 700, 8433, 81, -1.46972325240606, -1.47436300969458, 1, 
3, 5, static_var/Acc00, 700, 720, 18427, 244, -1.14499024228227, -1.15397831145225, 1, 
3, 5, static_var/Acc00, 720, 770, 41806, 390, -1.49919191641413, -1.52274333924479, 1, 
3, 5, static_var/Acc00, 770, 1250, 303011, 1435, -2.18177330511517, -2.40133650641992, 1, 
3, 5, static_var/Acc00, 1250, 1270, 10424, 3, -4.9868820882804, -4.99434963325977, 1, 
3, 5, static_var/Acc00, 1270, 2770, 308344, 25, -6.25393051234732, -6.50403953810167, 1, 
3, 5, static_var/Acc15, 0, 10, 19626, 2176, 1.08423258338918, 1.10940712044038, 1, 
3, 5, static_var/Acc15, 10, 50, 40284, 6964, 1.60068010765122, 1.70280250753735, 1, 
3, 5, static_var/Acc15, 50, 140, 227807, 27387, 1.17573718666479, 1.64909620435061, 1, 
3, 5, static_var/Acc15, 140, 150, 25363, 1895, 0.649664950514696, 0.665487253065521, 1, 
3, 5, static_var/Acc15, 150, 170, 50779, 3167, 0.455783840294789, 0.476456933430405, 1, 
3, 5, static_var/Acc15, 170, 190, 48951, 2416, 0.207992465478815, 0.216025765534581, 1, 
3, 5, static_var/Acc15, 190, 200, 24264, 939, -0.0463816434633618, -0.0471541658096679, 0, 
3, 5, static_var/Acc15, 200, 210, 24129, 682, -0.371384273033354, -0.37668809551882, 1, 
3, 5, static_var/Acc15, 210, 510, 502865, 11467, -0.591697141974639, -0.809944560393762, 1, 
3, 5, static_var/Acc15, 510, 560, 57532, 972, -0.897617593066095, -0.922414579566977, 1, 
3, 5, static_var/Acc15, 560, 570, 10654, 105, -1.44374209448037, -1.4495620845625, 1, 
3, 5, static_var/Acc15, 570, 590, 21159, 131, -1.91232893569427, -1.92532352164203, 1, 
3, 5, static_var/Acc15, 590, 760, 147338, 363, -2.83753104596168, -2.94297545910505, 1, 
3, 5, static_var/Acc15, 760, 1790, 249146, 2, -8.56655523793733, -8.7638528223219, 1, 
3, 5, static_var/BD000, 0, 45, 4140, 677, 1.53386463155377, 1.54297937124474, 1, 
3, 5, static_var/BD000, 45, 50, 115, 13, 1.10606044722119, 1.10620874615091, 1, 
3, 5, static_var/BD000, 50, 55, 286, 57, 1.77541316732423, 1.77622062560928, 1, 
3, 5, static_var/BD000, 55, 105, 126174, 16081, 1.24239689077332, 1.48031493356804, 1, 
3, 5, static_var/BD000, 105, 110, 162902, 11985, 0.633009754112832, 0.746708473778577, 1, 
3, 5, static_var/BD000, 110, 115, 327034, 15468, 0.163246082994807, 0.215774068884531, 1, 
3, 5, static_var/BD000, 115, 120, 361348, 9469, -0.44918015845724, -0.564743986511331, 1, 
3, 5, static_var/BD000, 120, 125, 246882, 3301, -1.13514018016294, -1.26970005601096, 1, 
3, 5, static_var/BD000, 125, 130, 134263, 1078, -1.65054776362167, -1.73263087676009, 1, 
3, 5, static_var/BD000, 130, 175, 86753, 537, -1.91252905672388, -1.96730782456822, 1, 
3, 5, static_var/Bio01, 0, 255, 584218, 151, -5.09440724139839, -5.63624740663668, 1, 
3, 5, static_var/Bio01, 255, 270, 712065, 9310, -1.15783533033416, -1.68849811324103, 1, 
3, 5, static_var/Bio01, 270, 275, 149138, 48635, 2.44023976156545, 4.13143723988063, 1, 
3, 5, static_var/Bio01, 275, 280, 4476, 570, 1.24145115243589, 1.24840314625989, 1, 
3, 5, static_var/Bio02, 0, 15, 1392, 152, 1.06709776529111, 1.06880037168526, 1, 
3, 5, static_var/Bio02, 15, 20, 23029, 616, -0.428065560066471, -0.433751298558212, 1, 
3, 5, static_var/Bio02, 20, 25, 30828, 1008, -0.221127236643496, -0.225463204306277, 1, 
3, 5, static_var/Bio02, 25, 30, 49222, 5921, 1.17641352716357, 1.2511860043264, 1, 
3, 5, static_var/Bio02, 30, 35, 69176, 4848, 0.580655156565085, 0.619566204268336, 1, 
3, 5, static_var/Bio02, 35, 40, 187557, 10657, 0.356716255116999, 0.42119244558645, 1, 
3, 5, static_var/Bio02, 40, 45, 241267, 21650, 0.849204237374259, 1.13790764707863, 1, 
3, 5, static_var/Bio02, 45, 50, 258268, 11767, 0.124016856256064, 0.15286068026988, 1, 
3, 5, static_var/Bio02, 50, 55, 287975, 2046, -1.77377295767868, -1.96834526062759, 1, 
3, 5, static_var/Bio02, 55, 60, 180481, 1, -8.93729134424791, -9.07622243695008, 1, 
3, 5, static_var/Bio02, 60, 70, 120702, 0, -22.6806955987491, 0, 0, 
3, 5, static_var/Bio03, 0, 420, 2323, 206, 0.836204800698636, 0.838199550792245, 1, 
3, 5, static_var/Bio03, 420, 425, 2004, 21, -1.38175978775245, -1.38282813823654, 1, 
3, 5, static_var/Bio03, 425, 430, 6337, 170, -0.425085434897311, -0.426626086832816, 1, 
3, 5, static_var/Bio03, 430, 435, 8329, 285, -0.174108667579972, -0.175037529228304, 1, 
3, 5, static_var/Bio03, 435, 440, 4702, 106, -0.603418641812659, -0.604919186721655, 1, 
3, 5, static_var/Bio03, 440, 455, 25198, 1043, 0.0236936810561853, 0.0241174158306997, 0, 
3, 5, static_var/Bio03, 455, 460, 14284, 1182, 0.760526931718142, 0.771418441587551, 1, 
3, 5, static_var/Bio03, 460, 470, 21165, 2321, 1.07188746949843, 1.09861689953261, 1, 
3, 5, static_var/Bio03, 470, 475, 3660, 1438, 2.73092947112534, 2.75414810119232, 1, 
3, 5, static_var/Bio03, 475, 480, 54066, 10026, 1.68616731003075, 1.8414141322721, 1, 
3, 5, static_var/Bio03, 480, 485, 248218, 18214, 0.63017773211323, 0.821210226718016, 1, 
3, 5, static_var/Bio03, 485, 490, 339791, 11828, -0.156347292108995, -0.2000235712057, 1, 
3, 5, static_var/Bio03, 490, 495, 336750, 5240, -0.981252573706583, -1.15987305069551, 1, 
3, 5, static_var/Bio03, 495, 505, 339686, 6584, -0.757722382965862, -0.912368152478536, 1, 
3, 5, static_var/Bio03, 505, 510, 35275, 2, -6.61164199413205, -6.63728865339814, 1, 
3, 5, static_var/Bio03, 510, 520, 8109, 0, -19.9803454586979, 0, 0, 
3, 5, static_var/Bio04, 0, 560, 1327, 152, 1.12094099731194, 1.12269036550544, 1, 
3, 5, static_var/Bio04, 560, 565, 186, 0, -16.2053623870077, 0, 0, 
3, 5, static_var/Bio04, 565, 570, 485, 6, -1.21385722513894, -1.21409930470481, 1, 
3, 5, static_var/Bio04, 570, 575, 726, 33, 0.121561465320497, 0.121625885865438, 0, 
3, 5, static_var/Bio04, 575, 580, 1152, 29, -0.490379221708049, -0.490692300455516, 1, 
3, 5, static_var/Bio04, 580, 585, 1285, 12, -1.49814104572549, -1.49885191289592, 1, 
3, 5, static_var/Bio04, 585, 590, 3620, 16, -2.25112699344453, -2.25344809862457, 1, 
3, 5, static_var/Bio04, 590, 595, 7992, 108, -1.12437553810447, -1.12821595318685, 1, 
3, 5, static_var/Bio04, 595, 600, 7908, 232, -0.333032582417361, -0.33460284498512, 1, 
3, 5, static_var/Bio04, 600, 605, 8124, 189, -0.571207714856947, -0.573700796196272, 1, 
3, 5, static_var/Bio04, 605, 620, 25030, 775, -0.27743112828205, -0.281720683531959, 1, 
3, 5, static_var/Bio04, 620, 625, 8432, 580, 0.560588451188033, 0.564864213238065, 1, 
3, 5, static_var/Bio04, 625, 630, 11255, 1243, 1.07982734200297, 1.09402024060226, 1, 
3, 5, static_var/Bio04, 630, 640, 46365, 3649, 0.705963503188932, 0.738996637750646, 1, 
3, 5, static_var/Bio04, 640, 645, 38110, 1745, 0.129231685091806, 0.13294127589798, 1, 
3, 5, static_var/Bio04, 645, 650, 31925, 2594, 0.740640011746528, 0.764555592079496, 1, 
3, 5, static_var/Bio04, 650, 775, 503999, 43929, 0.817279945466241, 1.79726689884802, 1, 
3, 5, static_var/Bio04, 775, 780, 29469, 1123, -0.0623983479444876, -0.0636556899663761, 1, 
3, 5, static_var/Bio04, 780, 785, 29191, 637, -0.636698751733082, -0.646519114008139, 1, 
3, 5, static_var/Bio04, 785, 790, 26312, 333, -1.19081740531239, -1.20397497334532, 1, 
3, 5, static_var/Bio04, 790, 795, 25317, 207, -1.63221875584234, -1.64689769670695, 1, 
