Transition_From*, Transition_To*, Variable*, Range_Lower_Limit*, Range_Upper_Limit*, Possible_Transitions, Executed_Transitions, Weight_Coefficient, Contrast, Significant, 
3, 7, distance/distance_to_7, 0, 200, 28728, 13895, 3.16928914281567, 3.46239258371542, 1, 
3, 7, distance/distance_to_7, 200, 400, 53548, 14239, 2.21914568647098, 2.50252425734294, 1, 
3, 7, distance/distance_to_7, 400, 500, 32587, 5347, 1.60646368264796, 1.69240298562984, 1, 
3, 7, distance/distance_to_7, 500, 600, 19339, 2390, 1.27569903887018, 1.30918418207042, 1, 
3, 7, distance/distance_to_7, 600, 900, 64261, 5953, 0.952770496922163, 1.02766391851288, 1, 
3, 7, distance/distance_to_7, 900, 1000, 16355, 1032, 0.536758207426008, 0.54497620542482, 1, 
3, 7, distance/distance_to_7, 1000, 1100, 23836, 1309, 0.389163405104583, 0.397297428973555, 1, 
3, 7, distance/distance_to_7, 1100, 1400, 45000, 1998, 0.165514561949201, 0.171475182464792, 1, 
3, 7, distance/distance_to_7, 1400, 1500, 14421, 525, -0.0413435373666405, -0.0417661056769852, 0, 
3, 7, distance/distance_to_7, 1500, 2400, 105734, 2910, -0.330251199661753, -0.353257580368932, 1, 
3, 7, distance/distance_to_7, 2400, 2600, 21703, 430, -0.666794225321822, -0.674581805697353, 1, 
3, 7, distance/distance_to_7, 2600, 4000, 112794, 1580, -1.01941691817086, -1.07541515103258, 1, 
3, 7, distance/distance_to_7, 4000, 4100, 7484, 49, -1.78751905282095, -1.79213502848016, 1, 
3, 7, distance/distance_to_7, 4100, 20000, 500278, 1225, -2.77515695057686, -3.21525352862806, 1, 
3, 7, distance/distance_to_7, 20000, 68900, 352370, 96, -4.9732018614374, -5.27496142802802, 1, 
3, 7, static_var/Acc00, 0, 10, 6523, 174, -0.362382791993244, -0.363823005434245, 1, 
3, 7, static_var/Acc00, 10, 70, 21381, 2517, 1.22042688032084, 1.25498315352427, 1, 
3, 7, static_var/Acc00, 70, 140, 47626, 4054, 0.859903813772286, 0.906592029747569, 1, 
3, 7, static_var/Acc00, 140, 150, 6275, 428, 0.620053715368803, 0.623810155345498, 1, 
3, 7, static_var/Acc00, 150, 160, 7900, 446, 0.418427379943537, 0.421326089240999, 1, 
3, 7, static_var/Acc00, 160, 180, 14616, 1015, 0.639359801005811, 0.648544355828234, 1, 
3, 7, static_var/Acc00, 180, 200, 15937, 1467, 0.945756466480129, 0.963024886641204, 1, 
3, 7, static_var/Acc00, 200, 210, 10154, 1283, 1.30102806405773, 1.3189286162626, 1, 
3, 7, static_var/Acc00, 210, 340, 180620, 16781, 0.95597756366481, 1.20702931680382, 1, 
3, 7, static_var/Acc00, 340, 350, 13449, 781, 0.448355250143832, 0.45374698920207, 1, 
3, 7, static_var/Acc00, 350, 730, 424768, 20539, 0.254958476730267, 0.38817115912347, 1, 
3, 7, static_var/Acc00, 730, 740, 8422, 332, 0.0413654668266279, 0.0416209743640157, 0, 
3, 7, static_var/Acc00, 740, 750, 8138, 127, -0.909769281793849, -0.913341076167597, 1, 
3, 7, static_var/Acc00, 750, 760, 8169, 183, -0.541344626819069, -0.543837584711343, 1, 
3, 7, static_var/Acc00, 760, 880, 89953, 1631, -0.757181395598375, -0.793809427871728, 1, 
3, 7, static_var/Acc00, 880, 890, 7103, 100, -1.01430921370475, -1.01763835808227, 1, 
3, 7, static_var/Acc00, 890, 910, 13258, 117, -1.48670394988321, -1.49430797282262, 1, 
3, 7, static_var/Acc00, 910, 930, 12896, 72, -1.94779306731066, -1.95601011463423, 1, 
3, 7, static_var/Acc00, 930, 940, 6001, 134, -0.544644401012272, -0.546481970525089, 1, 
3, 7, static_var/Acc00, 940, 950, 6678, 47, -1.71474879169613, -1.71880184793593, 1, 
3, 7, static_var/Acc00, 950, 960, 6662, 100, -0.949266019570279, -0.952265734339853, 1, 
3, 7, static_var/Acc00, 960, 970, 6238, 62, -1.36667719869684, -1.37010703547718, 1, 
3, 7, static_var/Acc00, 970, 980, 6035, 16, -2.69547318134531, -2.69965472284547, 1, 
3, 7, static_var/Acc00, 980, 990, 6389, 126, -0.671518167611258, -0.673802770536573, 1, 
3, 7, static_var/Acc00, 990, 1000, 6754, 19, -2.63601960171535, -2.64067919150201, 1, 
3, 7, static_var/Acc00, 1000, 1010, 5752, 40, -1.72683054194281, -1.73032965181549, 1, 
3, 7, static_var/Acc00, 1010, 1090, 47175, 164, -2.42365596007483, -2.45612102087474, 1, 
3, 7, static_var/Acc00, 1090, 2770, 403566, 223, -4.26575631613697, -4.61789990800833, 1, 
3, 7, static_var/Acc15, 0, 10, 19845, 531, -0.359208971322248, -0.363594344895282, 1, 
3, 7, static_var/Acc15, 10, 20, 3207, 891, 2.2793620967406, 2.29460060471868, 1, 
3, 7, static_var/Acc15, 20, 90, 110073, 18278, 1.62075482890052, 1.97322717435271, 1, 
3, 7, static_var/Acc15, 90, 120, 73833, 8742, 1.22696721359445, 1.35771736503727, 1, 
3, 7, static_var/Acc15, 120, 130, 24889, 2246, 0.923914610888544, 0.950262060272805, 1, 
3, 7, static_var/Acc15, 130, 150, 48169, 3488, 0.684394658680176, 0.718728116505498, 1, 
3, 7, static_var/Acc15, 150, 160, 25156, 1488, 0.467923519559129, 0.478665068203587, 1, 
