Transition_From*, Transition_To*, First_Variable*, Second_Variable*, Chi_2, Cramer, Contingency, Joint_Entropy, Joint_Uncertainty, 
3, 7, distance/distance_to_7, static_var/Acc00, 1110578.63380335, 0.204692943603296, 0.608043562649522, 4.13973852521109, 0.145604448930217, 
3, 7, distance/distance_to_7, static_var/Acc15, 950134.288186207, 0.189330555894909, 0.578059037887677, 4.15009365396271, 0.12620199017079, 
3, 7, distance/distance_to_7, static_var/BD000, 214734.643923395, 0.101542288711443, 0.319164027987928, 3.86541620726621, 0.0316084755146057, 
3, 7, distance/distance_to_7, static_var/Bio01, 1231146.73169415, 0.403196863393695, 0.627725147386697, 3.26471918434554, 0.204546122289356, 
3, 7, distance/distance_to_7, static_var/Bio02, 1327672.5819674, 0.296068860474413, 0.642026753146905, 3.94916792645723, 0.160550976858226, 
3, 7, distance/distance_to_7, static_var/Bio03, 391658.051335557, 0.126146174762354, 0.414014955295382, 3.97449721247222, 0.0531191032110606, 
3, 7, distance/distance_to_7, static_var/Bio04, 1716916.55311662, 0.254508802989068, 0.689618637006616, 4.12212523209412, 0.187800570436521, 
3, 7, distance/distance_to_7, static_var/Bio05, 546018.631815285, 0.268513402528958, 0.473119641439543, 3.5734334028246, 0.0878538469245594, 
3, 7, distance/distance_to_7, static_var/Bio06, 1224928.99435, 0.359718428522334, 0.626761972165376, 3.48043859908324, 0.191479652261682, 
3, 7, distance/distance_to_7, static_var/Bio07, 1499346.2229079, 0.256893179709297, 0.664787378832505, 4.22524817626491, 0.166918230748308, 
3, 7, distance/distance_to_7, static_var/Bio08, 1071939.81865458, 0.376224816035853, 0.601252001452049, 3.282746395848, 0.18200190828073, 
3, 7, distance/distance_to_7, static_var/Bio09, 1204079.99523532, 0.356643982434839, 0.623493051393509, 3.31892196455404, 0.197093285192442, 
3, 7, distance/distance_to_7, static_var/Bio10, 1175490.69838969, 0.454926466171683, 0.618909525415604, 3.14129601974365, 0.194492365170847, 
3, 7, distance/distance_to_7, static_var/Bio11, 1242668.39269141, 0.362313783539306, 0.629495985543253, 3.36597949072209, 0.200486674150225, 
3, 7, distance/distance_to_7, static_var/Bio12, 181232.071903797, 0.109386761942174, 0.29556923702482, 3.92357406767022, 0.0262792960159314, 
3, 7, distance/distance_to_7, static_var/Bio13, 236699.550562862, 0.106609180855077, 0.333357855676261, 3.87889592990716, 0.0346748866938203, 
3, 7, distance/distance_to_7, static_var/Bio14, 284933.349378293, 0.129313128623084, 0.361677202516197, 3.92254599640985, 0.0395941510828816, 
3, 7, distance/distance_to_7, static_var/Bio15, 436685.283266376, 0.160086701244592, 0.432921618480521, 4.30574350504723, 0.0559283195299524, 
3, 7, distance/distance_to_7, static_var/Bio16, 239903.713688213, 0.107328330809798, 0.335354432080354, 4.18619705874042, 0.0329542439154209, 
3, 7, distance/distance_to_7, static_var/Bio17, 333958.22612984, 0.112246882333484, 0.387224158274355, 4.55627312456481, 0.0391057561887567, 
3, 7, distance/distance_to_7, static_var/Bio18, 138572.29307474, 0.0750341138691391, 0.261151072960678, 3.81523308354771, 0.0221398841787005, 
3, 7, distance/distance_to_7, static_var/Bio19, 307038.442574863, 0.121420569912579, 0.373553931643291, 4.19570653624632, 0.0382817922824594, 
3, 7, distance/distance_to_7, static_var/Cy000, 203204.550984624, 0.0945732523166232, 0.311329712902676, 4.23301548280692, 0.0242934104978716, 
