From*, To*, Rate, 
1, 2, 0.000787153652392947, 
1, 3, 0.00755667506297229, 
1, 4, 0.0486460957178841, 
1, 5, 0.00928841309823678, 
1, 6, 0.237090680100756, 
1, 7, 0.00188916876574307, 
1, 8, 0.00110201511335013, 
1, 9, 0.562185138539043, 
2, 1, 0.0277777777777778, 
2, 3, 0.00571895424836601, 
2, 4, 0.136437908496732, 
2, 5, 0.0106209150326797, 
2, 6, 0.540849673202614, 
2, 7, 0.0106209150326797, 
2, 8, 0.0138888888888889, 
2, 9, 0.0547385620915033, 
3, 1, 4.41422838937418e-05, 
3, 2, 7.00671172916537e-07, 
3, 4, 0.000126120811124977, 
3, 5, 0.00774451847424648, 
3, 6, 0.00533561098175943, 
3, 7, 0.0371201573987723, 
3, 8, 0.00663255332282794, 
3, 9, 0.0002711597439187, 
4, 1, 0.000645391167552959, 
4, 2, 2.016847398603e-05, 
4, 3, 0.00776486248462154, 
4, 5, 0.067315643340706, 
4, 6, 0.0468782563681957, 
4, 7, 0.011408633451431, 
4, 8, 0.00197651045063094, 
4, 9, 0.027617363711537, 
5, 1, 0.000325088204078901, 
5, 2, 9.5614177670265e-06, 
5, 3, 0.0493847227666918, 
5, 4, 0.00394886553778194, 
5, 6, 0.054127185979137, 
5, 7, 0.289471922896727, 
5, 8, 0.00448430493273543, 
5, 9, 0.0020939504909788, 
6, 1, 0.00629048137209182, 
6, 2, 0.00043525571273123, 
6, 3, 0.0428001450852376, 
6, 4, 0.0221669516555262, 
6, 5, 0.0800248717550132, 
6, 7, 0.136877558422716, 
6, 8, 0.0108606663557697, 
6, 9, 0.0045494585211669, 
7, 1, 5.39704242075343e-05, 
7, 3, 0.0513438635627676, 
7, 4, 0.00104342820134566, 
7, 5, 0.226585830964631, 
7, 6, 0.0492929874428813, 
7, 8, 0.00246464937214406, 
7, 9, 0.000431763393660274, 
8, 1, 0.000602835949990826, 
8, 2, 2.62102586952533e-05, 
8, 3, 0.373024401750845, 
8, 4, 0.00120567189998165, 
8, 5, 0.223442455377035, 
8, 6, 0.107199958063586, 
8, 7, 0.216811259927135, 
8, 9, 0.000655256467381333, 
9, 1, 0.00274504552758436, 
9, 2, 0.000267809319764328, 
9, 3, 0.101098018211034, 
9, 4, 0.00582485270487413, 
9, 5, 0.00863685056239957, 
9, 6, 0.0129887520085699, 
9, 7, 0.000535618639528656, 
