Transition_From*, Transition_To*, Variable*, Range_Lower_Limit*, Range_Upper_Limit*, Possible_Transitions, Executed_Transitions, Weight_Coefficient, Contrast, Significant, 
3, 6, distance/distance_to_6, 0, 200, 12402, 1305, 3.03389949390878, 3.21360186610542, 1, 
3, 6, distance/distance_to_6, 200, 400, 34253, 1325, 1.96146035443909, 2.12784140419515, 1, 
3, 6, distance/distance_to_6, 400, 600, 45831, 1008, 1.37961802376467, 1.4877264995032, 1, 
3, 6, distance/distance_to_6, 600, 800, 46635, 716, 1.01341716786035, 1.07743584382405, 1, 
3, 6, distance/distance_to_6, 800, 900, 23970, 283, 0.747136498873203, 0.767246210380046, 1, 
3, 6, distance/distance_to_6, 900, 1400, 111912, 1055, 0.519670939113296, 0.582813821398416, 1, 
3, 6, distance/distance_to_6, 1400, 1700, 58649, 453, 0.318691477300302, 0.335805265836855, 1, 
3, 6, distance/distance_to_6, 1700, 1800, 13886, 88, 0.1194291360247, 0.120744390465407, 0, 
3, 6, distance/distance_to_6, 1800, 2600, 132872, 701, -0.0649726760495605, -0.0718021393679481, 0, 
3, 6, distance/distance_to_6, 2600, 2700, 11394, 35, -0.608046344089461, -0.611917862642811, 1, 
3, 6, distance/distance_to_6, 2700, 2900, 29762, 71, -0.861548116870938, -0.874495352291802, 1, 
3, 6, distance/distance_to_6, 2900, 3000, 11213, 18, -1.25847951648414, -1.26446834623598, 1, 
3, 6, distance/distance_to_6, 3000, 9000, 502262, 529, -1.6804636981587, -2.07512697669859, 1, 
3, 6, distance/distance_to_6, 9000, 9200, 10836, 3, -3.01736876662491, -3.02505883966574, 1, 
3, 6, distance/distance_to_6, 9200, 64900, 307198, 25, -4.2419193062473, -4.4977946335425, 1, 
3, 6, static_var/Acc00, 0, 10, 6412, 63, 0.56145338187363, 0.565030938318072, 1, 
3, 6, static_var/Acc00, 10, 20, 494, 8, 1.06760417243189, 1.06829400275826, 1, 
3, 6, static_var/Acc00, 20, 40, 3978, 32, 0.359649470869713, 0.360923422388607, 1, 
3, 6, static_var/Acc00, 40, 50, 3447, 19, -0.0209220458986828, -0.0209749312464785, 0, 
3, 6, static_var/Acc00, 50, 70, 11054, 50, -0.219619861963772, -0.221244466705863, 0, 
3, 6, static_var/Acc00, 70, 80, 6729, 59, 0.446533559648597, 0.449341855290502, 1, 
3, 6, static_var/Acc00, 80, 100, 10537, 56, -0.057596427782481, -0.0580357483715195, 0, 
3, 6, static_var/Acc00, 100, 110, 6545, 47, 0.24526914013356, 0.246619019632303, 0, 
3, 6, static_var/Acc00, 110, 140, 20116, 193, 0.537431321348609, 0.548184443391867, 1, 
3, 6, static_var/Acc00, 140, 160, 13402, 101, 0.29389727214051, 0.297314283681934, 1, 
3, 6, static_var/Acc00, 160, 170, 6557, 70, 0.645311043488851, 0.649712877802644, 1, 
3, 6, static_var/Acc00, 170, 180, 7147, 33, -0.198941136389373, -0.199899605960005, 0, 
3, 6, static_var/Acc00, 180, 210, 23511, 170, 0.252202941878622, 0.257280052579208, 1, 
3, 6, static_var/Acc00, 210, 230, 24771, 282, 0.710299009471195, 0.72966539692248, 1, 
3, 6, static_var/Acc00, 230, 250, 25655, 397, 1.02140931913362, 1.05600019243598, 1, 
3, 6, static_var/Acc00, 250, 520, 336099, 4051, 0.768055482093796, 1.24387885213062, 1, 
3, 6, static_var/Acc00, 520, 530, 10771, 38, -0.469120972102591, -0.472127514163875, 1, 
3, 6, static_var/Acc00, 530, 550, 21405, 99, -0.197252897384006, -0.200129189655395, 1, 
3, 6, static_var/Acc00, 550, 650, 97130, 566, 0.035004052921597, 0.0377622755227414, 0, 
3, 6, static_var/Acc00, 650, 660, 9579, 13, -1.42664981212616, -1.43207642771423, 1, 
3, 6, static_var/Acc00, 660, 670, 9757, 29, -0.641096519566927, -0.644537482314616, 1, 
3, 6, static_var/Acc00, 670, 680, 9114, 83, 0.484793480198346, 0.489018025087845, 1, 
3, 6, static_var/Acc00, 680, 700, 16194, 121, 0.285265675680147, 0.289264933368172, 1, 
3, 6, static_var/Acc00, 700, 710, 9407, 43, -0.209056458264692, -0.210377738461839, 0, 
3, 6, static_var/Acc00, 710, 720, 8207, 69, 0.404178030688171, 0.407213540295041, 1, 
3, 6, static_var/Acc00, 720, 730, 8484, 46, -0.0374879415426418, -0.0377201228062151, 0, 
3, 6, static_var/Acc00, 730, 740, 8161, 71, 0.438667121641325, 0.442003599442238, 1, 
3, 6, static_var/Acc00, 740, 750, 8058, 47, 0.035947980147489, 0.0361672409474058, 0, 
3, 6, static_var/Acc00, 750, 760, 8069, 83, 0.607766574825978, 0.612772748707406, 1, 
3, 6, static_var/Acc00, 760, 770, 7494, 11, -1.34812253262944, -1.35225416120332, 1, 
3, 6, static_var/Acc00, 770, 780, 8158, 60, 0.269343420282541, 0.271216865782188, 1, 
3, 6, static_var/Acc00, 780, 800, 14244, 72, -0.10798609231676, -0.109075154189516, 0, 
3, 6, static_var/Acc00, 800, 820, 15553, 63, -0.330443952366834, -0.333715971292158, 1, 
3, 6, static_var/Acc00, 820, 830, 7007, 16, -0.905418909619657, -0.908525121521663, 1, 
3, 6, static_var/Acc00, 830, 850, 14803, 21, -1.38227181096886, -1.39055766166998, 1, 
3, 6, static_var/Acc00, 850, 860, 6424, 1, -3.59326932260525, -3.59792325734708, 1, 
3, 6, static_var/Acc00, 860, 870, 7538, 10, -1.44942833361862, -1.45372509670831, 1, 
3, 6, static_var/Acc00, 870, 880, 7378, 23, -0.593270162453841, -0.595726765468546, 1, 
3, 6, static_var/Acc00, 880, 890, 7009, 6, -1.88796318377492, -1.89239345869111, 1, 
3, 6, static_var/Acc00, 890, 920, 19477, 6, -2.91055073423502, -2.9243398709965, 1, 
3, 6, static_var/Acc00, 920, 1030, 68532, 67, -1.75501407072282, -1.79840301228358, 1, 
3, 6, static_var/Acc00, 1030, 1040, 4794, 9, -1.10164547189829, -1.10402563859871, 1, 
3, 6, static_var/Acc00, 1040, 1060, 12745, 14, -1.63836665879384, -1.6460337323452, 1, 
3, 6, static_var/Acc00, 1060, 1070, 5389, 14, -0.776085268728058, -0.778248017195508, 1, 
3, 6, static_var/Acc00, 1070, 1080, 6062, 4, -2.14846937581475, -2.1524566750718, 1, 
3, 6, static_var/Acc00, 1080, 1090, 6056, 0, -17.6466800821308, 0, 0, 
3, 6, static_var/Acc00, 1090, 1100, 6160, 26, -0.289134552000168, -0.290283855743587, 0, 
3, 6, static_var/Acc00, 1100, 1110, 5388, 6, -1.62468460740625, -1.62790451904708, 1, 
3, 6, static_var/Acc00, 1110, 1120, 5406, 1, -3.42070847542076, -3.42460245115485, 1, 
3, 6, static_var/Acc00, 1120, 1250, 70141, 50, -2.07115541668242, -2.11806819108956, 1, 
3, 6, static_var/Acc00, 1250, 1320, 34477, 51, -1.34037048445458, -1.35957047207471, 1, 
3, 6, static_var/Acc00, 1320, 1340, 9683, 33, -0.503834378214004, -0.506689521546559, 1, 
3, 6, static_var/Acc00, 1340, 1350, 4516, 3, -2.14173385650634, -2.14469970083638, 1, 
3, 6, static_var/Acc00, 1350, 1360, 4197, 8, -1.08640452461465, -1.08847170442368, 1, 
3, 6, static_var/Acc00, 1360, 1390, 14274, 36, -0.805779532555161, -0.811679455664909, 1, 
3, 6, static_var/Acc00, 1390, 1400, 5143, 3, -2.27182481512855, -2.2752583488095, 1, 
3, 6, static_var/Acc00, 1400, 1460, 26637, 37, -1.40337732747302, -1.41847488865394, 1, 
3, 6, static_var/Acc00, 1460, 1470, 4905, 3, -2.2244150207674, -2.22767100067632, 1, 
3, 6, static_var/Acc00, 1470, 2290, 187696, 22, -3.87704798605595, -4.02438117126622, 1, 
3, 6, static_var/Acc00, 2290, 2770, 24999, 0, -19.0644663736326, 0, 0, 
3, 6, static_var/Acc15, 0, 10, 19484, 170, 0.441584191175946, 0.449702540652753, 1, 
3, 6, static_var/Acc15, 10, 20, 2358, 42, 1.16444403424303, 1.16825190286999, 1, 
3, 6, static_var/Acc15, 20, 30, 5096, 131, 1.53940000137443, 1.55305556602758, 1, 
3, 6, static_var/Acc15, 30, 40, 8411, 103, 0.78412605788618, 0.791550319327457, 1, 
3, 6, static_var/Acc15, 40, 80, 60590, 952, 1.03688805566811, 1.12510044896682, 1, 
3, 6, static_var/Acc15, 80, 90, 19303, 419, 1.36617189290851, 1.4086317877341, 1, 
3, 6, static_var/Acc15, 90, 230, 313819, 4808, 1.01127557691583, 1.74834375149671, 1, 
3, 6, static_var/Acc15, 230, 240, 19804, 121, 0.0826512022363011, 0.0839312288527788, 0, 
3, 6, static_var/Acc15, 240, 250, 20369, 59, -0.666959956016164, -0.674392220747972, 1, 
3, 6, static_var/Acc15, 250, 260, 20870, 79, -0.39845637262382, -0.403601268658907, 1, 
3, 6, static_var/Acc15, 260, 280, 38374, 105, -0.724063843140242, -0.739034724431716, 1, 
