From*, To*, Variable*, Range_Lower_Limit*, Weight, 
3, 6, distance/distance_to_6, 0, 0, 
3, 6, distance/distance_to_6, 200, 0, 
3, 6, distance/distance_to_6, 400, 0, 
3, 6, distance/distance_to_6, 600, 0, 
3, 6, distance/distance_to_6, 800, 0, 
3, 6, distance/distance_to_6, 900, 0, 
3, 6, distance/distance_to_6, 1400, 0, 
3, 6, distance/distance_to_6, 1700, 0, 
3, 6, distance/distance_to_6, 1800, 0, 
3, 6, distance/distance_to_6, 2600, 0, 
3, 6, distance/distance_to_6, 2700, 0, 
3, 6, distance/distance_to_6, 2900, 0, 
3, 6, distance/distance_to_6, 3000, 0, 
3, 6, distance/distance_to_6, 9000, 0, 
3, 6, distance/distance_to_6, 9200, 0, 
3, 6, static_var/Acc00, 0, 0, 
3, 6, static_var/Acc00, 10, 0, 
3, 6, static_var/Acc00, 20, 0, 
3, 6, static_var/Acc00, 40, 0, 
3, 6, static_var/Acc00, 50, 0, 
3, 6, static_var/Acc00, 70, 0, 
3, 6, static_var/Acc00, 80, 0, 
3, 6, static_var/Acc00, 100, 0, 
3, 6, static_var/Acc00, 110, 0, 
3, 6, static_var/Acc00, 140, 0, 
3, 6, static_var/Acc00, 160, 0, 
3, 6, static_var/Acc00, 170, 0, 
3, 6, static_var/Acc00, 180, 0, 
3, 6, static_var/Acc00, 210, 0, 
3, 6, static_var/Acc00, 230, 0, 
3, 6, static_var/Acc00, 250, 0, 
3, 6, static_var/Acc00, 520, 0, 
3, 6, static_var/Acc00, 530, 0, 
3, 6, static_var/Acc00, 550, 0, 
3, 6, static_var/Acc00, 650, 0, 
3, 6, static_var/Acc00, 660, 0, 
3, 6, static_var/Acc00, 670, 0, 
3, 6, static_var/Acc00, 680, 0, 
3, 6, static_var/Acc00, 700, 0, 
3, 6, static_var/Acc00, 710, 0, 
3, 6, static_var/Acc00, 720, 0, 
3, 6, static_var/Acc00, 730, 0, 
3, 6, static_var/Acc00, 740, 0, 
3, 6, static_var/Acc00, 750, 0, 
3, 6, static_var/Acc00, 760, 0, 
3, 6, static_var/Acc00, 770, 0, 
3, 6, static_var/Acc00, 780, 0, 
3, 6, static_var/Acc00, 800, 0, 
3, 6, static_var/Acc00, 820, 0, 
3, 6, static_var/Acc00, 830, 0, 
3, 6, static_var/Acc00, 850, 0, 
3, 6, static_var/Acc00, 860, 0, 
3, 6, static_var/Acc00, 870, 0, 
3, 6, static_var/Acc00, 880, 0, 
3, 6, static_var/Acc00, 890, 0, 
3, 6, static_var/Acc00, 920, 0, 
3, 6, static_var/Acc00, 1030, 0, 
3, 6, static_var/Acc00, 1040, 0, 
3, 6, static_var/Acc00, 1060, 0, 
3, 6, static_var/Acc00, 1070, 0, 
3, 6, static_var/Acc00, 1080, 0, 
3, 6, static_var/Acc00, 1090, 0, 
3, 6, static_var/Acc00, 1100, 0, 
3, 6, static_var/Acc00, 1110, 0, 
3, 6, static_var/Acc00, 1120, 0, 
3, 6, static_var/Acc00, 1250, 0, 
3, 6, static_var/Acc00, 1320, 0, 
3, 6, static_var/Acc00, 1340, 0, 
3, 6, static_var/Acc00, 1350, 0, 
3, 6, static_var/Acc00, 1360, 0, 
3, 6, static_var/Acc00, 1390, 0, 
3, 6, static_var/Acc00, 1400, 0, 
3, 6, static_var/Acc00, 1460, 0, 
3, 6, static_var/Acc00, 1470, 0, 
3, 6, static_var/Acc00, 2290, 0, 
3, 6, static_var/Acc15, 0, 0, 
3, 6, static_var/Acc15, 10, 0, 
3, 6, static_var/Acc15, 20, 0, 
3, 6, static_var/Acc15, 30, 0, 
3, 6, static_var/Acc15, 40, 0, 
3, 6, static_var/Acc15, 80, 0, 
3, 6, static_var/Acc15, 90, 0, 
3, 6, static_var/Acc15, 230, 0, 
3, 6, static_var/Acc15, 240, 0, 
3, 6, static_var/Acc15, 250, 0, 
3, 6, static_var/Acc15, 260, 0, 
3, 6, static_var/Acc15, 280, 0, 
3, 6, static_var/Acc15, 370, 0, 
3, 6, static_var/Acc15, 380, 0, 
3, 6, static_var/Acc15, 400, 0, 
3, 6, static_var/Acc15, 410, 0, 
3, 6, static_var/Acc15, 420, 0, 
3, 6, static_var/Acc15, 430, 0, 
3, 6, static_var/Acc15, 440, 0, 
3, 6, static_var/Acc15, 450, 0, 
3, 6, static_var/Acc15, 460, 0, 
3, 6, static_var/Acc15, 1170, 0, 
3, 6, static_var/BD000, 0, 0, 
3, 6, static_var/BD000, 40, 0, 
3, 6, static_var/BD000, 45, 0, 
3, 6, static_var/BD000, 50, 0, 
3, 6, static_var/BD000, 55, 0, 
3, 6, static_var/BD000, 65, 0, 
3, 6, static_var/BD000, 70, 0, 
3, 6, static_var/BD000, 80, 0, 
3, 6, static_var/BD000, 85, 0, 
3, 6, static_var/BD000, 90, 0, 
3, 6, static_var/BD000, 100, 0, 
3, 6, static_var/BD000, 120, 0, 
3, 6, static_var/BD000, 130, 0, 
3, 6, static_var/BD000, 135, 0, 
3, 6, static_var/Bio01, 0, 0, 
3, 6, static_var/Bio01, 255, 0, 
3, 6, static_var/Bio01, 265, 0, 
3, 6, static_var/Bio01, 270, 0, 
3, 6, static_var/Bio01, 275, 0, 
3, 6, static_var/Bio02, 0, 0, 
3, 6, static_var/Bio02, 20, 0, 
3, 6, static_var/Bio02, 25, 0, 
3, 6, static_var/Bio02, 30, 0, 
3, 6, static_var/Bio02, 35, 0, 
3, 6, static_var/Bio02, 40, 0, 
3, 6, static_var/Bio02, 45, 0, 
3, 6, static_var/Bio02, 50, 0, 
3, 6, static_var/Bio02, 55, 0, 
3, 6, static_var/Bio02, 60, 0, 
3, 6, static_var/Bio02, 65, 0, 
3, 6, static_var/Bio03, 0, 0, 
3, 6, static_var/Bio03, 430, 0, 
3, 6, static_var/Bio03, 440, 0, 
3, 6, static_var/Bio03, 470, 0, 
3, 6, static_var/Bio03, 475, 0, 
3, 6, static_var/Bio03, 480, 0, 
3, 6, static_var/Bio03, 485, 0, 
3, 6, static_var/Bio03, 490, 0, 
3, 6, static_var/Bio03, 500, 0, 
3, 6, static_var/Bio03, 505, 0, 
3, 6, static_var/Bio03, 510, 0, 
3, 6, static_var/Bio04, 0, 0, 
3, 6, static_var/Bio04, 575, 0, 
3, 6, static_var/Bio04, 585, 0, 
3, 6, static_var/Bio04, 610, 0, 
3, 6, static_var/Bio04, 615, 0, 
3, 6, static_var/Bio04, 620, 0, 
3, 6, static_var/Bio04, 625, 0, 
3, 6, static_var/Bio04, 630, 0, 
3, 6, static_var/Bio04, 635, 0, 
3, 6, static_var/Bio04, 645, 0, 
3, 6, static_var/Bio04, 650, 0, 
3, 6, static_var/Bio04, 660, 0, 
3, 6, static_var/Bio04, 665, 0, 
3, 6, static_var/Bio04, 670, 0, 
3, 6, static_var/Bio04, 685, 0, 
3, 6, static_var/Bio04, 690, 0, 
3, 6, static_var/Bio04, 755, 0, 
3, 6, static_var/Bio04, 760, 0, 
3, 6, static_var/Bio04, 765, 0, 
3, 6, static_var/Bio04, 780, 0, 
3, 6, static_var/Bio04, 785, 0, 
3, 6, static_var/Bio04, 805, 0, 
3, 6, static_var/Bio04, 830, 0, 
3, 6, static_var/Bio04, 835, 0, 
3, 6, static_var/Bio04, 885, 0, 
3, 6, static_var/Bio04, 890, 0, 
3, 6, static_var/Bio04, 910, 0, 
3, 6, static_var/Bio04, 915, 0, 
3, 6, static_var/Bio04, 1075, 0, 
3, 6, static_var/Bio04, 1080, 0, 
3, 6, static_var/Bio04, 1085, 0, 
3, 6, static_var/Bio04, 1090, 0, 
3, 6, static_var/Bio04, 1095, 0, 
3, 6, static_var/Bio04, 1100, 0, 
3, 6, static_var/Bio04, 1105, 0, 
3, 6, static_var/Bio04, 1115, 0, 
3, 6, static_var/Bio04, 1120, 0, 
3, 6, static_var/Bio04, 1125, 0, 
3, 6, static_var/Bio05, 0, 0, 
3, 6, static_var/Bio05, 300, 0, 
3, 6, static_var/Bio05, 305, 0, 
3, 6, static_var/Bio05, 315, 0, 
3, 6, static_var/Bio05, 320, 0, 
3, 6, static_var/Bio05, 325, 0, 
3, 6, static_var/Bio06, 0, 0, 
3, 6, static_var/Bio06, 200, 0, 
3, 6, static_var/Bio06, 210, 0, 
3, 6, static_var/Bio06, 215, 0, 
3, 6, static_var/Bio06, 220, 0, 
3, 6, static_var/Bio06, 230, 0, 
3, 6, static_var/Bio06, 235, 0, 
3, 6, static_var/Bio06, 240, 0, 
3, 6, static_var/Bio06, 245, 0, 
3, 6, static_var/Bio06, 255, 0, 
3, 6, static_var/Bio06, 260, 0, 
3, 6, static_var/Bio07, 0, 0, 
3, 6, static_var/Bio07, 35, 0, 
3, 6, static_var/Bio07, 40, 0, 
3, 6, static_var/Bio07, 45, 0, 
3, 6, static_var/Bio07, 50, 0, 
3, 6, static_var/Bio07, 55, 0, 
3, 6, static_var/Bio07, 60, 0, 
3, 6, static_var/Bio07, 65, 0, 
3, 6, static_var/Bio07, 70, 0, 
3, 6, static_var/Bio07, 75, 0, 
3, 6, static_var/Bio07, 80, 0, 
3, 6, static_var/Bio07, 85, 0, 
3, 6, static_var/Bio07, 90, 0, 
3, 6, static_var/Bio07, 100, 0, 
3, 6, static_var/Bio07, 105, 0, 
3, 6, static_var/Bio07, 110, 0, 
3, 6, static_var/Bio08, 0, 0, 
3, 6, static_var/Bio08, 255, 0, 
3, 6, static_var/Bio08, 260, 0, 
3, 6, static_var/Bio08, 265, 0, 
3, 6, static_var/Bio08, 270, 0, 
3, 6, static_var/Bio08, 275, 0, 
3, 6, static_var/Bio09, 0, 0, 
3, 6, static_var/Bio09, 240, 0, 
3, 6, static_var/Bio09, 245, 0, 
3, 6, static_var/Bio09, 250, 0, 
3, 6, static_var/Bio09, 255, 0, 
3, 6, static_var/Bio09, 260, 0, 
3, 6, static_var/Bio09, 265, 0, 
3, 6, static_var/Bio09, 270, 0, 
3, 6, static_var/Bio10, 0, 0, 
3, 6, static_var/Bio10, 265, 0, 
3, 6, static_var/Bio10, 270, 0, 
3, 6, static_var/Bio10, 275, 0, 
3, 6, static_var/Bio10, 280, 0, 
3, 6, static_var/Bio10, 285, 0, 
3, 6, static_var/Bio11, 0, 0, 
3, 6, static_var/Bio11, 240, 0, 
3, 6, static_var/Bio11, 245, 0, 
3, 6, static_var/Bio11, 250, 0, 
3, 6, static_var/Bio11, 255, 0, 
3, 6, static_var/Bio11, 260, 0, 
3, 6, static_var/Bio11, 265, 0, 
3, 6, static_var/Bio12, 0, 0, 
3, 6, static_var/Bio12, 1200, 0, 
3, 6, static_var/Bio12, 1500, 0, 
3, 6, static_var/Bio12, 1600, 0, 
3, 6, static_var/Bio12, 1700, 0, 
3, 6, static_var/Bio12, 1900, 0, 
3, 6, static_var/Bio12, 2000, 0, 
3, 6, static_var/Bio12, 2200, 0, 
3, 6, static_var/Bio12, 2300, 0, 
3, 6, static_var/Bio12, 2400, 0, 
3, 6, static_var/Bio12, 2500, 0, 
3, 6, static_var/Bio12, 2600, 0, 
3, 6, static_var/Bio12, 2700, 0, 
3, 6, static_var/Bio12, 3000, 0, 
3, 6, static_var/Bio12, 3100, 0, 
3, 6, static_var/Bio12, 3200, 0, 
3, 6, static_var/Bio12, 3300, 0, 
3, 6, static_var/Bio12, 3400, 0, 
3, 6, static_var/Bio12, 3500, 0, 
3, 6, static_var/Bio12, 3600, 0, 
3, 6, static_var/Bio12, 3700, 0, 
3, 6, static_var/Bio12, 3800, 0, 
3, 6, static_var/Bio12, 3900, 0, 
3, 6, static_var/Bio12, 4000, 0, 
3, 6, static_var/Bio12, 4100, 0, 
3, 6, static_var/Bio12, 4200, 0, 
3, 6, static_var/Bio12, 4400, 0, 
3, 6, static_var/Bio12, 4500, 0, 
3, 6, static_var/Bio12, 5000, 0, 
3, 6, static_var/Bio13, 0, 0, 
3, 6, static_var/Bio13, 250, 0, 
3, 6, static_var/Bio13, 300, 0, 
3, 6, static_var/Bio13, 350, 0, 
3, 6, static_var/Bio13, 400, 0, 
3, 6, static_var/Bio13, 450, 0, 
3, 6, static_var/Bio13, 500, 0, 
3, 6, static_var/Bio13, 550, 0, 
3, 6, static_var/Bio13, 650, 0, 
3, 6, static_var/Bio13, 700, 0, 
3, 6, static_var/Bio13, 750, 0, 
3, 6, static_var/Bio13, 800, 0, 
3, 6, static_var/Bio13, 850, 0, 
3, 6, static_var/Bio13, 900, 0, 
3, 6, static_var/Bio14, 0, 0, 
3, 6, static_var/Bio14, 5, 0, 
3, 6, static_var/Bio14, 10, 0, 
3, 6, static_var/Bio14, 15, 0, 
3, 6, static_var/Bio14, 25, 0, 
3, 6, static_var/Bio14, 30, 0, 
3, 6, static_var/Bio14, 35, 0, 
3, 6, static_var/Bio14, 45, 0, 
3, 6, static_var/Bio14, 50, 0, 
3, 6, static_var/Bio14, 55, 0, 
3, 6, static_var/Bio14, 65, 0, 
3, 6, static_var/Bio14, 70, 0, 
3, 6, static_var/Bio15, 0, 0, 
3, 6, static_var/Bio15, 60, 0, 
3, 6, static_var/Bio15, 65, 0, 
3, 6, static_var/Bio15, 70, 0, 
3, 6, static_var/Bio15, 75, 0, 
3, 6, static_var/Bio15, 80, 0, 
3, 6, static_var/Bio15, 85, 0, 
3, 6, static_var/Bio15, 90, 0, 
3, 6, static_var/Bio15, 95, 0, 
3, 6, static_var/Bio15, 100, 0, 
3, 6, static_var/Bio15, 110, 0, 
3, 6, static_var/Bio16, 0, 0, 
3, 6, static_var/Bio16, 600, 0, 
3, 6, static_var/Bio16, 700, 0, 
3, 6, static_var/Bio16, 800, 0, 
3, 6, static_var/Bio16, 1100, 0, 
3, 6, static_var/Bio16, 1200, 0, 
3, 6, static_var/Bio16, 1300, 0, 
3, 6, static_var/Bio16, 1400, 0, 
3, 6, static_var/Bio16, 1500, 0, 
3, 6, static_var/Bio16, 1600, 0, 
3, 6, static_var/Bio16, 1700, 0, 
3, 6, static_var/Bio16, 1800, 0, 
3, 6, static_var/Bio16, 1900, 0, 
3, 6, static_var/Bio16, 2100, 0, 
3, 6, static_var/Bio16, 2200, 0, 
3, 6, static_var/Bio16, 2900, 0, 
3, 6, static_var/Bio16, 3000, 0, 
3, 6, static_var/Bio16, 3100, 0, 
3, 6, static_var/Bio16, 3300, 0, 
3, 6, static_var/Bio16, 3400, 0, 
3, 6, static_var/Bio16, 3500, 0, 
3, 6, static_var/Bio16, 3800, 0, 
3, 6, static_var/Bio16, 4100, 0, 
3, 6, static_var/Bio16, 4200, 0, 
3, 6, static_var/Bio16, 4500, 0, 
3, 6, static_var/Bio16, 4600, 0, 
3, 6, static_var/Bio16, 4700, 0, 
3, 6, static_var/Bio16, 4900, 0, 
3, 6, static_var/Bio16, 5000, 0, 
3, 6, static_var/Bio16, 5100, 0, 
3, 6, static_var/Bio17, 0, 0, 
3, 6, static_var/Bio17, 15, 0, 
3, 6, static_var/Bio17, 20, 0, 
3, 6, static_var/Bio17, 25, 0, 
3, 6, static_var/Bio17, 30, 0, 
3, 6, static_var/Bio17, 35, 0, 
3, 6, static_var/Bio17, 40, 0, 
3, 6, static_var/Bio17, 45, 0, 
3, 6, static_var/Bio17, 60, 0, 
3, 6, static_var/Bio17, 65, 0, 
3, 6, static_var/Bio17, 90, 0, 
3, 6, static_var/Bio17, 95, 0, 
3, 6, static_var/Bio17, 100, 0, 
3, 6, static_var/Bio17, 115, 0, 
3, 6, static_var/Bio17, 120, 0, 
3, 6, static_var/Bio17, 125, 0, 
3, 6, static_var/Bio17, 130, 0, 
3, 6, static_var/Bio17, 135, 0, 
3, 6, static_var/Bio17, 140, 0, 
3, 6, static_var/Bio17, 145, 0, 
3, 6, static_var/Bio17, 150, 0, 
3, 6, static_var/Bio18, 0, 0, 
3, 6, static_var/Bio18, 115, 0, 
3, 6, static_var/Bio18, 120, 0, 
3, 6, static_var/Bio18, 125, 0, 
3, 6, static_var/Bio18, 140, 0, 
3, 6, static_var/Bio18, 165, 0, 
3, 6, static_var/Bio18, 170, 0, 
3, 6, static_var/Bio18, 175, 0, 
3, 6, static_var/Bio18, 180, 0, 
3, 6, static_var/Bio18, 190, 0, 
3, 6, static_var/Bio18, 195, 0, 
3, 6, static_var/Bio18, 200, 0, 
3, 6, static_var/Bio18, 215, 0, 
3, 6, static_var/Bio18, 220, 0, 
3, 6, static_var/Bio18, 255, 0, 
3, 6, static_var/Bio18, 260, 0, 
3, 6, static_var/Bio18, 265, 0, 
3, 6, static_var/Bio18, 300, 0, 
3, 6, static_var/Bio18, 305, 0, 
3, 6, static_var/Bio18, 320, 0, 
3, 6, static_var/Bio18, 365, 0, 
3, 6, static_var/Bio18, 380, 0, 
3, 6, static_var/Bio18, 390, 0, 
3, 6, static_var/Bio18, 395, 0, 
3, 6, static_var/Bio19, 0, 0, 
3, 6, static_var/Bio19, 20, 0, 
3, 6, static_var/Bio19, 30, 0, 
3, 6, static_var/Bio19, 40, 0, 
3, 6, static_var/Bio19, 50, 0, 
3, 6, static_var/Bio19, 60, 0, 
3, 6, static_var/Bio19, 70, 0, 
3, 6, static_var/Bio19, 80, 0, 
3, 6, static_var/Bio19, 90, 0, 
3, 6, static_var/Bio19, 110, 0, 
3, 6, static_var/Bio19, 200, 0, 
3, 6, static_var/Bio19, 210, 0, 
3, 6, static_var/Cy000, 0, 0, 
3, 6, static_var/Cy000, 19, 0, 
3, 6, static_var/Cy000, 25, 0, 
3, 6, static_var/Cy000, 26, 0, 
3, 6, static_var/Cy000, 27, 0, 
3, 6, static_var/Cy000, 28, 0, 
3, 6, static_var/Cy000, 29, 0, 
3, 6, static_var/Cy000, 30, 0, 
3, 6, static_var/Cy000, 32, 0, 
3, 6, static_var/Cy000, 33, 0, 
3, 6, static_var/Cy000, 34, 0, 
3, 6, static_var/D_Mill, 0, 0, 
3, 6, static_var/D_Mill, 8400, 0, 
3, 6, static_var/D_Mill, 8800, 0, 
3, 6, static_var/D_Mill, 8900, 0, 
3, 6, static_var/D_Mill, 13000, 0, 
3, 6, static_var/D_Mill, 13100, 0, 
3, 6, static_var/D_Mill, 13300, 0, 
3, 6, static_var/D_Mill, 13400, 0, 
3, 6, static_var/D_Mill, 13600, 0, 
3, 6, static_var/D_Mill, 13700, 0, 
3, 6, static_var/D_Mill, 13900, 0, 
3, 6, static_var/D_Mill, 14000, 0, 
3, 6, static_var/D_Mill, 14100, 0, 
3, 6, static_var/D_Mill, 14200, 0, 
3, 6, static_var/D_Mill, 14300, 0, 
3, 6, static_var/D_Mill, 14400, 0, 
3, 6, static_var/D_Mill, 14500, 0, 
3, 6, static_var/D_Mill, 14700, 0, 
3, 6, static_var/D_Mill, 14800, 0, 
3, 6, static_var/D_Mill, 14900, 0, 
3, 6, static_var/D_Mill, 15000, 0, 
3, 6, static_var/D_Mill, 15100, 0, 
3, 6, static_var/D_Mill, 15200, 0, 
3, 6, static_var/D_Mill, 15300, 0, 
3, 6, static_var/D_Mill, 15400, 0, 
3, 6, static_var/D_Mill, 15500, 0, 
3, 6, static_var/D_Mill, 16600, 0, 
3, 6, static_var/D_Mill, 16800, 0, 
3, 6, static_var/D_Mill, 16900, 0, 
3, 6, static_var/D_Mill, 17200, 0, 
3, 6, static_var/D_Mill, 17300, 0, 
3, 6, static_var/D_Mill, 17800, 0, 
3, 6, static_var/D_Mill, 17900, 0, 
3, 6, static_var/D_Mill, 18100, 0, 
3, 6, static_var/D_Mill, 18200, 0, 
3, 6, static_var/D_Mill, 18500, 0, 
3, 6, static_var/D_Mill, 18600, 0, 
3, 6, static_var/D_Mill, 19000, 0, 
3, 6, static_var/D_Mill, 19100, 0, 
3, 6, static_var/D_Mill, 19400, 0, 
3, 6, static_var/D_Mill, 19500, 0, 
3, 6, static_var/D_Mill, 20400, 0, 
3, 6, static_var/D_Mill, 20500, 0, 
3, 6, static_var/D_Mill, 20600, 0, 
3, 6, static_var/D_Mill, 20700, 0, 
3, 6, static_var/D_Mill, 20800, 0, 
3, 6, static_var/D_Mill, 24100, 0, 
3, 6, static_var/D_Mill, 24200, 0, 
3, 6, static_var/D_Mill, 24300, 0, 
3, 6, static_var/D_Mill, 24600, 0, 
3, 6, static_var/D_Mill, 24700, 0, 
3, 6, static_var/D_Mill, 24800, 0, 
3, 6, static_var/D_Mill, 24900, 0, 
3, 6, static_var/D_Mill, 25000, 0, 
3, 6, static_var/D_Mill, 25100, 0, 
3, 6, static_var/D_Mill, 25700, 0, 
3, 6, static_var/D_Mill, 25800, 0, 
3, 6, static_var/D_Mill, 26100, 0, 
3, 6, static_var/D_Mill, 26200, 0, 
3, 6, static_var/D_Mill, 26300, 0, 
3, 6, static_var/D_Mill, 26500, 0, 
3, 6, static_var/D_Mill, 26600, 0, 
3, 6, static_var/D_Mill, 26700, 0, 
3, 6, static_var/D_Mill, 26800, 0, 
3, 6, static_var/D_Mill, 27000, 0, 
3, 6, static_var/D_Mill, 27100, 0, 
3, 6, static_var/D_Mill, 27200, 0, 
3, 6, static_var/D_Mill, 27300, 0, 
3, 6, static_var/D_Mill, 27600, 0, 
3, 6, static_var/D_Mill, 27700, 0, 
3, 6, static_var/D_Mill, 27900, 0, 
3, 6, static_var/D_Mill, 28000, 0, 
3, 6, static_var/D_Mill, 28100, 0, 
3, 6, static_var/D_Mill, 28200, 0, 
3, 6, static_var/D_Mill, 28500, 0, 
3, 6, static_var/D_Mill, 28600, 0, 
3, 6, static_var/D_Mill, 28700, 0, 
3, 6, static_var/D_Mill, 28900, 0, 
3, 6, static_var/D_Mill, 29000, 0, 
3, 6, static_var/D_Mill, 29400, 0, 
3, 6, static_var/D_Mill, 29800, 0, 
3, 6, static_var/D_Mill, 30300, 0, 
3, 6, static_var/D_Mill, 30400, 0, 
3, 6, static_var/D_Mill, 30500, 0, 
3, 6, static_var/D_Mill, 30600, 0, 
3, 6, static_var/D_Mill, 30700, 0, 
3, 6, static_var/D_Mill, 30800, 0, 
3, 6, static_var/D_Mill, 30900, 0, 
3, 6, static_var/D_Mill, 31000, 0, 
3, 6, static_var/D_Mill, 31100, 0, 
3, 6, static_var/D_Mill, 31200, 0, 
3, 6, static_var/D_Mill, 31300, 0, 
3, 6, static_var/D_Mill, 31400, 0, 
3, 6, static_var/D_Mill, 31500, 0, 
3, 6, static_var/D_Mill, 31600, 0, 
3, 6, static_var/D_Mill, 31700, 0, 
3, 6, static_var/D_Mill, 31800, 0, 
3, 6, static_var/D_Mill, 31900, 0, 
3, 6, static_var/D_Mill, 32000, 0, 
3, 6, static_var/D_Mill, 32300, 0, 
3, 6, static_var/D_Mill, 32500, 0, 
3, 6, static_var/D_Mill, 34500, 0, 
3, 6, static_var/D_Mill, 34600, 0, 
3, 6, static_var/D_Mill, 34700, 0, 
3, 6, static_var/D_Mill, 34800, 0, 
3, 6, static_var/D_Mill, 34900, 0, 
3, 6, static_var/D_Mill, 35000, 0, 
3, 6, static_var/D_Mill, 35500, 0, 
3, 6, static_var/D_Mill, 35700, 0, 
3, 6, static_var/D_Mill, 35800, 0, 
3, 6, static_var/D_Mill, 36000, 0, 
3, 6, static_var/D_Mill, 36100, 0, 
3, 6, static_var/D_Mill, 36200, 0, 
3, 6, static_var/D_Mill, 36300, 0, 
3, 6, static_var/D_Mill, 36400, 0, 
3, 6, static_var/D_Mill, 36500, 0, 
3, 6, static_var/D_Mill, 36600, 0, 
3, 6, static_var/D_Mill, 36800, 0, 
3, 6, static_var/D_Mill, 36900, 0, 
3, 6, static_var/D_Mill, 37100, 0, 
3, 6, static_var/D_Mill, 44600, 0, 
3, 6, static_var/D_Mill, 44700, 0, 
3, 6, static_var/D_Mill, 46900, 0, 
3, 6, static_var/D_Mill, 47000, 0, 
3, 6, static_var/D_Mill, 47100, 0, 
3, 6, static_var/D_Mill, 47200, 0, 
3, 6, static_var/D_Mill, 47400, 0, 
3, 6, static_var/D_Mill, 47500, 0, 
3, 6, static_var/D_Mill, 47600, 0, 
3, 6, static_var/D_Mill, 47700, 0, 
3, 6, static_var/D_Mill, 47900, 0, 
3, 6, static_var/D_Mill, 48000, 0, 
3, 6, static_var/D_Mill, 48100, 0, 
3, 6, static_var/D_Mill, 48700, 0, 
3, 6, static_var/D_Mill, 48800, 0, 
3, 6, static_var/D_Mill, 48900, 0, 
3, 6, static_var/D_Mill, 49100, 0, 
3, 6, static_var/D_Mill, 49200, 0, 
3, 6, static_var/D_Mill, 49300, 0, 
3, 6, static_var/D_Mill, 49400, 0, 
3, 6, static_var/D_Mill, 49700, 0, 
3, 6, static_var/D_Mill, 49800, 0, 
3, 6, static_var/D_Mill, 49900, 0, 
3, 6, static_var/D_Mill, 50000, 0, 
3, 6, static_var/D_Mill, 50100, 0, 
3, 6, static_var/D_Mill, 50300, 0, 
3, 6, static_var/D_Mill, 50400, 0, 
3, 6, static_var/D_Mill, 50600, 0, 
3, 6, static_var/D_Mill, 50700, 0, 
