From*, To*, Variable*, Range_Lower_Limit*, Weight, 
3, 5, distance/distance_to_5, 0, 0, 
3, 5, distance/distance_to_5, 500, 0, 
3, 5, distance/distance_to_5, 1000, 0, 
3, 5, distance/distance_to_5, 4000, 0, 
3, 5, distance/distance_to_5, 4500, 0, 
3, 5, distance/distance_to_5, 6500, 0, 
3, 5, distance/distance_to_5, 7000, 0, 
3, 5, distance/distance_to_5, 9000, 0, 
3, 5, distance/distance_to_5, 9500, 0, 
3, 5, distance/distance_to_5, 24500, 0, 
3, 5, distance/distance_to_5, 25000, 0, 
3, 5, distance/distance_to_5, 25500, 0, 
3, 5, distance/distance_to_5, 64000, 0, 
3, 5, static_var/Acc00, 0, 0, 
3, 5, static_var/Acc00, 10, 0, 
3, 5, static_var/Acc00, 40, 0, 
3, 5, static_var/Acc00, 60, 0, 
3, 5, static_var/Acc00, 70, 0, 
3, 5, static_var/Acc00, 480, 0, 
3, 5, static_var/Acc00, 490, 0, 
3, 5, static_var/Acc00, 500, 0, 
3, 5, static_var/Acc00, 510, 0, 
3, 5, static_var/Acc00, 520, 0, 
3, 5, static_var/Acc00, 650, 0, 
3, 5, static_var/Acc00, 660, 0, 
3, 5, static_var/Acc00, 670, 0, 
3, 5, static_var/Acc00, 680, 0, 
3, 5, static_var/Acc00, 690, 0, 
3, 5, static_var/Acc00, 700, 0, 
3, 5, static_var/Acc00, 720, 0, 
3, 5, static_var/Acc00, 770, 0, 
3, 5, static_var/Acc00, 1250, 0, 
3, 5, static_var/Acc00, 1270, 0, 
3, 5, static_var/BD000, 0, 0, 
3, 5, static_var/BD000, 45, 0, 
3, 5, static_var/BD000, 50, 0, 
3, 5, static_var/BD000, 55, 0, 
3, 5, static_var/BD000, 105, 0, 
3, 5, static_var/BD000, 110, 0, 
3, 5, static_var/BD000, 115, 0, 
3, 5, static_var/BD000, 120, 0, 
3, 5, static_var/BD000, 125, 0, 
3, 5, static_var/BD000, 130, 0, 
3, 5, static_var/Bio01, 0, 0, 
3, 5, static_var/Bio01, 255, 0, 
3, 5, static_var/Bio01, 270, 0, 
3, 5, static_var/Bio01, 275, 0, 
3, 5, static_var/Bio02, 0, 0, 
3, 5, static_var/Bio02, 15, 0, 
3, 5, static_var/Bio02, 20, 0, 
3, 5, static_var/Bio02, 25, 0, 
3, 5, static_var/Bio02, 30, 0, 
3, 5, static_var/Bio02, 35, 0, 
3, 5, static_var/Bio02, 40, 0, 
3, 5, static_var/Bio02, 45, 0, 
3, 5, static_var/Bio02, 50, 0, 
3, 5, static_var/Bio02, 55, 0, 
3, 5, static_var/Bio02, 60, 0, 
3, 5, static_var/Bio03, 0, 0, 
3, 5, static_var/Bio03, 420, 0, 
3, 5, static_var/Bio03, 425, 0, 
3, 5, static_var/Bio03, 430, 0, 
3, 5, static_var/Bio03, 435, 0, 
3, 5, static_var/Bio03, 440, 0, 
3, 5, static_var/Bio03, 455, 0, 
3, 5, static_var/Bio03, 460, 0, 
3, 5, static_var/Bio03, 470, 0, 
3, 5, static_var/Bio03, 475, 0, 
3, 5, static_var/Bio03, 480, 0, 
3, 5, static_var/Bio03, 485, 0, 
3, 5, static_var/Bio03, 490, 0, 
3, 5, static_var/Bio03, 495, 0, 
3, 5, static_var/Bio03, 505, 0, 
3, 5, static_var/Bio03, 510, 0, 
3, 5, static_var/Bio04, 0, 0, 
3, 5, static_var/Bio04, 560, 0, 
3, 5, static_var/Bio04, 565, 0, 
3, 5, static_var/Bio04, 570, 0, 
3, 5, static_var/Bio04, 575, 0, 
3, 5, static_var/Bio04, 580, 0, 
3, 5, static_var/Bio04, 585, 0, 
3, 5, static_var/Bio04, 590, 0, 
3, 5, static_var/Bio04, 595, 0, 
3, 5, static_var/Bio04, 600, 0, 
3, 5, static_var/Bio04, 605, 0, 
3, 5, static_var/Bio04, 620, 0, 
3, 5, static_var/Bio04, 625, 0, 
3, 5, static_var/Bio04, 630, 0, 
3, 5, static_var/Bio04, 640, 0, 
3, 5, static_var/Bio04, 645, 0, 
3, 5, static_var/Bio04, 650, 0, 
3, 5, static_var/Bio04, 775, 0, 
3, 5, static_var/Bio04, 780, 0, 
3, 5, static_var/Bio04, 785, 0, 
3, 5, static_var/Bio04, 790, 0, 
3, 5, static_var/Bio04, 795, 0, 
3, 5, static_var/Bio04, 800, 0, 
3, 5, static_var/Bio04, 815, 0, 
3, 5, static_var/Bio04, 820, 0, 
3, 5, static_var/Bio04, 1085, 0, 
3, 5, static_var/Bio05, 0, 0, 
3, 5, static_var/Bio05, 300, 0, 
3, 5, static_var/Bio05, 305, 0, 
3, 5, static_var/Bio05, 310, 0, 
3, 5, static_var/Bio05, 315, 0, 
3, 5, static_var/Bio06, 0, 0, 
3, 5, static_var/Bio06, 200, 0, 
3, 5, static_var/Bio06, 220, 0, 
3, 5, static_var/Bio06, 225, 0, 
3, 5, static_var/Bio06, 230, 0, 
3, 5, static_var/Bio06, 235, 0, 
3, 5, static_var/Bio07, 0, 0, 
3, 5, static_var/Bio07, 35, 0, 
3, 5, static_var/Bio07, 40, 0, 
3, 5, static_var/Bio07, 50, 0, 
