From*, To*, Variable*, Range_Lower_Limit*, Weight, 
3, 7, distance/distance_to_7, 0, 0, 
3, 7, distance/distance_to_7, 500, 0, 
3, 7, distance/distance_to_7, 1000, 0, 
3, 7, distance/distance_to_7, 1500, 0, 
3, 7, distance/distance_to_7, 2000, 0, 
3, 7, distance/distance_to_7, 2500, 0, 
3, 7, distance/distance_to_7, 4000, 0, 
3, 7, distance/distance_to_7, 4500, 0, 
3, 7, distance/distance_to_7, 21500, 0, 
3, 7, static_var/Acc15, 0, 0, 
3, 7, static_var/Acc15, 10, 0, 
3, 7, static_var/Acc15, 20, 0, 
3, 7, static_var/Acc15, 90, 0, 
3, 7, static_var/Acc15, 120, 0, 
3, 7, static_var/Acc15, 130, 0, 
3, 7, static_var/Acc15, 150, 0, 
3, 7, static_var/Acc15, 160, 0, 
3, 7, static_var/Acc15, 170, 0, 
3, 7, static_var/Acc15, 210, 0, 
3, 7, static_var/Acc15, 220, 0, 
3, 7, static_var/Acc15, 240, 0, 
3, 7, static_var/Acc15, 290, 0, 
3, 7, static_var/Acc15, 680, 0, 
3, 7, static_var/Acc15, 690, 0, 
3, 7, static_var/BD000, 0, 0, 
3, 7, static_var/BD000, 45, 0, 
3, 7, static_var/BD000, 50, 0, 
3, 7, static_var/BD000, 55, 0, 
3, 7, static_var/BD000, 60, 0, 
3, 7, static_var/BD000, 100, 0, 
3, 7, static_var/BD000, 115, 0, 
3, 7, static_var/BD000, 120, 0, 
3, 7, static_var/BD000, 125, 0, 
3, 7, static_var/BD000, 130, 0, 
3, 7, static_var/Bio01, 0, 0, 
3, 7, static_var/Bio01, 255, 0, 
3, 7, static_var/Bio01, 265, 0, 
3, 7, static_var/Bio01, 270, 0, 
3, 7, static_var/Bio01, 275, 0, 
3, 7, static_var/Bio02, 0, 0, 
3, 7, static_var/Bio02, 20, 0, 
3, 7, static_var/Bio02, 30, 0, 
3, 7, static_var/Bio02, 35, 0, 
3, 7, static_var/Bio02, 40, 0, 
3, 7, static_var/Bio02, 45, 0, 
3, 7, static_var/Bio02, 50, 0, 
3, 7, static_var/Bio02, 55, 0, 
3, 7, static_var/Bio02, 60, 0, 
3, 7, static_var/Bio03, 0, 0, 
3, 7, static_var/Bio03, 430, 0, 
3, 7, static_var/Bio03, 435, 0, 
3, 7, static_var/Bio03, 440, 0, 
3, 7, static_var/Bio03, 460, 0, 
3, 7, static_var/Bio03, 465, 0, 
3, 7, static_var/Bio03, 470, 0, 
3, 7, static_var/Bio03, 475, 0, 
3, 7, static_var/Bio03, 480, 0, 
3, 7, static_var/Bio03, 490, 0, 
3, 7, static_var/Bio03, 495, 0, 
3, 7, static_var/Bio03, 500, 0, 
3, 7, static_var/Bio03, 505, 0, 
3, 7, static_var/Bio03, 510, 0, 
3, 7, static_var/Bio04, 0, 0, 
3, 7, static_var/Bio04, 595, 0, 
3, 7, static_var/Bio04, 600, 0, 
3, 7, static_var/Bio04, 615, 0, 
3, 7, static_var/Bio04, 625, 0, 
3, 7, static_var/Bio04, 630, 0, 
3, 7, static_var/Bio04, 635, 0, 
3, 7, static_var/Bio04, 640, 0, 
3, 7, static_var/Bio04, 645, 0, 
3, 7, static_var/Bio04, 650, 0, 
3, 7, static_var/Bio04, 665, 0, 
3, 7, static_var/Bio04, 675, 0, 
3, 7, static_var/Bio04, 680, 0, 
3, 7, static_var/Bio04, 685, 0, 
3, 7, static_var/Bio04, 690, 0, 
3, 7, static_var/Bio04, 700, 0, 
3, 7, static_var/Bio04, 705, 0, 
3, 7, static_var/Bio04, 815, 0, 
3, 7, static_var/Bio04, 820, 0, 
3, 7, static_var/Bio04, 825, 0, 
3, 7, static_var/Bio04, 830, 0, 
3, 7, static_var/Bio04, 870, 0, 
3, 7, static_var/Bio05, 0, 0, 
3, 7, static_var/Bio05, 300, 0, 
3, 7, static_var/Bio05, 305, 0, 
3, 7, static_var/Bio05, 310, 0, 
3, 7, static_var/Bio05, 315, 0, 
3, 7, static_var/Bio06, 0, 0, 
3, 7, static_var/Bio06, 200, 0, 
3, 7, static_var/Bio06, 210, 0, 
3, 7, static_var/Bio06, 215, 0, 
3, 7, static_var/Bio06, 220, 0, 
3, 7, static_var/Bio06, 225, 0, 
3, 7, static_var/Bio07, 0, 0, 
3, 7, static_var/Bio07, 40, 0, 
3, 7, static_var/Bio07, 45, 0, 
3, 7, static_var/Bio07, 60, 0, 
3, 7, static_var/Bio07, 65, 0, 
3, 7, static_var/Bio07, 75, 0, 
3, 7, static_var/Bio07, 80, 0, 
3, 7, static_var/Bio07, 85, 0, 
3, 7, static_var/Bio07, 90, 0, 
3, 7, static_var/Bio07, 100, 0, 
3, 7, static_var/Bio07, 105, 0, 
3, 7, static_var/Bio07, 110, 0, 
3, 7, static_var/Bio07, 115, 0, 
3, 7, static_var/Bio08, 0, 0, 
3, 7, static_var/Bio08, 255, 0, 
3, 7, static_var/Bio08, 265, 0, 
3, 7, static_var/Bio08, 270, 0, 
3, 7, static_var/Bio08, 275, 0, 
3, 7, static_var/Bio09, 0, 0, 
3, 7, static_var/Bio09, 240, 0, 
3, 7, static_var/Bio09, 255, 0, 
3, 7, static_var/Bio09, 260, 0, 
3, 7, static_var/Bio09, 270, 0, 
3, 7, static_var/Bio09, 275, 0, 
3, 7, static_var/Bio10, 0, 0, 
3, 7, static_var/Bio10, 265, 0, 
3, 7, static_var/Bio10, 280, 0, 
3, 7, static_var/Bio10, 285, 0, 
3, 7, static_var/Bio11, 0, 0, 
3, 7, static_var/Bio11, 240, 0, 
3, 7, static_var/Bio11, 255, 0, 
3, 7, static_var/Bio11, 260, 0, 
3, 7, static_var/Bio11, 265, 0, 
3, 7, static_var/Bio11, 270, 0, 
3, 7, static_var/Bio12, 0, 0, 
3, 7, static_var/Bio12, 1800, 0, 
3, 7, static_var/Bio12, 1900, 0, 
3, 7, static_var/Bio12, 2000, 0, 
3, 7, static_var/Bio12, 3100, 0, 
3, 7, static_var/Bio12, 3300, 0, 
3, 7, static_var/Bio12, 3500, 0, 
3, 7, static_var/Bio12, 4700, 0, 
3, 7, static_var/Bio12, 4800, 0, 
3, 7, static_var/Bio13, 0, 0, 
3, 7, static_var/Bio13, 300, 0, 
3, 7, static_var/Bio13, 350, 0, 
3, 7, static_var/Bio13, 400, 0, 
3, 7, static_var/Bio13, 600, 0, 
3, 7, static_var/Bio13, 1100, 0, 
3, 7, static_var/Bio13, 1200, 0, 
3, 7, static_var/Bio13, 1250, 0, 
3, 7, static_var/Bio13, 1300, 0, 
3, 7, static_var/Bio13, 1500, 0, 
3, 7, static_var/Bio13, 1550, 0, 
3, 7, static_var/Bio13, 1600, 0, 
3, 7, static_var/Bio14, 0, 0, 
3, 7, static_var/Bio14, 5, 0, 
3, 7, static_var/Bio14, 10, 0, 
3, 7, static_var/Bio14, 15, 0, 
3, 7, static_var/Bio14, 35, 0, 
3, 7, static_var/Bio14, 40, 0, 
3, 7, static_var/Bio14, 50, 0, 
3, 7, static_var/Bio14, 55, 0, 
3, 7, static_var/Bio14, 60, 0, 
3, 7, static_var/Bio14, 65, 0, 
3, 7, static_var/Bio15, 0, 0, 
3, 7, static_var/Bio15, 60, 0, 
3, 7, static_var/Bio15, 65, 0, 
3, 7, static_var/Bio15, 70, 0, 
3, 7, static_var/Bio15, 75, 0, 
3, 7, static_var/Bio15, 85, 0, 
3, 7, static_var/Bio15, 90, 0, 
