Transition_From*, Transition_To*, First_Variable*, Second_Variable*, Chi_2, Cramer, Contingency, Joint_Entropy, Joint_Uncertainty, 
3, 6, distance/distance_to_6, static_var/Acc00, 1225373.01740848, 0.22312832881355, 0.6268309312394, 4.71412474099635, 0.136309837770774, 
3, 6, distance/distance_to_6, static_var/BD000, 225985.667098797, 0.0997337288999307, 0.326548308934199, 3.70800833713615, 0.034267070949031, 
3, 6, distance/distance_to_6, static_var/Bio01, 957464.542349968, 0.410575428546723, 0.57953807059168, 3.0929631223415, 0.16139699459745, 
3, 6, distance/distance_to_6, static_var/Bio02, 336669.416286182, 0.17215452410128, 0.388556371638138, 3.92243615482285, 0.0463096796472347, 
3, 6, distance/distance_to_6, static_var/Bio03, 310696.452988379, 0.12810331841696, 0.375460606121039, 4.17405414586798, 0.0403691492659818, 
3, 6, distance/distance_to_6, static_var/Bio04, 882462.584721245, 0.1893514811595, 0.563843166835824, 4.60854587425055, 0.0626250416040695, 
3, 6, distance/distance_to_6, static_var/Bio05, 677264.115314175, 0.244171875890395, 0.513294071705142, 3.5905282188105, 0.0981069646574529, 
3, 6, distance/distance_to_6, static_var/Bio06, 798800.354854015, 0.205405163571349, 0.544721946612679, 3.98926597267247, 0.0874586527274892, 
3, 6, distance/distance_to_6, static_var/Bio07, 527538.897882227, 0.166924266365264, 0.466816098136423, 4.22265682848952, 0.0516630421611059, 
3, 6, distance/distance_to_6, static_var/Bio08, 839703.582923679, 0.332985436694409, 0.554299201966975, 3.36802891495954, 0.138844400220634, 
3, 6, distance/distance_to_6, static_var/Bio09, 811561.702513761, 0.292797930258344, 0.547759104187927, 3.60379099707132, 0.120641131145709, 
3, 6, distance/distance_to_6, static_var/Bio10, 965417.452599337, 0.412277067037515, 0.581129935446341, 3.20441798869009, 0.162385023083956, 
3, 6, distance/distance_to_6, static_var/Bio11, 828896.74903336, 0.330835766528134, 0.551812861582529, 3.50158469465521, 0.12873378549383, 
3, 6, distance/distance_to_6, static_var/Bio12, 348864.052069957, 0.119055281600632, 0.394453727257534, 4.20566994481083, 0.041534969469722, 
3, 6, distance/distance_to_6, static_var/Bio13, 371806.563070963, 0.140136335960396, 0.405149993539192, 4.02903728052655, 0.0451243085175835, 
3, 6, distance/distance_to_6, static_var/Bio14, 210597.685045508, 0.105467591602087, 0.316385260850757, 4.0952507767288, 0.0275878959954137, 
3, 6, distance/distance_to_6, static_var/Bio15, 403222.41923963, 0.153830805132199, 0.419023710426713, 4.3731587014453, 0.0481445091525175, 
3, 6, distance/distance_to_6, static_var/Bio16, 401800.359348967, 0.127769064972205, 0.418413731109089, 4.12839631535435, 0.047165444373635, 
3, 6, distance/distance_to_6, static_var/Bio17, 273551.1861429, 0.105424089114081, 0.355309207294677, 4.95462665675934, 0.0291722219574385, 
3, 6, distance/distance_to_6, static_var/Bio18, 228407.206131252, 0.0963330824430624, 0.328105805574299, 4.93128921576258, 0.0255061275018203, 
3, 6, distance/distance_to_6, static_var/Bio19, 162291.055565296, 0.0845179397230094, 0.280983442296012, 4.23514447304276, 0.0198694559060067, 
3, 6, distance/distance_to_6, static_var/Cy000, 164848.016216857, 0.0933112688318953, 0.2830123280279, 4.47445000167767, 0.017992563812273, 
3, 6, distance/distance_to_6, static_var/D_ComF, 171097.214624176, 0.0833761862422025, 0.287890030500509, 4.85786937605637, 0.0186757295847857, 
3, 6, distance/distance_to_6, static_var/D_DefoI1, 1621325.80671208, 0.462697746554044, 0.679198395455364, 3.28187315937459, 0.237152749802105, 
3, 6, distance/distance_to_6, static_var/D_KBA, 396338.70907972, 0.323526962093316, 0.416055606008026, 2.85582907333331, 0.0768190251403464, 
