Transition_From*, Transition_To*, Variable*, Range_Lower_Limit*, Range_Upper_Limit*, Possible_Transitions, Executed_Transitions, Weight_Coefficient, Contrast, Significant, 
3, 5, distance/distance_to_5, 0, 500, 55828, 12701, 1.94361538247836, 2.15610568195027, 1, 
3, 5, distance/distance_to_5, 500, 1000, 44763, 7009, 1.48218751021557, 1.5819100091283, 1, 
3, 5, distance/distance_to_5, 1000, 4000, 154618, 17771, 1.12478830481307, 1.38209648999497, 1, 
3, 5, distance/distance_to_5, 4000, 4500, 18805, 1451, 0.684513849574673, 0.697005793885591, 1, 
3, 5, distance/distance_to_5, 4500, 6500, 75441, 4864, 0.491240735322935, 0.525728538509843, 1, 
3, 5, distance/distance_to_5, 6500, 7000, 18963, 909, 0.177306451363298, 0.179860306386175, 1, 
3, 5, distance/distance_to_5, 7000, 9000, 73568, 2949, -0.00974919722838924, -0.0102678626048018, 0, 
3, 5, distance/distance_to_5, 9000, 9500, 18109, 555, -0.287985106361708, -0.291177618998192, 1, 
3, 5, distance/distance_to_5, 9500, 24500, 439086, 10130, -0.579769128260884, -0.758858549344212, 1, 
3, 5, distance/distance_to_5, 24500, 25000, 12538, 94, -1.7196151727036, -1.72699643633081, 1, 
3, 5, distance/distance_to_5, 25000, 25500, 12747, 53, -2.31250890327037, -2.32077125042456, 1, 
3, 5, distance/distance_to_5, 25500, 64000, 500068, 180, -4.76309859837845, -5.20524059666943, 1, 
3, 5, distance/distance_to_5, 64000, 77500, 25363, 0, -21.120662320408, 0, 0, 
3, 5, static_var/Acc00, 0, 10, 6232, 852, 1.32322677671741, 1.3339815831549, 1, 
3, 5, static_var/Acc00, 10, 40, 7011, 1888, 2.16786176581016, 2.1968840348041, 1, 
3, 5, static_var/Acc00, 40, 60, 11248, 1874, 1.55621918735964, 1.58192333932532, 1, 
3, 5, static_var/Acc00, 60, 70, 7002, 836, 1.16790690768253, 1.17781768139662, 1, 
3, 5, static_var/Acc00, 70, 480, 503066, 44689, 0.838119299746696, 1.87287097934365, 1, 
3, 5, static_var/Acc00, 480, 490, 12403, 502, 0.000306313553209232, 0.000308956866119131, 0, 
3, 5, static_var/Acc00, 490, 500, 10753, 524, 0.194593484907955, 0.196185889234326, 1, 
3, 5, static_var/Acc00, 500, 510, 12931, 520, -0.00642574051012823, -0.00648339263002193, 0, 
3, 5, static_var/Acc00, 510, 520, 12292, 407, -0.208135291307779, -0.209753028524893, 1, 
3, 5, static_var/Acc00, 520, 650, 138142, 3810, -0.396601255488472, -0.430993873192223, 1, 
3, 5, static_var/Acc00, 650, 660, 10016, 184, -0.812377990592965, -0.816328875468689, 1, 
3, 5, static_var/Acc00, 660, 670, 10184, 97, -1.47820786350753, -1.48382989268044, 1, 
3, 5, static_var/Acc00, 670, 680, 9612, 144, -1.01977576801395, -1.02414692394769, 1, 
3, 5, static_var/Acc00, 680, 690, 8560, 161, -0.788379662097244, -0.791686936580249, 1, 
3, 5, static_var/Acc00, 690, 700, 8433, 81, -1.46972325240606, -1.47436300969458, 1, 
3, 5, static_var/Acc00, 700, 720, 18427, 244, -1.14499024228227, -1.15397831145225, 1, 
3, 5, static_var/Acc00, 720, 770, 41806, 390, -1.49919191641413, -1.52274333924479, 1, 
3, 5, static_var/Acc00, 770, 1250, 303011, 1435, -2.18177330511517, -2.40133650641992, 1, 
3, 5, static_var/Acc00, 1250, 1270, 10424, 3, -4.9868820882804, -4.99434963325977, 1, 
3, 5, static_var/Acc00, 1270, 2770, 308344, 25, -6.25393051234732, -6.50403953810167, 1, 
3, 5, static_var/BD000, 0, 45, 4140, 677, 1.53386463155377, 1.54297937124474, 1, 
3, 5, static_var/BD000, 45, 50, 115, 13, 1.10606044722119, 1.10620874615091, 1, 
3, 5, static_var/BD000, 50, 55, 286, 57, 1.77541316732423, 1.77622062560928, 1, 
3, 5, static_var/BD000, 55, 105, 126174, 16081, 1.24239689077332, 1.48031493356804, 1, 
3, 5, static_var/BD000, 105, 110, 162902, 11985, 0.633009754112832, 0.746708473778577, 1, 
3, 5, static_var/BD000, 110, 115, 327034, 15468, 0.163246082994807, 0.215774068884531, 1, 
3, 5, static_var/BD000, 115, 120, 361348, 9469, -0.44918015845724, -0.564743986511331, 1, 
3, 5, static_var/BD000, 120, 125, 246882, 3301, -1.13514018016294, -1.26970005601096, 1, 
3, 5, static_var/BD000, 125, 130, 134263, 1078, -1.65054776362167, -1.73263087676009, 1, 
3, 5, static_var/BD000, 130, 175, 86753, 537, -1.91252905672388, -1.96730782456822, 1, 
3, 5, static_var/Bio05, 0, 300, 621767, 1765, -2.69548811041121, -3.25489958280165, 1, 
3, 5, static_var/Bio05, 300, 305, 251917, 6579, -0.452670190471205, -0.52772996630731, 1, 
3, 5, static_var/Bio05, 305, 310, 276260, 13084, 0.164651002836872, 0.20730438777839, 1, 
3, 5, static_var/Bio05, 310, 315, 218977, 28008, 1.24646297548724, 1.74778057797758, 1, 
3, 5, static_var/Bio05, 315, 330, 80976, 9230, 1.11541084760191, 1.23364482876686, 1, 
3, 5, static_var/Bio06, 0, 200, 535938, 151, -5.00812823315483, -5.49187463543178, 1, 
3, 5, static_var/Bio06, 200, 220, 468592, 6061, -1.16875487572023, -1.46386419224244, 1, 
3, 5, static_var/Bio06, 220, 225, 137062, 14752, 1.05090376435889, 1.24850889750126, 1, 
3, 5, static_var/Bio06, 225, 230, 110171, 16561, 1.43399722126762, 1.69603468669574, 1, 
3, 5, static_var/Bio06, 230, 235, 72029, 7594, 1.02778540111318, 1.11898738853788, 1, 
3, 5, static_var/Bio06, 235, 265, 126105, 13547, 1.04878037929559, 1.22697113282712, 1, 
3, 5, static_var/Bio12, 0, 1700, 67302, 902, -1.13275391235798, -1.16616337655054, 1, 
3, 5, static_var/Bio12, 1700, 1800, 33586, 1483, 0.0912014824867412, 0.0934595246457456, 1, 
3, 5, static_var/Bio12, 1800, 2000, 94299, 5749, 0.431542465456231, 0.468913641619516, 1, 
3, 5, static_var/Bio12, 2000, 2200, 96930, 4588, 0.164029026380769, 0.176782237207612, 1, 
3, 5, static_var/Bio12, 2200, 2300, 51565, 1335, -0.461597262865821, -0.475351026558937, 1, 
3, 5, static_var/Bio12, 2300, 2400, 52368, 850, -0.938366287620666, -0.961505053744406, 1, 
3, 5, static_var/Bio12, 2400, 2500, 53525, 1084, -0.712946922064968, -0.732719344038718, 1, 
3, 5, static_var/Bio12, 2500, 2900, 201002, 4950, -0.512908450541002, -0.576652018360781, 1, 
3, 5, static_var/Bio12, 2900, 3000, 49434, 1833, -0.0908158975185744, -0.0938867579354155, 1, 
3, 5, static_var/Bio12, 3000, 4200, 422653, 18986, 0.109195487855054, 0.157505607196235, 1, 
3, 5, static_var/Bio12, 4200, 4300, 30110, 1934, 0.487203748321172, 0.50026520289164, 1, 
3, 5, static_var/Bio12, 4300, 4400, 27259, 1387, 0.240065741541863, 0.24522045080117, 1, 
3, 5, static_var/Bio12, 4400, 4600, 54577, 3325, 0.430798935504408, 0.4516102093333, 1, 
3, 5, static_var/Bio12, 4600, 4700, 23922, 1807, 0.661495803333721, 0.676757936358338, 1, 
3, 5, static_var/Bio12, 4700, 5300, 95337, 5889, 0.445512656161287, 0.484843405581054, 1, 
3, 5, static_var/Bio12, 5300, 5500, 22728, 1041, 0.129552689990482, 0.131745402330829, 1, 
3, 5, static_var/Bio12, 5500, 5700, 18689, 672, -0.122728792048631, -0.12424299531582, 1, 
3, 5, static_var/Bio12, 5700, 5800, 8001, 189, -0.555585373893007, -0.557989541122942, 1, 
3, 5, static_var/Bio12, 5800, 5900, 8692, 149, -0.88283730416224, -0.886453807834314, 1, 
3, 5, static_var/Bio12, 5900, 6000, 7608, 175, -0.58281494775786, -0.585184575282107, 1, 
3, 5, static_var/Bio12, 6000, 6100, 6106, 103, -0.899201731978287, -0.901768706859747, 1, 
3, 5, static_var/Bio12, 6100, 6200, 6022, 60, -1.432732808972, -1.43600416884683, 1, 
3, 5, static_var/Bio12, 6200, 7300, 18182, 175, -1.46764597320207, -1.47768623363862, 1, 
3, 5, static_var/Bio15, 0, 65, 225625, 4407, -0.74987055175558, -0.844953193236742, 1, 
3, 5, static_var/Bio15, 65, 70, 119420, 5810, 0.192892943325927, 0.211992839389643, 1, 
3, 5, static_var/Bio15, 70, 75, 95069, 5759, 0.42473428787266, 0.461710874621311, 1, 
3, 5, static_var/Bio15, 75, 80, 98968, 7493, 0.663987443520823, 0.732623324801589, 1, 
3, 5, static_var/Bio15, 80, 85, 134922, 4741, -0.146593802822368, -0.160571911892092, 1, 
3, 5, static_var/Bio15, 85, 90, 197956, 3871, -0.748699432796595, -0.830686615040172, 1, 
3, 5, static_var/Bio15, 90, 95, 104846, 2708, -0.46403058196654, -0.493021745065652, 1, 
3, 5, static_var/Bio15, 95, 105, 280588, 9476, -0.187685830293719, -0.228269875499878, 1, 
3, 5, static_var/Bio15, 105, 110, 144484, 10328, 0.601939254663882, 0.694180223485609, 1, 
3, 5, static_var/Bio15, 110, 115, 48019, 4073, 0.78750212423512, 0.827359287109485, 1, 
3, 5, static_var/Bio17, 0, 15, 154799, 6624, 0.0583893124529767, 0.0655824673165651, 1, 
3, 5, static_var/Bio17, 15, 20, 222998, 7517, -0.189621713364243, -0.2207870374474, 1, 
3, 5, static_var/Bio17, 20, 40, 354050, 9658, -0.407910052984796, -0.512447079756689, 1, 
3, 5, static_var/Bio17, 40, 55, 118087, 4379, -0.0907294680161834, -0.0984198328255959, 1, 
3, 5, static_var/Bio17, 55, 60, 34375, 1913, 0.334686419019157, 0.344228419353138, 1, 
3, 5, static_var/Bio17, 60, 90, 174152, 12058, 0.567635829243318, 0.673847302077796, 1, 
3, 5, static_var/Bio17, 90, 95, 27186, 2882, 1.03392745476783, 1.06667689549387, 1, 
3, 5, static_var/Bio17, 95, 100, 27675, 1767, 0.480815295060809, 0.492599935394702, 1, 
3, 5, static_var/Bio17, 100, 145, 222672, 11462, 0.252268219977415, 0.304993196081515, 1, 
3, 5, static_var/Bio17, 145, 150, 16142, 239, -1.03171559468049, -1.03913008237692, 1, 
3, 5, static_var/Bio17, 150, 155, 14756, 59, -2.35177732335704, -2.36139134517026, 1, 
3, 5, static_var/Bio17, 155, 255, 83005, 108, -3.47713902212191, -3.53673079012779, 1, 
3, 5, static_var/Bio18, 0, 115, 1572, 199, 1.23463532200044, 1.23704578908137, 1, 
3, 5, static_var/Bio18, 115, 120, 646, 31, 0.178448839722548, 0.17853524218915, 0, 
3, 5, static_var/Bio18, 120, 125, 917, 105, 1.12054391303977, 1.12175148353596, 1, 
3, 5, static_var/Bio18, 125, 130, 1210, 315, 2.1218328235947, 2.12657314753675, 1, 
3, 5, static_var/Bio18, 130, 140, 4204, 333, 0.712958242446716, 0.715864308078282, 1, 
3, 5, static_var/Bio18, 140, 145, 2845, 45, -0.964628303349056, -0.965875588956668, 1, 
