From*, To*, Variable*, Range_Lower_Limit*, Weight, 
3, 5, distance/distance_to_5, 0, 0, 
3, 5, distance/distance_to_5, 500, 0, 
3, 5, distance/distance_to_5, 1000, 0, 
3, 5, distance/distance_to_5, 1500, 0, 
3, 5, distance/distance_to_5, 2000, 0, 
3, 5, distance/distance_to_5, 3000, 0, 
3, 5, distance/distance_to_5, 16500, 0, 
3, 5, static_var/Acc15, 0, 0, 
3, 5, static_var/Acc15, 10, 0, 
3, 5, static_var/Acc15, 100, 0, 
3, 5, static_var/Acc15, 110, 0, 
3, 5, static_var/Acc15, 150, 0, 
3, 5, static_var/Acc15, 160, 0, 
3, 5, static_var/Acc15, 240, 0, 
3, 5, static_var/Acc15, 250, 0, 
3, 5, static_var/Acc15, 390, 0, 
3, 5, static_var/Acc15, 410, 0, 
3, 5, static_var/Acc15, 450, 0, 
3, 5, static_var/Acc15, 520, 0, 
3, 5, static_var/Acc15, 530, 0, 
3, 5, static_var/Acc15, 540, 0, 
3, 5, static_var/Acc15, 560, 0, 
3, 5, static_var/Acc15, 570, 0, 
3, 5, static_var/BD000, 0, 0, 
3, 5, static_var/BD000, 40, 0, 
3, 5, static_var/BD000, 100, 0, 
3, 5, static_var/BD000, 105, 0, 
3, 5, static_var/BD000, 115, 0, 
3, 5, static_var/BD000, 120, 0, 
3, 5, static_var/BD000, 125, 0, 
3, 5, static_var/BD000, 130, 0, 
3, 5, static_var/Bio05, 0, 0, 
3, 5, static_var/Bio05, 295, 0, 
3, 5, static_var/Bio05, 300, 0, 
3, 5, static_var/Bio05, 305, 0, 
3, 5, static_var/Bio05, 310, 0, 
3, 5, static_var/Bio05, 315, 0, 
3, 5, static_var/Bio05, 320, 0, 
3, 5, static_var/Bio05, 325, 0, 
3, 5, static_var/Bio06, 0, 0, 
3, 5, static_var/Bio06, 200, 0, 
3, 5, static_var/Bio06, 215, 0, 
3, 5, static_var/Bio06, 220, 0, 
3, 5, static_var/Bio06, 225, 0, 
3, 5, static_var/Bio06, 245, 0, 
3, 5, static_var/Bio06, 255, 0, 
3, 5, static_var/Bio06, 260, 0, 
3, 5, static_var/Bio12, 0, 0, 
3, 5, static_var/Bio12, 1600, 0, 
3, 5, static_var/Bio12, 1700, 0, 
3, 5, static_var/Bio12, 1800, 0, 
3, 5, static_var/Bio12, 1900, 0, 
3, 5, static_var/Bio12, 2000, 0, 
3, 5, static_var/Bio12, 2100, 0, 
3, 5, static_var/Bio12, 2200, 0, 
3, 5, static_var/Bio12, 2400, 0, 
3, 5, static_var/Bio12, 2600, 0, 
3, 5, static_var/Bio12, 3000, 0, 
3, 5, static_var/Bio12, 3100, 0, 
3, 5, static_var/Bio12, 3300, 0, 
3, 5, static_var/Bio12, 3400, 0, 
3, 5, static_var/Bio12, 4500, 0, 
3, 5, static_var/Bio12, 4600, 0, 
3, 5, static_var/Bio15, 0, 0, 
3, 5, static_var/Bio15, 65, 0, 
3, 5, static_var/Bio15, 75, 0, 
3, 5, static_var/Bio15, 80, 0, 
3, 5, static_var/Bio15, 85, 0, 
3, 5, static_var/Bio15, 90, 0, 
3, 5, static_var/Bio15, 95, 0, 
3, 5, static_var/Bio15, 100, 0, 
3, 5, static_var/Bio15, 105, 0, 
3, 5, static_var/Bio15, 110, 0, 
3, 5, static_var/Bio17, 0, 0, 
3, 5, static_var/Bio17, 15, 0, 
3, 5, static_var/Bio17, 20, 0, 
3, 5, static_var/Bio17, 25, 0, 
3, 5, static_var/Bio17, 35, 0, 
3, 5, static_var/Bio17, 40, 0, 
3, 5, static_var/Bio17, 60, 0, 
3, 5, static_var/Bio17, 80, 0, 
3, 5, static_var/Bio17, 90, 0, 
3, 5, static_var/Bio17, 95, 0, 
3, 5, static_var/Bio17, 105, 0, 
3, 5, static_var/Bio17, 125, 0, 
3, 5, static_var/Bio17, 130, 0, 
3, 5, static_var/Bio17, 135, 0, 
3, 5, static_var/Bio17, 140, 0, 
3, 5, static_var/Bio17, 155, 0, 
3, 5, static_var/Bio17, 160, 0, 
3, 5, static_var/Bio17, 170, 0, 
3, 5, static_var/Bio17, 180, 0, 
3, 5, static_var/Bio18, 0, 0, 
3, 5, static_var/Bio18, 115, 0, 
3, 5, static_var/Bio18, 125, 0, 
3, 5, static_var/Bio18, 130, 0, 
3, 5, static_var/Bio18, 135, 0, 
3, 5, static_var/Bio18, 145, 0, 
3, 5, static_var/Bio18, 150, 0, 
3, 5, static_var/Bio18, 155, 0, 
3, 5, static_var/Bio18, 160, 0, 
3, 5, static_var/Bio18, 175, 0, 
3, 5, static_var/Bio18, 180, 0, 
3, 5, static_var/Bio18, 195, 0, 
3, 5, static_var/Bio18, 200, 0, 
3, 5, static_var/Bio18, 260, 0, 
3, 5, static_var/Bio18, 265, 0, 
3, 5, static_var/Bio18, 270, 0, 
3, 5, static_var/Bio18, 275, 0, 
3, 5, static_var/Bio18, 280, 0, 
3, 5, static_var/Bio18, 300, 0, 
3, 5, static_var/Bio18, 305, 0, 
3, 5, static_var/Bio18, 310, 0, 
3, 5, static_var/Bio18, 1415, 0, 
