Transition_From*, Transition_To*, Variable*, Range_Lower_Limit*, Range_Upper_Limit*, Possible_Transitions, Executed_Transitions, Weight_Coefficient, Contrast, Significant, 
3, 7, distance/distance_to_7, 0, 500, 105054, 18150, 2.1845885842792, 2.93006168555325, 1, 
3, 7, distance/distance_to_7, 500, 1000, 91020, 5783, 1.06020905200906, 1.19163439916385, 1, 
3, 7, distance/distance_to_7, 1000, 1500, 80953, 3097, 0.526295019089746, 0.568221581919237, 1, 
3, 7, distance/distance_to_7, 1500, 2000, 63671, 1841, 0.236642303380256, 0.24913756091696, 1, 
3, 7, distance/distance_to_7, 2000, 2500, 58684, 1355, 0.00571693513787971, 0.00596337401885763, 0, 
3, 7, distance/distance_to_7, 2500, 3000, 49648, 773, -0.396020164000452, -0.407856117900465, 1, 
3, 7, distance/distance_to_7, 3000, 4000, 86923, 915, -0.79254944418975, -0.827979503613799, 1, 
3, 7, distance/distance_to_7, 4000, 4500, 39931, 238, -1.36593737033925, -1.38757710918422, 1, 
3, 7, distance/distance_to_7, 4500, 5500, 69062, 228, -1.959385374244, -2.00313036991022, 1, 
3, 7, distance/distance_to_7, 5500, 19500, 500005, 309, -3.63769183089984, -4.07319545004365, 1, 
3, 7, distance/distance_to_7, 19500, 97500, 278975, 6, -6.99637438959125, -7.21998404559536, 1, 
3, 7, static_var/Acc00, 0, 10, 5625, 245, 0.661536642088689, 0.665183784602216, 1, 
3, 7, static_var/Acc00, 10, 40, 6340, 1217, 2.31337069374812, 2.34761481871092, 1, 
3, 7, static_var/Acc00, 40, 60, 10484, 1110, 1.61714220052352, 1.64492131721975, 1, 
3, 7, static_var/Acc00, 60, 260, 186848, 13485, 1.19691237918312, 1.59561638571554, 1, 
3, 7, static_var/Acc00, 260, 270, 14947, 592, 0.562375127028634, 0.570276002454554, 1, 
3, 7, static_var/Acc00, 270, 330, 81699, 2581, 0.327958596499953, 0.351640425743317, 1, 
3, 7, static_var/Acc00, 330, 340, 14602, 298, -0.120478926208098, -0.121657353301361, 1, 
3, 7, static_var/Acc00, 340, 350, 13758, 361, 0.136813962755688, 0.138240549752442, 1, 
3, 7, static_var/Acc00, 350, 360, 14137, 515, 0.475447573562265, 0.481485014051406, 1, 
3, 7, static_var/Acc00, 360, 380, 26444, 1261, 0.756457977986909, 0.777522962238591, 1, 
3, 7, static_var/Acc00, 380, 390, 13945, 539, 0.536980008690887, 0.54392031338849, 1, 
3, 7, static_var/Acc00, 390, 520, 169611, 5390, 0.334054387966317, 0.388598062299359, 1, 
3, 7, static_var/Acc00, 520, 530, 11362, 273, 0.0464849749315363, 0.0468673569206446, 0, 
3, 7, static_var/Acc00, 530, 550, 22568, 412, -0.234118185103676, -0.237490437387757, 1, 
3, 7, static_var/Acc00, 550, 560, 11539, 289, 0.0890253651796585, 0.0897846995815838, 0, 
3, 7, static_var/Acc00, 560, 570, 9826, 191, -0.170162068102044, -0.171252679852963, 1, 
3, 7, static_var/Acc00, 570, 580, 9767, 311, 0.336110257233147, 0.33884788241606, 1, 
