Transition_From*, Transition_To*, First_Variable*, Second_Variable*, Chi_2, Cramer, Contingency, Joint_Entropy, Joint_Uncertainty, 
3, 7, distance/distance_to_7, static_var/Acc00, 1046356.72976483, 0.235088896961154, 0.596613164183541, 4.38297531952251, 0.132181260335157, 
3, 7, distance/distance_to_7, static_var/BD000, 187218.318543569, 0.099441210545299, 0.299978529946807, 3.97792141550341, 0.0266985021025521, 
3, 7, distance/distance_to_7, static_var/Bio05, 478857.910595106, 0.251458065292361, 0.449296557804541, 3.52337590894129, 0.0769787058845644, 
3, 7, distance/distance_to_7, static_var/Bio06, 948458.806425461, 0.353892593331899, 0.577719369251701, 3.3664915478521, 0.154754454587746, 
3, 7, distance/distance_to_7, static_var/Bio12, 173150.94519012, 0.0956323142590761, 0.289468739264257, 3.93658810196137, 0.0240865327496869, 
3, 7, distance/distance_to_7, static_var/Bio14, 171401.470653945, 0.113723569927451, 0.288124657394888, 3.88817863125124, 0.024359234212943, 
3, 7, distance/distance_to_7, static_var/Bio15, 328365.980763597, 0.138819365870094, 0.384451321183908, 4.30370806764641, 0.0437365381773655, 
3, 7, distance/distance_to_7, static_var/Bio18, 142092.435082869, 0.0866318743509261, 0.264218494786693, 3.78042109114801, 0.021223117439609, 
3, 7, distance/distance_to_7, static_var/Cy000, 106027.864246603, 0.0748345650841927, 0.230287223522462, 4.41394059274803, 0.0128220224705983, 
3, 7, distance/distance_to_7, static_var/D_ComF, 333856.854414884, 0.132792143400152, 0.387174194738873, 4.00481671413528, 0.0442799777579238, 
3, 7, distance/distance_to_7, static_var/D_DefoI1, 1332254.34037021, 0.375146416294764, 0.642676670344754, 3.39563094817561, 0.207998970862083, 
3, 7, distance/distance_to_7, static_var/D_OPC, 673547.018157596, 0.188614984060385, 0.512254054018949, 4.48615789798134, 0.0755576384230207, 
3, 7, distance/distance_to_7, static_var/D_PA, 336172.047467696, 0.133251783938878, 0.388312561354615, 3.9785950551655, 0.0446436881880223, 
3, 7, distance/distance_to_7, static_var/D_Rbr1996, 15437103.20091, 0.902973772477161, 0.943797414589081, 2.43932111346436, 0.880395216188947, 
3, 7, distance/distance_to_7, static_var/D_ResF, 315208.105093005, 0.129030066298, 0.377790350385879, 4.02226995456514, 0.0386292176812228, 
3, 7, distance/distance_to_7, static_var/D_River, 72039.7186509629, 0.0616848107069454, 0.191456037732598, 4.05177758001127, 0.0092090034221201, 
3, 7, distance/distance_to_7, static_var/D_Road, 375427.437769391, 0.140817048408956, 0.40679299914546, 4.18016524541183, 0.0453716800530069, 
3, 7, distance/distance_to_7, static_var/D_Town, 523480.449621656, 0.166280937997316, 0.465407268168002, 3.80977247215926, 0.069587970713408, 
3, 7, distance/distance_to_7, static_var/D_Vill, 690422.698207338, 0.190963234779498, 0.516935084524432, 4.29442643448773, 0.0896132160462002, 
3, 7, distance/distance_to_7, static_var/Elev, 1089468.44656204, 0.239883049224609, 0.604364290687563, 3.74894751814754, 0.161019380622899, 
3, 7, distance/distance_to_7, static_var/OC000, 107601.484905069, 0.0753878511970597, 0.231898598524991, 3.92682936726203, 0.0153997919979138, 
3, 7, distance/distance_to_7, static_var/PDn05, 610839.763248442, 0.179620492321067, 0.49389637886141, 3.83170619477061, 0.0793411614813068, 
3, 7, distance/distance_to_7, static_var/PH000, 82917.5803979763, 0.0661782902280873, 0.204836713420368, 3.73702441263652, 0.0118085173131967, 
3, 7, distance/distance_to_7, static_var/Sd000, 110269.949472565, 0.0804450943536043, 0.234600090657316, 3.86939931719688, 0.0150230486126365, 
3, 7, distance/distance_to_7, static_var/Slope, 294231.511014457, 0.197109169328059, 0.366749153173856, 3.6482321305344, 0.0448975321525101, 
3, 7, distance/distance_to_7, static_var/WC000, 272781.849891027, 0.120032808423223, 0.354872223545589, 4.52239996662949, 0.0332609611604576, 
3, 7, static_var/Acc00, static_var/BD000, 8369627.54272189, 0.288337760976696, 0.720705361771855, 1.59587433867843, 0.503071183074595, 
3, 7, static_var/Acc00, static_var/Bio05, 5849148.08824582, 0.434546688547825, 0.655975896610499, 1.50291359899168, 0.330674881109978, 
3, 7, static_var/Acc00, static_var/Bio06, 6483753.00241582, 0.457512924671167, 0.675066565214687, 1.47842514355351, 0.382512905614726, 
3, 7, static_var/Acc00, static_var/Bio12, 8912046.94975247, 0.286711324475655, 0.731482715426371, 1.58615878202988, 0.489889870436855, 
