From*, To*, Variable*, Range_Lower_Limit*, Weight, 
3, 6, distance/distance_to_6, 0, 0, 
3, 6, distance/distance_to_6, 500, 0, 
3, 6, distance/distance_to_6, 1000, 0, 
3, 6, distance/distance_to_6, 1500, 0, 
3, 6, distance/distance_to_6, 2000, 0, 
3, 6, distance/distance_to_6, 2500, 0, 
3, 6, distance/distance_to_6, 3000, 0, 
3, 6, distance/distance_to_6, 3500, 0, 
3, 6, distance/distance_to_6, 4500, 0, 
3, 6, distance/distance_to_6, 6500, 0, 
3, 6, distance/distance_to_6, 7000, 0, 
3, 6, distance/distance_to_6, 17000, 0, 
3, 6, static_var/Acc15, 0, 0, 
3, 6, static_var/Acc15, 10, 0, 
3, 6, static_var/Acc15, 20, 0, 
3, 6, static_var/Acc15, 30, 0, 
3, 6, static_var/Acc15, 40, 0, 
3, 6, static_var/Acc15, 80, 0, 
3, 6, static_var/Acc15, 90, 0, 
3, 6, static_var/Acc15, 230, 0, 
3, 6, static_var/Acc15, 240, 0, 
3, 6, static_var/Acc15, 250, 0, 
3, 6, static_var/Acc15, 260, 0, 
3, 6, static_var/Acc15, 280, 0, 
3, 6, static_var/Acc15, 370, 0, 
3, 6, static_var/Acc15, 380, 0, 
3, 6, static_var/Acc15, 400, 0, 
3, 6, static_var/Acc15, 410, 0, 
3, 6, static_var/Acc15, 420, 0, 
3, 6, static_var/Acc15, 430, 0, 
3, 6, static_var/Acc15, 440, 0, 
3, 6, static_var/Acc15, 450, 0, 
3, 6, static_var/Acc15, 460, 0, 
3, 6, static_var/Acc15, 1170, 0, 
3, 6, static_var/BD000, 0, 0, 
3, 6, static_var/BD000, 40, 0, 
3, 6, static_var/BD000, 45, 0, 
3, 6, static_var/BD000, 50, 0, 
3, 6, static_var/BD000, 55, 0, 
3, 6, static_var/BD000, 65, 0, 
3, 6, static_var/BD000, 70, 0, 
3, 6, static_var/BD000, 80, 0, 
3, 6, static_var/BD000, 85, 0, 
3, 6, static_var/BD000, 90, 0, 
3, 6, static_var/BD000, 100, 0, 
3, 6, static_var/BD000, 120, 0, 
3, 6, static_var/BD000, 130, 0, 
3, 6, static_var/BD000, 135, 0, 
3, 6, static_var/Bio05, 0, 0, 
3, 6, static_var/Bio05, 300, 0, 
3, 6, static_var/Bio05, 305, 0, 
3, 6, static_var/Bio05, 315, 0, 
3, 6, static_var/Bio05, 320, 0, 
3, 6, static_var/Bio05, 325, 0, 
3, 6, static_var/Bio07, 0, 0, 
3, 6, static_var/Bio07, 35, 0, 
3, 6, static_var/Bio07, 40, 0, 
3, 6, static_var/Bio07, 45, 0, 
3, 6, static_var/Bio07, 50, 0, 
3, 6, static_var/Bio07, 55, 0, 
3, 6, static_var/Bio07, 60, 0, 
3, 6, static_var/Bio07, 65, 0, 
3, 6, static_var/Bio07, 70, 0, 
3, 6, static_var/Bio07, 75, 0, 
3, 6, static_var/Bio07, 80, 0, 
3, 6, static_var/Bio07, 85, 0, 
3, 6, static_var/Bio07, 90, 0, 
3, 6, static_var/Bio07, 100, 0, 
3, 6, static_var/Bio07, 105, 0, 
3, 6, static_var/Bio07, 110, 0, 
3, 6, static_var/Bio12, 0, 0, 
3, 6, static_var/Bio12, 1200, 0, 
3, 6, static_var/Bio12, 1500, 0, 
3, 6, static_var/Bio12, 1600, 0, 
