Transition_From*, Transition_To*, Variable*, Range_Lower_Limit*, Range_Upper_Limit*, Possible_Transitions, Executed_Transitions, Weight_Coefficient, Contrast, Significant, 
3, 6, distance/distance_to_6, 0, 500, 74035, 3305, 2.1109379169083, 2.62611842860143, 1, 
3, 6, distance/distance_to_6, 500, 1000, 109218, 1547, 0.931608544820827, 1.07529023121324, 1, 
3, 6, distance/distance_to_6, 1000, 1500, 112234, 1005, 0.467767656980355, 0.523016131520751, 1, 
3, 6, distance/distance_to_6, 1500, 2000, 89596, 616, 0.201451313826034, 0.217382217092649, 1, 
3, 6, distance/distance_to_6, 2000, 2500, 80862, 405, -0.117219837441812, -0.124230270690906, 1, 
3, 6, distance/distance_to_6, 2500, 3000, 66834, 180, -0.73994223326702, -0.766829958758351, 1, 
3, 6, distance/distance_to_6, 3000, 3500, 62158, 103, -1.22667612468144, -1.26027714002961, 1, 
3, 6, distance/distance_to_6, 3500, 4500, 104048, 103, -1.74251694919903, -1.80930225872363, 1, 
3, 6, distance/distance_to_6, 4500, 6500, 169811, 266, -1.2830060938587, -1.38213975112322, 1, 
3, 6, distance/distance_to_6, 6500, 7000, 37059, 25, -2.12634460907701, -2.15096728807141, 1, 
3, 6, distance/distance_to_6, 7000, 17000, 365659, 60, -3.54057656645398, -3.84974669196109, 1, 
3, 6, distance/distance_to_6, 17000, 65000, 81561, 0, -20.2469817524648, 0, 0, 
3, 6, static_var/Acc15, 0, 10, 19484, 170, 0.441584191175946, 0.449702540652753, 1, 
3, 6, static_var/Acc15, 10, 20, 2358, 42, 1.16444403424303, 1.16825190286999, 1, 
3, 6, static_var/Acc15, 20, 30, 5096, 131, 1.53940000137443, 1.55305556602758, 1, 
3, 6, static_var/Acc15, 30, 40, 8411, 103, 0.78412605788618, 0.791550319327457, 1, 
3, 6, static_var/Acc15, 40, 80, 60590, 952, 1.03688805566811, 1.12510044896682, 1, 
3, 6, static_var/Acc15, 80, 90, 19303, 419, 1.36617189290851, 1.4086317877341, 1, 
3, 6, static_var/Acc15, 90, 230, 313819, 4808, 1.01127557691583, 1.74834375149671, 1, 
3, 6, static_var/Acc15, 230, 240, 19804, 121, 0.0826512022363011, 0.0839312288527788, 0, 
3, 6, static_var/Acc15, 240, 250, 20369, 59, -0.666959956016164, -0.674392220747972, 1, 
3, 6, static_var/Acc15, 250, 260, 20870, 79, -0.39845637262382, -0.403601268658907, 1, 
3, 6, static_var/Acc15, 260, 280, 38374, 105, -0.724063843140242, -0.739034724431716, 1, 
3, 6, static_var/Acc15, 280, 370, 156394, 325, -0.999857059152484, -1.07953516942216, 1, 
3, 6, static_var/Acc15, 370, 380, 14826, 50, -0.514365261798383, -0.518820488960738, 1, 
3, 6, static_var/Acc15, 380, 400, 29237, 67, -0.901832188818254, -0.914913618626944, 1, 
3, 6, static_var/Acc15, 400, 410, 14458, 24, -1.22491672863173, -1.23254596592976, 1, 
3, 6, static_var/Acc15, 410, 420, 13689, 6, -2.55777874149921, -2.56721233367908, 1, 
3, 6, static_var/Acc15, 420, 430, 13608, 43, -0.579676854746923, -0.584147323582196, 1, 
3, 6, static_var/Acc15, 430, 440, 13304, 5, -2.71163495632652, -2.72091166818575, 1, 
3, 6, static_var/Acc15, 440, 450, 13119, 22, -1.21472476731854, -1.22161345570684, 1, 
3, 6, static_var/Acc15, 450, 460, 12010, 1, -4.21904039300814, -4.22787470808087, 1, 
3, 6, static_var/Acc15, 460, 1170, 500718, 83, -3.53042070918733, -3.98482306931761, 1, 
3, 6, static_var/Acc15, 1170, 1790, 43234, 0, -19.6122577700847, 0, 0, 
3, 6, static_var/BD000, 0, 40, 4413, 75, 1.11669067680204, 1.12335909615608, 1, 
3, 6, static_var/BD000, 40, 45, 41, 0, -12.6514505349495, 0, 0, 
3, 6, static_var/BD000, 45, 50, 106, 1, 0.520410904495024, 0.520464189612385, 0, 
3, 6, static_var/BD000, 50, 55, 257, 0, -14.4869518611962, 0, 0, 
