From*, To*, Variable*, Range_Lower_Limit*, Weight, 
3, 7, distance/distance_to_7, 0, 0, 
3, 7, distance/distance_to_7, 200, 0, 
3, 7, distance/distance_to_7, 600, 0, 
3, 7, distance/distance_to_7, 700, 0, 
3, 7, distance/distance_to_7, 900, 0, 
3, 7, distance/distance_to_7, 1000, 0, 
3, 7, distance/distance_to_7, 1700, 0, 
3, 7, distance/distance_to_7, 1800, 0, 
3, 7, distance/distance_to_7, 3100, 0, 
3, 7, distance/distance_to_7, 3200, 0, 
3, 7, distance/distance_to_7, 3500, 0, 
3, 7, distance/distance_to_7, 3600, 0, 
3, 7, distance/distance_to_7, 4800, 0, 
3, 7, distance/distance_to_7, 5000, 0, 
3, 7, distance/distance_to_7, 18100, 0, 
3, 7, static_var/Acc00, 0, 0, 
3, 7, static_var/Acc00, 10, 0, 
3, 7, static_var/Acc00, 40, 0, 
3, 7, static_var/Acc00, 60, 0, 
3, 7, static_var/Acc00, 260, 0, 
3, 7, static_var/Acc00, 270, 0, 
3, 7, static_var/Acc00, 330, 0, 
3, 7, static_var/Acc00, 340, 0, 
3, 7, static_var/Acc00, 350, 0, 
3, 7, static_var/Acc00, 360, 0, 
3, 7, static_var/Acc00, 380, 0, 
3, 7, static_var/Acc00, 390, 0, 
3, 7, static_var/Acc00, 520, 0, 
3, 7, static_var/Acc00, 530, 0, 
3, 7, static_var/Acc00, 550, 0, 
3, 7, static_var/Acc00, 560, 0, 
3, 7, static_var/Acc00, 570, 0, 
3, 7, static_var/Acc00, 580, 0, 
3, 7, static_var/Acc00, 610, 0, 
3, 7, static_var/Acc00, 630, 0, 
3, 7, static_var/Acc00, 680, 0, 
3, 7, static_var/Acc00, 690, 0, 
3, 7, static_var/Acc00, 700, 0, 
3, 7, static_var/Acc00, 800, 0, 
3, 7, static_var/Acc00, 810, 0, 
3, 7, static_var/Acc00, 850, 0, 
3, 7, static_var/Acc00, 1000, 0, 
3, 7, static_var/Acc00, 1010, 0, 
3, 7, static_var/Acc15, 0, 0, 
3, 7, static_var/Acc15, 10, 0, 
3, 7, static_var/Acc15, 80, 0, 
3, 7, static_var/Acc15, 90, 0, 
3, 7, static_var/Acc15, 120, 0, 
3, 7, static_var/Acc15, 130, 0, 
3, 7, static_var/Acc15, 160, 0, 
3, 7, static_var/Acc15, 170, 0, 
3, 7, static_var/Acc15, 200, 0, 
3, 7, static_var/Acc15, 210, 0, 
3, 7, static_var/Acc15, 220, 0, 
3, 7, static_var/Acc15, 290, 0, 
3, 7, static_var/Acc15, 610, 0, 
3, 7, static_var/Acc15, 620, 0, 
3, 7, static_var/BD000, 0, 0, 
3, 7, static_var/BD000, 45, 0, 
