N1,N2,Value
FOR,FOR,41.7707838
FOR,MNG,0.6276268
FOR,OPM,1.8365455
FOR,RBM,2.3057344
FOR,SHB,6.1749973
FOR,RPD,0.0198304
FOR,BUA,0.0014367
FOR,BSG,0.0080221
FOR,WTR,0.0015423
MNG,FOR,0.9209581
MNG,MNG,5.9346984
MNG,OPM,0.3311349
MNG,RBM,0.0171556
MNG,SHB,0.3683237
MNG,RPD,0.0832681
MNG,BUA,0.0024994
MNG,BSG,0.0706802
MNG,WTR,0.0308273
OPM,FOR,0.9464485
OPM,MNG,0.0062031
OPM,OPM,0.7700268
OPM,RBM,0.3691181
OPM,SHB,0.5684315
OPM,RPD,0.0016860
OPM,BUA,0.0000021
OPM,BSG,0.0015465
OPM,WTR,0.0026135
RBM,FOR,0.2435610
RBM,MNG,0.0005303
RBM,OPM,0.0337830
RBM,RBM,0.6123114
RBM,SHB,1.6439612
RBM,RPD,0.0054995
RBM,BUA,0.0000000
RBM,BSG,0.0002704
RBM,WTR,0.0000254
SHB,FOR,2.5870610
SHB,MNG,0.1730329
SHB,OPM,2.0664771
SHB,RBM,5.6921938
SHB,SHB,18.2906024
SHB,RPD,0.2295999
SHB,BUA,0.0010500
SHB,BSG,0.0426946
SHB,WTR,0.0095666
RPD,FOR,0.0050157
RPD,MNG,0.1181244
RPD,OPM,0.0190655
RPD,RBM,0.0545747
RPD,SHB,0.9745482
RPD,RPD,0.7385340
RPD,BUA,0.0007521
RPD,BSG,0.0292216
RPD,WTR,0.0014472
BUA,FOR,0.0001732
BUA,MNG,0.0053136
BUA,OPM,0.0002599
BUA,RBM,0.0004669
BUA,SHB,0.0200480
BUA,RPD,0.0046164
BUA,BUA,0.0040058
BUA,BSG,0.0068073
BUA,WTR,0.0003042
BSG,FOR,0.0353274
BSG,MNG,0.3891153
BSG,OPM,0.0184169
BSG,RBM,0.0258940
BSG,SHB,0.3446143
BSG,RPD,0.9459034
BSG,BUA,0.0051868
BSG,BSG,0.4227547
BSG,WTR,0.1233344
WTR,FOR,0.1692341
WTR,MNG,0.0528211
WTR,OPM,0.0135153
WTR,RBM,0.0001056
WTR,SHB,0.0148717
WTR,RPD,0.0034480
WTR,BUA,0.0001458
WTR,BSG,0.0849540
WTR,WTR,0.5627165
