Interval*, Id*, Category_name, Observed_Annual_Gain_number_of_elements, Gain_Intensity_percent_of_t2_category, Uniform_Intensity_percent_of_interval_domain, Uniform_Annual_Gain_number_of_elements, Hypothesized_Annual_Error_number_of_elements, Commission_Intensity_percent_of_t2_category, Omission_Intensity_percent_of_t2_category, 
3, 1, Forest, 854, 0.131875191095491, 0.452389172766193, 2939.02327231638, 2085.02327231638, 0, 70.94272753659, 
3, 2, Other Vegetation, 8000, 1.89437890419652, 0.452389172766193, 1882.77486016876, 6117.22513983124, 76.4653142478905, 0, 
3, 3, Cropland, 4174, 1.30458291790254, 0.452389172766193, 1435.02380261208, 2738.97619738792, 65.6199376470513, 0, 
3, 4, Non-Forest, 75, 0.00498245842470608, 0.452389172766193, 6840.3339017798, 6765.3339017798, 0, 98.9035622956873, 
4, 1, Forest, 410, 0.0634970783600408, 0.104439994475901, 674.644394521968, 264.644394521968, 0, 39.2272427772096, 
4, 2, Other Vegetation, 1581, 0.373538098050797, 0.104439994475901, 440.851505594678, 1140.14849440532, 72.1156542950868, 0, 
4, 3, Cropland, 735, 0.229238336135135, 0.104439994475901, 334.444480926254, 400.555519073746, 54.497349533843, 0, 
4, 4, Non-Forest, 299, 0.0198600101757644, 0.104439994475901, 1573.71511642977, 1274.71511642977, 0, 81.0003731375264, 
6, 1, Forest, 312, 0.0501235416780462, 0.667656401049579, 4181.74398049121, 3869.74398049121, 0, 92.5389980482892, 
6, 2, Other Vegetation, 16380, 3.71051630090067, 0.667656401049579, 2857.06911564645, 13522.9308843536, 82.557575606554, 0, 
6, 3, Cropland, 2391, 0.735454699251011, 0.667656401049579, 2169.10283198624, 221.897168013759, 9.28051727368292, 0, 
6, 4, Non-Forest, 255, 0.0169311579119301, 0.667656401049579, 10121.4402998615, 9866.44029986146, 0, 97.4805957211101, 
7, 1, Forest, 178, 0.0293201513446913, 0.579305344565668, 3536.36580195797, 3358.36580195797, 0, 94.9665840592213, 
7, 2, Other Vegetation, 14499, 3.18788958147818, 0.579305344565668, 2565.63699320154, 11933.3630067985, 82.3047314076727, 0, 
7, 3, Cropland, 1836, 0.56172212499847, 0.579305344565668, 1893.80597793946, 57.8059779394579, 0, 3.05237065532728, 
7, 4, Non-Forest, 266, 0.0176585083472964, 0.579305344565668, 8775.69795122344, 8509.69795122344, 0, 96.9689020579507, 
9, 1, Forest, 316, 0.0555106629659558, 0.658334484187267, 3770.37623465071, 3454.37623465071, 0, 91.6188735464679, 
9, 2, Other Vegetation, 17361, 3.54296722740009, 0.658334484187267, 3132.25179993132, 14228.7482000687, 81.9581141643262, 0, 
9, 3, Cropland, 1133, 0.344280626694055, 0.658334484187267, 2173.37526986806, 1040.37526986806, 0, 47.8691040747518, 
9, 4, Non-Forest, 258, 0.0171229581038381, 0.658334484187267, 9983.47440893161, 9725.47440893161, 0, 97.4157293399863, 
10, 1, Forest, 116, 0.0213824096501027, 0.944344703770197, 5170.82386631384, 5054.82386631384, 0, 97.7566437573768, 
10, 2, Other Vegetation, 25803, 5.0056646672202, 0.944344703770197, 4668.28575053467, 21134.7142494653, 81.9079729080546, 0, 
10, 3, Cropland, 1412, 0.427252151390082, 0.944344703770197, 3137.19998550042, 1725.19998550042, 0, 54.9917121469459, 
10, 4, Non-Forest, 21, 0.00139381887788288, 0.944344703770197, 14363.4303476275, 14342.4303476275, 0, 99.853795371358, 
11, 1, Forest, 780, 0.144168122210208, 0.116731114486949, 631.382702636934, 148.617297363066, 19.0534996619315, 0, 
11, 2, Other Vegetation, 2086, 0.403796382867109, 0.116731114486949, 601.296324358741, 1484.70367564126, 71.174672849533, 0, 
11, 3, Cropland, 459, 0.138723082735172, 0.116731114486949, 386.149035315703, 72.8509646842969, 15.8716698658599, 0, 
11, 4, Non-Forest, 56, 0.00371696135754049, 0.116731114486949, 1760.66902118514, 1704.66902118514, 0, 96.8193908493769, 
12, 1, Forest, 240, 0.0459192166181645, 0.672351885098743, 3536.25663572855, 3296.25663572855, 0, 93.213162258215, 
12, 2, Other Vegetation, 18091, 3.38818937601954, 0.672351885098743, 3491.8179501315, 14599.1820498685, 80.6985907349981, 0, 
12, 3, Cropland, 1092, 0.328983044720003, 0.672351885098743, 2239.46606899169, 1147.46606899169, 0, 51.2383770792443, 
12, 4, Non-Forest, 51, 0.00338514597944221, 0.672351885098743, 10197.7543718538, 10146.7543718538, 0, 99.4998898959484, 
13, 1, Forest, 238, 0.0456078491491645, 0.0555171937577683, 289.739648306338, 51.7396483063377, 0, 17.857289676708, 
13, 2, Other Vegetation, 967, 0.180885271599142, 0.0555171937577683, 296.418743730119, 670.581256269881, 69.3465621788915, 0, 
13, 3, Cropland, 318, 0.0957292127626909, 0.0555171937577683, 184.346699866519, 133.653300133481, 42.0293396646167, 0, 
13, 4, Non-Forest, 85, 0.0056422395309905, 0.0555171937577683, 836.780560399504, 751.780560399504, 0, 89.8420202353388, 
14, 1, Forest, 479, 0.0917805620649285, 0.0414997928462919, 216.477227464236, 262.522772535764, 54.8064243289696, 0, 
14, 2, Other Vegetation, 368, 0.0688673013187714, 0.0414997928462919, 221.697993021548, 146.302006978452, 39.755980157188, 0, 
14, 3, Cropland, 286, 0.0860391026663097, 0.0414997928462919, 137.886749714527, 148.113250285473, 51.7878497501653, 0, 
