Interval*, Id_From*, Id_To*, Category_name_from, Category_name_To, Number_of_pixels, 
3, 1, 1, Forest, Forest, 646728, 
3, 1, 2, Forest, Other Vegetation, 7826, 
3, 1, 3, Forest, Cropland, 3405, 
3, 1, 4, Forest, Non-Forest, 73, 
3, 2, 1, Other Vegetation, Forest, 373, 
3, 2, 2, Other Vegetation, Other Vegetation, 414302, 
3, 2, 3, Other Vegetation, Cropland, 564, 
3, 2, 4, Other Vegetation, Non-Forest, 0, 
3, 3, 1, Cropland, Forest, 186, 
3, 3, 2, Cropland, Other Vegetation, 1, 
3, 3, 3, Cropland, Cropland, 315775, 
3, 3, 4, Cropland, Non-Forest, 2, 
3, 4, 1, Non-Forest, Forest, 295, 
3, 4, 2, Non-Forest, Other Vegetation, 173, 
3, 4, 3, Non-Forest, Cropland, 205, 
3, 4, 4, Non-Forest, Non-Forest, 1505206, 
4, 1, 1, Forest, Forest, 645289, 
4, 1, 2, Forest, Other Vegetation, 1574, 
4, 1, 3, Forest, Cropland, 466, 
4, 1, 4, Forest, Non-Forest, 253, 
4, 2, 1, Other Vegetation, Forest, 355, 
4, 2, 2, Other Vegetation, Other Vegetation, 421669, 
4, 2, 3, Other Vegetation, Cropland, 257, 
4, 2, 4, Other Vegetation, Non-Forest, 21, 
4, 3, 1, Cropland, Forest, 25, 
4, 3, 2, Cropland, Other Vegetation, 7, 
4, 3, 3, Cropland, Cropland, 319892, 
4, 3, 4, Cropland, Non-Forest, 25, 
4, 4, 1, Non-Forest, Forest, 30, 
4, 4, 2, Non-Forest, Other Vegetation, 0, 
4, 4, 3, Non-Forest, Cropland, 12, 
4, 4, 4, Non-Forest, Non-Forest, 1505239, 
6, 1, 1, Forest, Forest, 622150, 
6, 1, 2, Forest, Other Vegetation, 16349, 
6, 1, 3, Forest, Cropland, 1735, 
6, 1, 4, Forest, Non-Forest, 237, 
6, 2, 1, Other Vegetation, Forest, 277, 
6, 2, 2, Other Vegetation, Other Vegetation, 425068, 
6, 2, 3, Other Vegetation, Cropland, 656, 
6, 2, 4, Other Vegetation, Non-Forest, 6, 
6, 3, 1, Cropland, Forest, 23, 
6, 3, 2, Cropland, Other Vegetation, 31, 
6, 3, 3, Cropland, Cropland, 322714, 
6, 3, 4, Cropland, Non-Forest, 12, 
