Interval*,Id*,Category_Name,Observed_Annual_Loss_number_of_elements,Loss_Intensity_percent_of_t1_category,Uniform_Intensity_percent_of_interval_domain,Uniform_Annual_Loss_number_of_elements,Hypothesized_Annual_Error_number_of_elements,Commission_Intensity_percent_of_t1_category,Omission_Intensity_percent_of_t1_category,Hypothesized_t1_Error_percent_of_interval_domain
1,1,Forest,0,0.00,0.00,0,0,0.00,0.00,0.00
1,2,Mosaic Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
1,3,Shrubland,0,0.00,0.00,0,0,0.00,0.00,0.00
1,4,Other Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
1,5,Cropland,0,0.00,0.00,0,0,0.00,0.00,0.00
1,6,Non-Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
2,1,Forest,0,0.00,0.00,1,1,0.00,100.00,0.00
2,2,Mosaic Vegetation,0,0.00,0.00,0,0,0.00,100.00,0.00
2,3,Shrubland,0,0.00,0.00,0,0,0.00,100.00,0.00
2,4,Other Vegetation,0,0.00,0.00,0,0,0.00,100.00,0.00
2,5,Cropland,1,0.01,0.00,0,1,96.33,0.00,0.00
2,6,Non-Vegetation,0,0.00,0.00,0,0,0.00,100.00,0.00
3,1,Forest,2645,0.73,0.67,2442,203,7.67,0.00,0.08
3,2,Mosaic Vegetation,1,0.00,0.67,159,158,0.00,99.37,0.08
3,3,Shrubland,302,0.51,0.67,400,98,0.00,24.45,0.08
3,4,Other Vegetation,0,0.00,0.67,7,7,0.00,100.00,0.08
3,5,Cropland,5,0.03,0.67,118,113,0.00,95.76,0.08
3,6,Non-Vegetation,238,2.39,0.67,66,172,72.23,0.00,0.08
4,1,Forest,816,0.23,0.18,657,159,19.50,0.00,0.03
4,2,Mosaic Vegetation,0,0.00,0.18,44,44,0.00,100.00,0.03
4,3,Shrubland,37,0.06,0.18,109,72,0.00,66.10,0.03
4,4,Other Vegetation,0,0.00,0.18,2,2,0.00,100.00,0.03
4,5,Cropland,0,0.00,0.18,35,35,0.00,100.00,0.03
4,6,Non-Vegetation,11,0.11,0.18,18,7,0.00,38.17,0.03
5,1,Forest,1547,0.43,0.34,1209,338,21.82,0.00,0.07
5,2,Mosaic Vegetation,0,0.00,0.34,82,82,0.00,100.00,0.07
5,3,Shrubland,47,0.08,0.34,203,156,0.00,76.82,0.07
5,4,Other Vegetation,0,0.00,0.34,3,3,0.00,100.00,0.07
5,5,Cropland,1,0.01,0.34,65,64,0.00,98.46,0.07
5,6,Non-Vegetation,0,0.00,0.34,33,33,0.00,100.00,0.07
6,1,Forest,7292,2.04,1.58,5623,1669,22.89,0.00,0.35
6,2,Mosaic Vegetation,0,0.00,1.58,392,392,0.00,100.00,0.35
6,3,Shrubland,178,0.29,1.58,970,792,0.00,81.66,0.35
6,4,Other Vegetation,0,0.00,1.58,16,16,0.00,100.00,0.35
