"","Interval*","Category_name_To","Category_name_From_","Observed_Annual_Transition_number_of_elements","Transition_Intensity_percent_of_t1_category","Uniform_Intensity_percent_of_t1_non_category","Uniform_Annual_Transition_number_of_elements","Hypothesized_Annual_error_number_of_elements","Commission_Intensity_percent_of_transition","Omission_Intensity_percent_of_transition","Hypothesized  t1 Error_percent of interval's domain"
"1","1992_1993","Cropland","Forest",0,0,0,0,0,0,0,0
"2","1992_1993","Cropland","Mosaic Vegetation",0,0,0,0,0,0,0,0
"3","1992_1993","Cropland","Shrubland",0,0,0,0,0,0,0,0
"4","1992_1993","Cropland","Other Vegetation",0,0,0,0,0,0,0,0
"5","1992_1993","Cropland","Non-Vegetation",0,0,0,0,0,0,0,0
"6","1993_1994","Cropland","Forest",0,0,0,0,0,0,0,0
"7","1993_1994","Cropland","Mosaic Vegetation",0,0,0,0,0,0,0,0
"8","1993_1994","Cropland","Shrubland",0,0,0,0,0,0,0,0
"9","1993_1994","Cropland","Other Vegetation",0,0,0,0,0,0,0,0
"10","1993_1994","Cropland","Non-Vegetation",0,0,0,0,0,0,0,0
"11","1994_1995","Cropland","Forest",1285,0.354530692100525,0.347620487213135,1259.86657714844,25.1334762573242,1.95591259002686,0,0.0179346483200788
"12","1994_1995","Cropland","Mosaic Vegetation",0,0,0.347620487213135,81.5292739868164,81.5292739868164,0,100,0.0179346259683371
"13","1994_1995","Cropland","Shrubland",249,0.420650750398636,0.347620487213135,205.619659423828,43.3803329467773,17.4218196868896,0,0.0179346483200788
"14","1994_1995","Cropland","Other Vegetation",0,0,0.347620487213135,3.35926270484924,3.35926270484924,0,100,0.0179346259683371
"15","1994_1995","Cropland","Non-Vegetation",51,0.511175692081451,0.347620487213135,34.6251754760742,16.3748245239258,32.1074981689453,0,0.0179346483200788
"16","1995_1996","Cropland","Forest",270,0.0749956220388412,0.0614027567207813,221.032760620117,48.9672355651855,18.1360130310059,0,0.0103454384952784
"17","1995_1996","Cropland","Mosaic Vegetation",0,0,0.0614027567207813,14.680588722229,14.680588722229,0,100,0.0103454412892461
