"","Interval*","Category_name_To","Category_name_From_","Observed_Annual_Transition_number_of_elements","Transition_Intensity_percent_of_t1_category","Uniform_Intensity_percent_of_t1_non_category","Uniform_Annual_Transition_number_of_elements","Hypothesized_Annual_error_number_of_elements","Commission_Intensity_percent_of_transition","Omission_Intensity_percent_of_transition","Hypothesized  t1 Error_percent of interval's domain"
"1","1992_1993","Non-Vegetation","Forest",0,0,0,0,0,0,0,0
"2","1992_1993","Non-Vegetation","Mosaic Vegetation",0,0,0,0,0,0,0,0
"3","1992_1993","Non-Vegetation","Shrubland",0,0,0,0,0,0,0,0
"4","1992_1993","Non-Vegetation","Other Vegetation",0,0,0,0,0,0,0,0
"5","1992_1993","Non-Vegetation","Cropland",0,0,0,0,0,0,0,0
"6","1993_1994","Non-Vegetation","Forest",0,0,0.00021582143381238,0.782248616218567,0.782248616218567,0,100,0.000203354691620916
"7","1993_1994","Non-Vegetation","Mosaic Vegetation",0,0,0.00021582143381238,0.0504418946802616,0.0504418946802616,0,100,0.000203354691620916
"8","1993_1994","Non-Vegetation","Shrubland",0,0,0.00021582143381238,0.127753615379333,0.127753615379333,0,100,0.000203354691620916
"9","1993_1994","Non-Vegetation","Other Vegetation",0,0,0.00021582143381238,0.00207836483605206,0.00207836483605206,0,100,0.000203354691620916
"10","1993_1994","Non-Vegetation","Cropland",1,0.0057583786547184,0.00021582143381238,0.037477433681488,0.962522566318512,96.2522583007812,0,0.000203354706172831
"11","1994_1995","Non-Vegetation","Forest",0,0,0,0,0,0,0,0
"12","1994_1995","Non-Vegetation","Mosaic Vegetation",0,0,0,0,0,0,0,0
"13","1994_1995","Non-Vegetation","Shrubland",0,0,0,0,0,0,0,0
"14","1994_1995","Non-Vegetation","Other Vegetation",0,0,0,0,0,0,0,0
"15","1994_1995","Non-Vegetation","Cropland",0,0,0,0,0,0,0,0
"16","1995_1996","Non-Vegetation","Forest",0,0,0,0,0,0,0,0
"17","1995_1996","Non-Vegetation","Mosaic Vegetation",0,0,0,0,0,0,0,0
"18","1995_1996","Non-Vegetation","Shrubland",0,0,0,0,0,0,0,0
"19","1995_1996","Non-Vegetation","Other Vegetation",0,0,0,0,0,0,0,0
"20","1995_1996","Non-Vegetation","Cropland",0,0,0,0,0,0,0,0
"21","1996_1997","Non-Vegetation","Forest",1,0.000278363120742142,0.000431411957833916,1.54981958866119,0.549819588661194,0,35.4763603210449,0.000193751649931073
"22","1996_1997","Non-Vegetation","Mosaic Vegetation",0,0,0.000431411957833916,0.104026816785336,0.104026816785336,0,100,0.000193751649931073
"23","1996_1997","Non-Vegetation","Shrubland",0,0,0.000431411957833916,0.258865535259247,0.258865535259247,0,100,0.000193751649931073
"24","1996_1997","Non-Vegetation","Other Vegetation",0,0,0.000431411957833916,0.00435727974399924,0.00435727974399924,0,100,0.000193751649931073
"25","1996_1997","Non-Vegetation","Cropland",1,0.0052018309943378,0.000431411957833916,0.0829306840896606,0.917069315910339,91.7069320678711,0,0.000193751679034904
"26","1997_1998","Non-Vegetation","Forest",6,0.0016773974057287,0.00129424151964486,4.62944507598877,1.37055480480194,22.8425807952881,0,0.00028956076130271
"27","1997_1998","Non-Vegetation","Mosaic Vegetation",0,0,0.00129424151964486,0.316510856151581,0.316510856151581,0,100,0.00028956076130271
"28","1997_1998","Non-Vegetation","Shrubland",0,0,0.00129424151964486,0.784993529319763,0.784993529319763,0,100,0.00028956076130271
"29","1997_1998","Non-Vegetation","Other Vegetation",0,0,0.00129424151964486,0.0132661471143365,0.0132661471143365,0,100,0.00028956076130271
"30","1997_1998","Non-Vegetation","Cropland",0,0,0.00129424151964486,0.255784273147583,0.255784273147583,0,100,0.00028956076130271
"31","1998_1999","Non-Vegetation","Forest",4,0.0011414906475693,0.00107853685040027,3.77939558029175,0.220604449510574,5.51511144638062,0,0.000209788850042969
"32","1998_1999","Non-Vegetation","Mosaic Vegetation",0,0,0.00107853685040027,0.286505609750748,0.286505609750748,0,100,0.000209788762731478
"33","1998_1999","Non-Vegetation","Shrubland",0,0,0.00107853685040027,0.695221543312073,0.695221543312073,0,100,0.000209788762731478
"34","1998_1999","Non-Vegetation","Other Vegetation",0,0,0.00107853685040027,0.0112492609769106,0.0112492609769106,0,100,0.000209788762731478
"35","1998_1999","Non-Vegetation","Cropland",1,0.00473798904567957,0.00107853685040027,0.227627694606781,0.772372305393219,77.2372283935547,0,0.000209788850042969
"36","1999_2000","Non-Vegetation","Forest",5,0.00144952326081693,0.00172567763365805,5.95258617401123,0.952586114406586,0,16.0028953552246,0.000554555095732212
"37","1999_2000","Non-Vegetation","Mosaic Vegetation",0,0,0.00172567763365805,0.484768480062485,0.484768480062485,0,100,0.000554555095732212
"38","1999_2000","Non-Vegetation","Shrubland",0,0,0.00172567763365805,1.16918408870697,1.16918408870697,0,100,0.000554555095732212
"39","1999_2000","Non-Vegetation","Other Vegetation",0,0,0.00172567763365805,0.018292497843504,0.018292497843504,0,100,0.000554555095732212
