"","Interval*","Category_name_To","Category_name_From_","Observed_Annual_Transition_number_of_elements","Transition_Intensity_percent_of_t1_category","Uniform_Intensity_percent_of_t1_non_category","Uniform_Annual_Transition_number_of_elements","Hypothesized_Annual_error_number_of_elements","Commission_Intensity_percent_of_transition","Omission_Intensity_percent_of_transition","Hypothesized  t1 Error_percent of interval's domain"
"1","1992_1993","Other Vegetation","Forest",0,0,0,0,0,0,0,0
"2","1992_1993","Other Vegetation","Mosaic Vegetation",0,0,0,0,0,0,0,0
"3","1992_1993","Other Vegetation","Shrubland",0,0,0,0,0,0,0,0
"4","1992_1993","Other Vegetation","Cropland",0,0,0,0,0,0,0,0
"5","1992_1993","Other Vegetation","Non-Vegetation",0,0,0,0,0,0,0,0
"6","1993_1994","Other Vegetation","Forest",0,0,0,0,0,0,0,0
"7","1993_1994","Other Vegetation","Mosaic Vegetation",0,0,0,0,0,0,0,0
"8","1993_1994","Other Vegetation","Shrubland",0,0,0,0,0,0,0,0
"9","1993_1994","Other Vegetation","Cropland",0,0,0,0,0,0,0,0
"10","1993_1994","Other Vegetation","Non-Vegetation",0,0,0,0,0,0,0,0
"11","1994_1995","Other Vegetation","Forest",34,0.0093805780634284,0.00995005946606398,36.0642967224121,2.06429648399353,0,5.72393369674683,0.00129257782828063
"12","1994_1995","Other Vegetation","Mosaic Vegetation",0,0,0.00995005946606398,2.32575941085815,2.32575941085815,0,100,0.00129257782828063
"13","1994_1995","Other Vegetation","Shrubland",11,0.0185829643160105,0.00995005946606398,5.88932991027832,5.11067008972168,46.460636138916,0,0.00129257736261934
"14","1994_1995","Other Vegetation","Cropland",0,0,0.00995005946606398,1.72799980640411,1.72799980640411,0,100,0.00129257782828063
"15","1994_1995","Other Vegetation","Non-Vegetation",2,0.0200461056083441,0.00995005946606398,0.992617249488831,1.00738275051117,50.3691368103027,0,0.00129257736261934
"16","1995_1996","Other Vegetation","Forest",0,0,0,0,0,0,0,0
"17","1995_1996","Other Vegetation","Mosaic Vegetation",0,0,0,0,0,0,0,0
"18","1995_1996","Other Vegetation","Shrubland",0,0,0,0,0,0,0,0
"19","1995_1996","Other Vegetation","Cropland",0,0,0,0,0,0,0,0
"20","1995_1996","Other Vegetation","Non-Vegetation",0,0,0,0,0,0,0,0
"21","1996_1997","Other Vegetation","Forest",15,0.00417544692754745,0.00317586679011583,11.4089641571045,3.59103560447693,23.9402370452881,0,0.000758687674533576
"22","1996_1997","Other Vegetation","Mosaic Vegetation",0,0,0.00317586679011583,0.765821099281311,0.765821099281311,0,100,0.000758687499910593
"23","1996_1997","Other Vegetation","Shrubland",0,0,0.00317586679011583,1.90570759773254,1.90570759773254,0,100,0.000758687499910593
"24","1996_1997","Other Vegetation","Cropland",0,0,0.00317586679011583,0.61054801940918,0.61054801940918,0,100,0.000758687499910593
"25","1996_1997","Other Vegetation","Non-Vegetation",0,0,0.00317586679011583,0.308958142995834,0.308958142995834,0,100,0.000758687499910593
"26","1997_1998","Other Vegetation","Forest",18,0.00503219198435545,0.00381116126663983,13.6322431564331,4.36775684356689,24.2653160095215,0,0.000922787643503398
"27","1997_1998","Other Vegetation","Mosaic Vegetation",0,0,0.00381116126663983,0.932054996490479,0.932054996490479,0,100,0.000922787701711059
"28","1997_1998","Other Vegetation","Shrubland",0,0,0.00381116126663983,2.31163358688354,2.31163358688354,0,100,0.000922787701711059
"29","1997_1998","Other Vegetation","Cropland",0,0,0.00381116126663983,0.753228485584259,0.753228485584259,0,100,0.000922787701711059
"30","1997_1998","Other Vegetation","Non-Vegetation",0,0,0.00381116126663983,0.370840132236481,0.370840132236481,0,100,0.000922787701711059
"31","1998_1999","Other Vegetation","Forest",17,0.00485133519396186,0.00359956710599363,12.6134090423584,4.3865909576416,25.8034763336182,0,0.000926766777411103
"32","1998_1999","Other Vegetation","Mosaic Vegetation",0,0,0.00359956710599363,0.956223428249359,0.956223428249359,0,100,0.000926766660995781
"33","1998_1999","Other Vegetation","Shrubland",0,0,0.00359956710599363,2.3203284740448,2.3203284740448,0,100,0.000926766660995781
"34","1998_1999","Other Vegetation","Cropland",0,0,0.00359956710599363,0.759751975536346,0.759751975536346,0,100,0.000926766660995781
"35","1998_1999","Other Vegetation","Non-Vegetation",0,0,0.00359956710599363,0.350286483764648,0.350286483764648,0,100,0.000926766660995781
"36","1999_2000","Other Vegetation","Forest",1,0.000289904652163386,0.000211746868444607,0.730401158332825,0.269598811864853,26.9598808288574,0,5.69588592043146e-05
"37","1999_2000","Other Vegetation","Mosaic Vegetation",0,0,0.000211746868444607,0.0594819374382496,0.0594819374382496,0,100,5.69588592043146e-05
"38","1999_2000","Other Vegetation","Shrubland",0,0,0.000211746868444607,0.143460929393768,0.143460929393768,0,100,5.69588592043146e-05
"39","1999_2000","Other Vegetation","Cropland",0,0,0.000211746868444607,0.0460402183234692,0.0460402183234692,0,100,5.69588592043146e-05
"40","1999_2000","Other Vegetation","Non-Vegetation",0,0,0.000211746868444607,0.0206157192587852,0.0206157192587852,0,100,5.69588592043146e-05
"41","2000_2001","Other Vegetation","Forest",0,0,0.000635241973213851,2.10857844352722,2.10857844352722,0,100,0.000517665816005319
"42","2000_2001","Other Vegetation","Mosaic Vegetation",0,0,0.000635241973213851,0.198552489280701,0.198552489280701,0,100,0.000517665816005319
"43","2000_2001","Other Vegetation","Shrubland",1,0.00130201550200582,0.000635241973213851,0.487887978553772,0.512112021446228,51.2112007141113,0,0.000517665816005319
"44","2000_2001","Other Vegetation","Cropland",0,0,0.000635241973213851,0.143095523118973,0.143095523118973,0,100,0.000517665816005319
"45","2000_2001","Other Vegetation","Non-Vegetation",2,0.0205254517495632,0.000635241973213851,0.0618855953216553,1.93811440467834,96.9057235717773,0,0.000517665816005319
"46","2001_2002","Other Vegetation","Forest",36,0.0112081449478865,0.00762295164167881,24.4836616516113,11.516339302063,31.9898319244385,0,0.00243308767676353
"47","2001_2002","Other Vegetation","Mosaic Vegetation",0,0,0.00762295164167881,2.62211418151855,2.62211418151855,0,100,0.00243308721110225
"48","2001_2002","Other Vegetation","Shrubland",0,0,0.00762295164167881,6.38974046707153,6.38974046707153,0,100,0.00243308721110225
"49","2001_2002","Other Vegetation","Cropland",0,0,0.00762295164167881,1.76278948783875,1.76278948783875,0,100,0.00243308721110225
"50","2001_2002","Other Vegetation","Non-Vegetation",0,0,0.00762295164167881,0.741693496704102,0.741693496704102,0,100,0.00243308721110225
"51","2002_2003","Other Vegetation","Forest",0,0,0,0,0,0,0,0
"52","2002_2003","Other Vegetation","Mosaic Vegetation",0,0,0,0,0,0,0,0
"53","2002_2003","Other Vegetation","Shrubland",0,0,0,0,0,0,0,0
"54","2002_2003","Other Vegetation","Cropland",0,0,0,0,0,0,0,0
"55","2002_2003","Other Vegetation","Non-Vegetation",0,0,0,0,0,0,0,0
"56","2003_2004","Other Vegetation","Forest",3,0.000985034042969346,0.000635294418316334,1.93483316898346,1.06516683101654,35.5055618286133,0,0.000225040639634244
"57","2003_2004","Other Vegetation","Mosaic Vegetation",0,0,0.000635294418316334,0.243668720126152,0.243668720126152,0,100,0.000225040639634244
"58","2003_2004","Other Vegetation","Shrubland",0,0,0.000635294418316334,0.608952641487122,0.608952641487122,0,100,0.000225040639634244
"59","2003_2004","Other Vegetation","Cropland",0,0,0.000635294418316334,0.150718212127686,0.150718212127686,0,100,0.000225040639634244
"60","2003_2004","Other Vegetation","Non-Vegetation",0,0,0.000635294418316334,0.0618272460997105,0.0618272460997105,0,100,0.000225040639634244
"61","2004_2005","Other Vegetation","Forest",0,0,0,0,0,0,0,0
"62","2004_2005","Other Vegetation","Mosaic Vegetation",0,0,0,0,0,0,0,0
"63","2004_2005","Other Vegetation","Shrubland",0,0,0,0,0,0,0,0
"64","2004_2005","Other Vegetation","Cropland",0,0,0,0,0,0,0,0
"65","2004_2005","Other Vegetation","Non-Vegetation",0,0,0,0,0,0,0,0
"66","2005_2006","Other Vegetation","Forest",0,0,0,0,0,0,0,0
"67","2005_2006","Other Vegetation","Mosaic Vegetation",0,0,0,0,0,0,0,0
"68","2005_2006","Other Vegetation","Shrubland",0,0,0,0,0,0,0,0
"69","2005_2006","Other Vegetation","Cropland",0,0,0,0,0,0,0,0
"70","2005_2006","Other Vegetation","Non-Vegetation",0,0,0,0,0,0,0,0
"71","2006_2007","Other Vegetation","Forest",9,0.00309614557772875,0.00190589530393481,5.54006671905518,3.45993304252625,38.4436988830566,0,0.000730989268049598
"72","2006_2007","Other Vegetation","Mosaic Vegetation",0,0,0.00190589530393481,0.779182970523834,0.779182970523834,0,100,0.000730989268049598
"73","2006_2007","Other Vegetation","Shrubland",0,0,0.00190589530393481,2.03393411636353,2.03393411636353,0,100,0.000730989268049598
"74","2006_2007","Other Vegetation","Cropland",0,0,0.00190589530393481,0.461502283811569,0.461502283811569,0,100,0.000730989268049598
"75","2006_2007","Other Vegetation","Non-Vegetation",0,0,0.00190589530393481,0.185313731431961,0.185313731431961,0,100,0.000730989268049598
"76","2007_2008","Other Vegetation","Forest",0,0,0.000211769292945974,0.614369451999664,0.614369451999664,0,100,0.000206927856197581
"77","2007_2008","Other Vegetation","Mosaic Vegetation",0,0,0.000211769292945974,0.0871305391192436,0.0871305391192436,0,100,0.000206927856197581
"78","2007_2008","Other Vegetation","Shrubland",0,0,0.000211769292945974,0.226483508944511,0.226483508944511,0,100,0.000206927856197581
"79","2007_2008","Other Vegetation","Cropland",0,0,0.000211769292945974,0.0514515750110149,0.0514515750110149,0,100,0.000206927856197581
"80","2007_2008","Other Vegetation","Non-Vegetation",1,0.0102965403348207,0.000211769292945974,0.0205649733543396,0.97943502664566,97.9435043334961,0,0.000206927841645665
"81","2008_2009","Other Vegetation","Forest",0,0,0,0,0,0,0,0
"82","2008_2009","Other Vegetation","Mosaic Vegetation",0,0,0,0,0,0,0,0
"83","2008_2009","Other Vegetation","Shrubland",0,0,0,0,0,0,0,0
"84","2008_2009","Other Vegetation","Cropland",0,0,0,0,0,0,0,0
"85","2008_2009","Other Vegetation","Non-Vegetation",0,0,0,0,0,0,0,0
"86","2009_2010","Other Vegetation","Forest",1,0.000346044718753546,0.000211769744055346,0.611971378326416,0.388028651475906,38.802864074707,0,8.19798442535102e-05
"87","2009_2010","Other Vegetation","Mosaic Vegetation",0,0,0.000211769744055346,0.0887783020734787,0.0887783020734787,0,100,8.19798442535102e-05
"88","2009_2010","Other Vegetation","Shrubland",0,0,0.000211769744055346,0.227072700858116,0.227072700858116,0,100,8.19798442535102e-05
"89","2009_2010","Other Vegetation","Cropland",0,0,0.000211769744055346,0.0516698099672794,0.0516698099672794,0,100,8.19798442535102e-05
"90","2009_2010","Other Vegetation","Non-Vegetation",0,0,0.000211769744055346,0.020507825538516,0.020507825538516,0,100,8.19798442535102e-05
"91","2010_2011","Other Vegetation","Forest",12,0.00417124340310693,0.00254121539182961,7.31055116653442,4.68944883346558,39.0787391662598,0,0.000990752363577485
"92","2010_2011","Other Vegetation","Mosaic Vegetation",0,0,0.00254121539182961,1.07879877090454,1.07879877090454,0,100,0.000990752596408129
"93","2010_2011","Other Vegetation","Shrubland",0,0,0.00254121539182961,2.74125337600708,2.74125337600708,0,100,0.000990752596408129
"94","2010_2011","Other Vegetation","Cropland",0,0,0.00254121539182961,0.623248934745789,0.623248934745789,0,100,0.000990752596408129
"95","2010_2011","Other Vegetation","Non-Vegetation",0,0,0.00254121539182961,0.246148377656937,0.246148377656937,0,100,0.000990752596408129
"96","2011_2012","Other Vegetation","Forest",0,0,0,0,0,0,0,0
"97","2011_2012","Other Vegetation","Mosaic Vegetation",0,0,0,0,0,0,0,0
"98","2011_2012","Other Vegetation","Shrubland",0,0,0,0,0,0,0,0
"99","2011_2012","Other Vegetation","Cropland",0,0,0,0,0,0,0,0
"100","2011_2012","Other Vegetation","Non-Vegetation",0,0,0,0,0,0,0,0
"101","2012_2013","Other Vegetation","Forest",0,0,0,0,0,0,0,0
"102","2012_2013","Other Vegetation","Mosaic Vegetation",0,0,0,0,0,0,0,0
"103","2012_2013","Other Vegetation","Shrubland",0,0,0,0,0,0,0,0
"104","2012_2013","Other Vegetation","Cropland",0,0,0,0,0,0,0,0
"105","2012_2013","Other Vegetation","Non-Vegetation",0,0,0,0,0,0,0,0
"106","2013_2014","Other Vegetation","Forest",2,0.000699413183610886,0.000423540361225605,1.21112728118896,0.788872718811035,39.4436340332031,0,0.000166667246958241
"107","2013_2014","Other Vegetation","Mosaic Vegetation",0,0,0.000423540361225605,0.182373017072678,0.182373017072678,0,100,0.000166667246958241
"108","2013_2014","Other Vegetation","Shrubland",0,0,0.000423540361225605,0.459712654352188,0.459712654352188,0,100,0.000166667246958241
"109","2013_2014","Other Vegetation","Cropland",0,0,0.000423540361225605,0.105673767626286,0.105673767626286,0,100,0.000166667246958241
"110","2013_2014","Other Vegetation","Non-Vegetation",0,0,0.000423540361225605,0.0411132387816906,0.0411132387816906,0,100,0.000166667246958241
"111","2014_2015","Other Vegetation","Forest",0,0,0,0,0,0,0,0
"112","2014_2015","Other Vegetation","Mosaic Vegetation",0,0,0,0,0,0,0,0
"113","2014_2015","Other Vegetation","Shrubland",0,0,0,0,0,0,0,0
"114","2014_2015","Other Vegetation","Cropland",0,0,0,0,0,0,0,0
"115","2014_2015","Other Vegetation","Non-Vegetation",0,0,0,0,0,0,0,0
