"","ColA","ColB","ColC","ColD","ColE","ColF","ColG","ColH","ColI","ColJ","ColK","ColL"
"1",1,"1992-1993","Forest","Loss",0,0,0,0,0,0,0,0
"2",1,"1992-1993","Mosaic Vegetation","Loss",0,0,0,0,0,0,0,0
"3",1,"1992-1993","Shrubland","Loss",0,0,0,0,0,0,0,0
"4",1,"1992-1993","Other Vegetation","Loss",0,0,0,0,0,0,0,0
"5",1,"1992-1993","Cropland","Loss",0,0,0,0,0,0,0,0
"6",1,"1992-1993","Non-Vegetation","Loss",0,0,0,0,0,0,0,0
"7",2,"1993-1994","Forest","Loss",0,0,0,1,1,0,100,0
"8",2,"1993-1994","Mosaic Vegetation","Loss",0,0,0,0,0,0,100,0
"9",2,"1993-1994","Shrubland","Loss",0,0,0,0,0,0,100,0
"10",2,"1993-1994","Other Vegetation","Loss",0,0,0,0,0,0,100,0
"11",2,"1993-1994","Cropland","Loss",1,0.01,0,0,1,94.61,0,0
"12",2,"1993-1994","Non-Vegetation","Loss",0,0,0,0,0,0,100,0
"13",3,"1994-1995","Forest","Loss",791,0.73,0.72,772,19,2.42,0,0.09
"14",3,"1994-1995","Mosaic Vegetation","Loss",0,0,0.72,82,82,0,100,0.09
"15",3,"1994-1995","Shrubland","Loss",266,0.93,0.72,205,61,22.96,0,0.09
"16",3,"1994-1995","Other Vegetation","Loss",0,0,0.72,5,5,0,100,0.09
"17",3,"1994-1995","Cropland","Loss",5,0.06,0.72,62,57,0,91.88,0.09
"18",3,"1994-1995","Non-Vegetation","Loss",73,5.63,0.72,9,64,87.89,0,0.09
"19",4,"1995-1996","Forest","Loss",349,0.33,0.24,261,88,25.34,0,0.06
"20",4,"1995-1996","Mosaic Vegetation","Loss",0,0,0.24,28,28,0,100,0.06
"21",4,"1995-1996","Shrubland","Loss",37,0.13,0.24,70,33,0,47.21,0.06
"22",4,"1995-1996","Other Vegetation","Loss",0,0,0.24,2,2,0,100,0.06
"23",4,"1995-1996","Cropland","Loss",0,0,0.24,22,22,0,100,0.06
"24",4,"1995-1996","Non-Vegetation","Loss",0,0,0.24,3,3,0,100,0.06
"25",5,"1996-1997","Forest","Loss",710,0.67,0.48,510,200,28.23,0,0.13
"26",5,"1996-1997","Mosaic Vegetation","Loss",0,0,0.48,56,56,0,100,0.13
"27",5,"1996-1997","Shrubland","Loss",47,0.16,0.48,139,92,0,66.1,0.13
"28",5,"1996-1997","Other Vegetation","Loss",0,0,0.48,4,4,0,100,0.13
"29",5,"1996-1997","Cropland","Loss",1,0.01,0.48,44,43,0,97.73,0.13
"30",5,"1996-1997","Non-Vegetation","Loss",0,0,0.48,6,6,0,100,0.13
"31",6,"1997-1998","Forest","Loss",2803,2.65,1.86,1954,849,30.29,0,0.54
"32",6,"1997-1998","Mosaic Vegetation","Loss",0,0,1.86,224,224,0,100,0.54
"33",6,"1997-1998","Shrubland","Loss",141,0.48,1.86,551,410,0,74.42,0.54
"34",6,"1997-1998","Other Vegetation","Loss",0,0,1.86,15,15,0,100,0.54
"35",6,"1997-1998","Cropland","Loss",0,0,1.86,177,177,0,100,0.54
"36",6,"1997-1998","Non-Vegetation","Loss",0,0,1.86,23,23,0,100,0.54
"37",7,"1998-1999","Forest","Loss",2444,2.37,1.6,1633,811,33.18,0,0.51
"38",7,"1998-1999","Mosaic Vegetation","Loss",0,0,1.6,202,202,0,100,0.51
"39",7,"1998-1999","Shrubland","Loss",83,0.27,1.6,503,420,0,83.5,0.51
"40",7,"1998-1999","Other Vegetation","Loss",0,0,1.6,13,13,0,100,0.51
"41",7,"1998-1999","Cropland","Loss",0,0,1.6,156,156,0,100,0.51
"42",7,"1998-1999","Non-Vegetation","Loss",0,0,1.6,20,20,0,100,0.51
"43",8,"1999-2000","Forest","Loss",4816,4.78,3.11,3074,1742,36.17,0,1.1
"44",8,"1999-2000","Mosaic Vegetation","Loss",0,0,3.11,430,430,0,100,1.1
"45",8,"1999-2000","Shrubland","Loss",100,0.31,3.11,1036,936,0,90.35,1.1
"46",8,"1999-2000","Other Vegetation","Loss",0,0,3.11,26,26,0,100,1.1
"47",8,"1999-2000","Cropland","Loss",3,0.03,3.11,312,309,0,99.04,1.1
"48",8,"1999-2000","Non-Vegetation","Loss",0,0,3.11,39,39,0,100,1.1
"49",9,"2000-2001","Forest","Loss",4698,4.9,3.1,2914,1784,37.98,0,1.13
"50",9,"2000-2001","Mosaic Vegetation","Loss",0,0,3.1,469,469,0,100,1.13
"51",9,"2000-2001","Shrubland","Loss",202,0.56,3.1,1138,936,0,82.24,1.13
"52",9,"2000-2001","Other Vegetation","Loss",0,0,3.1,26,26,0,100,1.13
"53",9,"2000-2001","Cropland","Loss",0,0,3.1,317,317,0,100,1.13
"54",9,"2000-2001","Non-Vegetation","Loss",3,0.24,3.1,39,36,0,92.35,1.13
"55",10,"2001-2002","Forest","Loss",7196,7.89,4.57,4017,3179,44.18,0,2.01
"56",10,"2001-2002","Mosaic Vegetation","Loss",1,0.01,4.57,783,782,0,99.87,2.01
"57",10,"2001-2002","Shrubland","Loss",29,0.08,4.57,1845,1816,0,98.43,2.01
"58",10,"2001-2002","Other Vegetation","Loss",0,0,4.57,39,39,0,100,2.01
"59",10,"2001-2002","Cropland","Loss",0,0,4.57,484,484,0,100,2.01
"60",10,"2001-2002","Non-Vegetation","Loss",0,0,4.57,59,59,0,100,2.01
"61",11,"2002-2003","Forest","Loss",208,0.25,0.2,168,40,19.19,0,0.03
"62",11,"2002-2003","Mosaic Vegetation","Loss",4,0.02,0.2,37,33,0,89.05,0.03
"63",11,"2002-2003","Shrubland","Loss",98,0.22,0.2,88,10,10.48,0,0.03
"64",11,"2002-2003","Other Vegetation","Loss",0,0,0.2,2,2,0,100,0.03
"65",11,"2002-2003","Cropland","Loss",7,0.07,0.2,20,13,0,65.84,0.03
"66",11,"2002-2003","Non-Vegetation","Loss",0,0,0.2,2,2,0,100,0.03
"67",12,"2003-2004","Forest","Loss",3945,4.71,2.53,2071,1874,47.5,0,1.18
"68",12,"2003-2004","Mosaic Vegetation","Loss",8,0.04,2.53,473,465,0,98.31,1.18
"69",12,"2003-2004","Shrubland","Loss",47,0.11,2.53,1137,1090,0,95.87,1.18
"70",12,"2003-2004","Other Vegetation","Loss",0,0,2.53,22,22,0,100,1.18
"71",12,"2003-2004","Cropland","Loss",0,0,2.53,265,265,0,100,1.18
"72",12,"2003-2004","Non-Vegetation","Loss",0,0,2.53,32,32,0,100,1.18
"73",13,"2004-2005","Forest","Loss",74,0.09,0.08,64,10,14.05,0,0.02
"74",13,"2004-2005","Mosaic Vegetation","Loss",0,0,0.08,15,15,0,100,0.02
"75",13,"2004-2005","Shrubland","Loss",52,0.11,0.08,37,15,27.95,0,0.02
"76",13,"2004-2005","Other Vegetation","Loss",0,0,0.08,1,1,0,100,0.02
"77",13,"2004-2005","Cropland","Loss",0,0,0.08,8,8,0,100,0.02
"78",13,"2004-2005","Non-Vegetation","Loss",0,0,0.08,1,1,0,100,0.02
"79",14,"2005-2006","Forest","Loss",52,0.07,0.14,112,60,0,53.61,0.06
"80",14,"2005-2006","Mosaic Vegetation","Loss",7,0.04,0.14,27,20,0,73.78,0.06
"81",14,"2005-2006","Shrubland","Loss",163,0.35,0.14,66,97,59.59,0,0.06
