Interval*,Id*,Category_name,Observed_Annual_Gain_number_of_elements,Gain_Intensity_percent_of_t2_category,Uniform_Intensity_percent_of_interval_domain,Uniform_Annual_Gain_number_of_elements,Hypothesized_Annual_Error_number_of_elements,Commission_Intensity_percent_of_t2_category,Omission_Intensity_percent_of_t2_category,Hypothesized_t2_Error_percent_of_interval_domain
1,1,Forest,0,0,0,0,0,0,0,0
1,2,Mosaic Vegetation,0,0,0,0,0,0,0,0
1,3,Shrubland,0,0,0,0,0,0,0,0
1,4,Other Vegetation,0,0,0,0,0,0,0,0
1,5,Cropland,0,0,0,0,0,0,0,0
1,6,Non-Vegetation,0,0,0,0,0,0,0,0
2,1,Forest,0,0,0,0,0,0,0,0
2,2,Mosaic Vegetation,0,0,0,0,0,0,0,0
2,3,Shrubland,0,0,0,0,0,0,0,0
2,4,Other Vegetation,0,0,0,0,0,0,0,0
2,5,Cropland,0,0,0,0,0,0,0,0
2,6,Non-Vegetation,0,0,0,0,0,0,0,0
3,1,Forest,48,0.06,0.2,158,110,0,69.69,0.12
3,2,Mosaic Vegetation,56,1.33,0.2,8,48,85.48,0,0.12
3,3,Shrubland,16,0.19,0.2,17,1,0,3.35,0.12
3,4,Other Vegetation,0,0,0.2,0,0,0,100,0.12
3,5,Cropland,72,5.7,0.2,2,70,96.76,0,0.12
3,6,Non-Vegetation,0,0,0.2,7,7,0,100,0.12
4,1,Forest,0,0,0.07,57,57,0,100,0.07
4,2,Mosaic Vegetation,46,1.08,0.07,3,43,93.57,0,0.07
4,3,Shrubland,0,0,0.07,6,6,0,100,0.07
4,4,Other Vegetation,0,0,0.07,0,0,0,100,0.07
4,5,Cropland,23,1.79,0.07,1,22,96.14,0,0.07
4,6,Non-Vegetation,0,0,0.07,2,2,0,100,0.07
5,1,Forest,0,0,0.04,30,30,0,100,0.03
5,2,Mosaic Vegetation,15,0.35,0.04,2,13,89.6,0,0.03
5,3,Shrubland,6,0.07,0.04,3,3,48.25,0,0.03
5,4,Other Vegetation,0,0,0.04,0,0,0,100,0.03
5,5,Cropland,14,1.08,0.04,0,14,96.63,0,0.03
5,6,Non-Vegetation,1,0.03,0.04,1,0,0,18.88,0.03
6,1,Forest,0,0,1.4,1127,1127,0,100,1.19
6,2,Mosaic Vegetation,763,15.16,1.4,61,702,92.06,0,1.19
6,3,Shrubland,328,3.73,1.4,120,208,63.34,0,1.19
6,4,Other Vegetation,0,0,1.4,0,0,0,100,1.19
6,5,Cropland,280,17.71,1.4,18,262,93.41,0,1.19
6,6,Non-Vegetation,3,0.09,1.4,48,45,0,93.71,1.19
7,1,Forest,0,0,0.31,245,245,0,100,0.26
7,2,Mosaic Vegetation,93,1.81,0.31,16,77,83.26,0,0.26
7,3,Shrubland,146,1.63,0.31,27,119,81.34,0,0.26
7,4,Other Vegetation,0,0,0.31,0,0,0,100,0.26
7,5,Cropland,64,3.89,0.31,5,59,92.36,0,0.26
7,6,Non-Vegetation,0,0,0.31,10,10,0,100,0.26
8,1,Forest,0,0,2.1,1653,1653,0,100,1.75
8,2,Mosaic Vegetation,753,12.81,2.1,110,643,85.4,0,1.75
8,3,Shrubland,1171,11.57,2.1,192,979,83.61,0,1.75
8,4,Other Vegetation,0,0,2.1,0,0,0,100,1.75
8,5,Cropland,136,7.64,2.1,35,101,74.06,0,1.75
8,6,Non-Vegetation,3,0.09,2.1,72,69,0,95.85,1.75
9,1,Forest,0,0,2.93,2241,2241,0,100,2.38
9,2,Mosaic Vegetation,698,10.61,2.93,178,520,74.56,0,2.38
9,3,Shrubland,1974,16.32,2.93,306,1668,84.52,0,2.38
9,4,Other Vegetation,0,0,2.93,0,0,0,100,2.38
9,5,Cropland,208,10.46,2.93,54,154,74.14,0,2.38
9,6,Non-Vegetation,0,0,2.93,102,102,0,100,2.38
10,1,Forest,0,0,3.58,2622,2622,0,100,2.8
10,2,Mosaic Vegetation,882,11.82,3.58,244,638,72.34,0,2.8
10,3,Shrubland,2450,16.84,3.58,449,2001,81.69,0,2.8
10,4,Other Vegetation,0,0,3.58,0,0,0,100,2.8
10,5,Cropland,182,8.38,3.58,74,108,59.46,0,2.8
10,6,Non-Vegetation,0,0,3.58,125,125,0,100,2.8
11,1,Forest,69,0.1,0.97,683,614,0,89.9,0.66
11,2,Mosaic Vegetation,223,2.91,0.97,73,150,67.3,0,0.66
11,3,Shrubland,564,3.75,0.97,142,422,74.88,0,0.66
11,4,Other Vegetation,0,0,0.97,0,0,0,100,0.66
11,5,Cropland,96,4.24,0.97,21,75,77.89,0,0.66
11,6,Non-Vegetation,0,0,0.97,33,33,0,100,0.66
12,1,Forest,0,0,3.22,2223,2223,0,100,2.38
12,2,Mosaic Vegetation,506,6.18,3.22,256,250,49.47,0,2.38
12,3,Shrubland,2544,14.48,3.22,501,2043,80.33,0,2.38
12,4,Other Vegetation,0,0,3.22,0,0,0,100,2.38
12,5,Cropland,117,4.91,3.22,75,42,35.52,0,2.38
12,6,Non-Vegetation,0,0,3.22,112,112,0,100,2.38
13,1,Forest,36,0.05,0.17,114,78,0,68.44,0.08
13,2,Mosaic Vegetation,62,0.75,0.17,14,48,77.42,0,0.08
13,3,Shrubland,51,0.29,0.17,30,21,41.07,0,0.08
13,4,Other Vegetation,0,0,0.17,0,0,0,100,0.08
13,5,Cropland,18,0.75,0.17,4,14,77.34,0,0.08
13,6,Non-Vegetation,1,0.03,0.17,6,5,0,82.64,0.08
14,1,Forest,24,0.04,0.14,92,68,0,73.98,0.07
14,2,Mosaic Vegetation,52,0.63,0.14,11,41,78.05,0,0.07
14,3,Shrubland,36,0.2,0.14,24,12,32.35,0,0.07
14,4,Other Vegetation,0,0,0.14,0,0,0,100,0.07
14,5,Cropland,23,0.95,0.14,3,20,85.55,0,0.07
14,6,Non-Vegetation,1,0.03,0.14,5,4,0,78.55,0.07
15,1,Forest,122,0.18,0.28,190,68,0,35.72,0.08
15,2,Mosaic Vegetation,86,1.03,0.28,24,62,72.53,0,0.08
15,3,Shrubland,65,0.37,0.28,50,15,23.03,0,0.08
15,4,Other Vegetation,0,0,0.28,0,0,0,100,0.08
15,5,Cropland,6,0.25,0.28,7,1,0,13.18,0.08
15,6,Non-Vegetation,1,0.03,0.28,10,9,0,89.58,0.08
16,1,Forest,46,0.07,0.18,120,74,0,61.62,0.08
16,2,Mosaic Vegetation,60,0.71,0.18,15,45,74.93,0,0.08
16,3,Shrubland,61,0.35,0.18,32,29,48.11,0,0.08
16,4,Other Vegetation,0,0,0.18,0,0,0,100,0.08
16,5,Cropland,10,0.41,0.18,4,6,56.29,0,0.08
16,6,Non-Vegetation,0,0,0.18,6,6,0,100,0.08
17,1,Forest,46,0.07,0.28,184,138,0,74.99,0.15
17,2,Mosaic Vegetation,107,1.26,0.28,23,84,78.28,0,0.15
17,3,Shrubland,97,0.55,0.28,49,48,49.77,0,0.15
17,4,Other Vegetation,0,0,0.28,0,0,0,100,0.15
17,5,Cropland,22,0.9,0.28,7,15,69.32,0,0.15
17,6,Non-Vegetation,0,0,0.28,9,9,0,100,0.15
18,1,Forest,0,0,0.56,368,368,0,100,0.39
18,2,Mosaic Vegetation,218,2.51,0.56,47,171,78.23,0,0.39
18,3,Shrubland,252,1.41,0.56,99,153,60.79,0,0.39
18,4,Other Vegetation,0,0,0.56,0,0,0,100,0.39
18,5,Cropland,77,3.04,0.56,14,63,82.16,0,0.39
18,6,Non-Vegetation,0,0,0.56,19,19,0,100,0.39
19,1,Forest,1,0,0.61,397,396,0,99.75,0.42
19,2,Mosaic Vegetation,217,2.43,0.61,53,164,75.59,0,0.42
19,3,Shrubland,247,1.36,0.61,109,138,55.88,0,0.42
19,4,Other Vegetation,12,48,0.61,0,12,99.34,0,0.42
19,5,Cropland,118,4.46,0.61,15,103,86.94,0,0.42
19,6,Non-Vegetation,0,0,0.61,20,20,0,100,0.42
20,1,Forest,21,0.03,0.05,35,14,0,40.28,0.02
20,2,Mosaic Vegetation,10,0.11,0.05,5,5,51.97,0,0.02
