Interval*,Id*,Category_name,Observed_Annual_Gain_number_of_elements,Gain_Intensity_percent_of_t2_category,Uniform_Intensity_percent_of_interval_domain,Uniform_Annual_Gain_number_of_elements,Hypothesized_Annual_Error_number_of_elements,Commission_Intensity_percent_of_t2_category,Omission_Intensity_percent_of_t2_category,Hypothesized_t2_Error_percent_of_interval_domain
1,1,Forest,0,0.00,0.00,0,0,0.00,0.00,0.00
1,2,Mosaic Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
1,3,Shrubland,0,0.00,0.00,0,0,0.00,0.00,0.00
1,4,Other Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
1,5,Cropland,0,0.00,0.00,0,0,0.00,0.00,0.00
1,6,Non-Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
2,1,Forest,0,0.00,0.00,1,1,0.00,100.00,0.00
2,2,Mosaic Vegetation,0,0.00,0.00,0,0,0.00,100.00,0.00
2,3,Shrubland,0,0.00,0.00,0,0,0.00,100.00,0.00
2,4,Other Vegetation,0,0.00,0.00,0,0,0.00,100.00,0.00
2,5,Cropland,1,0.01,0.00,0,1,94.61,0.00,0.00
2,6,Non-Vegetation,0,0.00,0.00,0,0,0.00,100.00,0.00
3,1,Forest,791,0.73,0.72,772,19,2.42,0.00,0.09
3,2,Mosaic Vegetation,0,0.00,0.72,82,82,0.00,100.00,0.09
3,3,Shrubland,266,0.93,0.72,205,61,22.96,0.00,0.09
3,4,Other Vegetation,0,0.00,0.72,5,5,0.00,100.00,0.09
3,5,Cropland,5,0.06,0.72,62,57,0.00,91.88,0.09
3,6,Non-Vegetation,73,5.63,0.72,9,64,87.89,0.00,0.09
4,1,Forest,349,0.33,0.24,261,88,25.34,0.00,0.06
4,2,Mosaic Vegetation,0,0.00,0.24,28,28,0.00,100.00,0.06
4,3,Shrubland,37,0.13,0.24,70,33,0.00,47.21,0.06
4,4,Other Vegetation,0,0.00,0.24,2,2,0.00,100.00,0.06
4,5,Cropland,0,0.00,0.24,22,22,0.00,100.00,0.06
4,6,Non-Vegetation,0,0.00,0.24,3,3,0.00,100.00,0.06
5,1,Forest,710,0.67,0.48,510,200,28.23,0.00,0.13
5,2,Mosaic Vegetation,0,0.00,0.48,56,56,0.00,100.00,0.13
5,3,Shrubland,47,0.16,0.48,139,92,0.00,66.10,0.13
5,4,Other Vegetation,0,0.00,0.48,4,4,0.00,100.00,0.13
5,5,Cropland,1,0.01,0.48,44,43,0.00,97.73,0.13
5,6,Non-Vegetation,0,0.00,0.48,6,6,0.00,100.00,0.13
6,1,Forest,2803,2.65,1.86,1954,849,30.29,0.00,0.54
6,2,Mosaic Vegetation,0,0.00,1.86,224,224,0.00,100.00,0.54
6,3,Shrubland,141,0.48,1.86,551,410,0.00,74.42,0.54
6,4,Other Vegetation,0,0.00,1.86,15,15,0.00,100.00,0.54
