Interval*, Id*, Category_name, Observed_Annual_Gain_number_of_elements, Gain_Intensity_percent_of_t2_category, Uniform_Intensity_percent_of_interval_domain, Uniform_Annual_Gain_number_of_elements, Hypothesized_Annual_Error_number_of_elements, Commission_Intensity_percent_of_t2_category, Omission_Intensity_percent_of_t2_category, 
13, 1, Forest, 75, 0.0257959778911272, 0.0324886065460572, 94.4646731312721, 19.4646731312721, 0, 20.6052405476735, 
13, 2, Other Vegetation, 756, 0.50837883637733, 0.0324886065460572, 48.0831647072192, 707.916835292781, 93.6397930281456, 0, 
13, 3, Cropland, 105, 0.434872644439843, 0.0324886065460572, 7.81279928329154, 97.1872007167085, 92.5592387778176, 0, 
13, 4, Non-Forest, 5, 0.0514085955171705, 0.0324886065460572, 3.15924383664214, 1.84075616335786, 36.8151232671573, 0, 
14, 1, Forest, 179, 0.0615788966712994, 0.0160889379919901, 46.746690359656, 132.253309640344, 73.8845305253319, 0, 
14, 2, Other Vegetation, 214, 0.143912952838246, 0.0160889379919901, 23.893825618954, 190.106174381046, 88.8346609257224, 0, 
14, 3, Cropland, 71, 0.293218799041877, 0.0160889379919901, 3.88497735100317, 67.1150226489968, 94.52820091408, 0, 
14, 4, Non-Forest, 2, 0.0205697829887895, 0.0160889379919901, 1.56425733459395, 0.435742665406049, 21.7871332703024, 0, 
15, 1, Forest, 184, 0.0634237811603794, 0.0347672973346223, 100.835187485775, 83.1648125142252, 45.1982676707746, 0, 
15, 2, Other Vegetation, 733, 0.491280277744266, 0.0347672973346223, 51.6366113339365, 681.363388666064, 92.9554418371165, 0, 
15, 3, Cropland, 87, 0.358083635166282, 0.0347672973346223, 8.4197423285889, 78.5802576714111, 90.3221352544955, 0, 
15, 4, Non-Forest, 3, 0.0308896210873147, 0.0347672973346223, 3.37673089628938, 0.376730896289381, 0, 11.1566751352133, 
16, 1, Forest, 188, 0.0648862075392251, 0.0286217373290982, 82.8979672748484, 105.102032725152, 55.9053365559317, 0, 
16, 2, Other Vegetation, 546, 0.365202734338421, 0.0286217373290982, 42.6471462796111, 503.352853720389, 92.1891673480566, 0, 
16, 3, Cropland, 94, 0.38572014772261, 0.0286217373290982, 6.95020222263587, 87.0497977773641, 92.6061678482597, 0, 
16, 4, Non-Forest, 1, 0.0103007828594973, 0.0286217373290982, 2.77910747137611, 1.77910747137611, 0, 64.0172245838036, 
17, 1, Forest, 131, 0.0453318568759084, 0.0360102195829305, 104.052628743191, 26.9473712568088, 20.5705124097777, 0, 
17, 2, Other Vegetation, 865, 0.575672671853267, 0.0360102195829305, 53.8164868788201, 811.18351312118, 93.7784408232578, 0, 
17, 3, Cropland, 45, 0.184433788270011, 0.0360102195829305, 8.7730880855107, 36.2269119144893, 80.5042486988651, 0, 
17, 4, Non-Forest, 2, 0.0206526228831062, 0.0360102195829305, 3.48776541200273, 1.48776541200273, 0, 42.6566937926147, 
18, 1, Forest, 111, 0.0385840018909637, 0.0537909128573401, 154.771394777332, 43.7713947773315, 0, 28.2813208734761, 
18, 2, Other Vegetation, 1311, 0.865763701321429, 0.0537909128573401, 80.7922256206036, 1230.2077743794, 93.8373588390081, 0, 
18, 3, Cropland, 133, 0.54230377166157, 0.0537909128573401, 13.1277409958817, 119.872259004118, 90.1295180482093, 0, 
18, 4, Non-Forest, 3, 0.0309725376832542, 0.0537909128573401, 5.21137733941956, 2.21137733941956, 0, 42.4336446085453, 
19, 1, Forest, 55, 0.0191945278146158, 0.0447797265571054, 128.344672020305, 73.3446720203046, 0, 57.1466433828287, 
19, 2, Other Vegetation, 1063, 0.697387584795245, 0.0447797265571054, 67.8103027767924, 995.189697223208, 93.6208558065106, 0, 
19, 3, Cropland, 178, 0.721260991126059, 0.0447797265571054, 10.9763960038728, 167.023603996127, 93.8334853910827, 0, 
19, 4, Non-Forest, 1, 0.0103337811305157, 0.0447797265571054, 4.33482746555131, 3.33482746555131, 0, 76.9310310976168, 
20, 1, Forest, 65, 0.022693470564823, 0.0160544123739815, 45.9809577908344, 19.0190422091656, 29.2600649371779, 0, 
20, 2, Other Vegetation, 172, 0.112921650756969, 0.0160544123739815, 24.4300683544348, 147.569931645565, 85.7964718869565, 0, 
20, 3, Cropland, 221, 0.887728459530026, 0.0160544123739815, 3.9619017692041, 217.038098230796, 98.2072842673285, 0, 
20, 4, Non-Forest, 7, 0.0722916451512961, 0.0160544123739815, 1.5536743745975, 5.4463256254025, 77.8046517914644, 0, 
22, 1, Forest, 76, 0.0266709714550419, 0.0419486258804033, 119.55255709048, 43.5525570904795, 0, 36.4296324147364, 
22, 2, Other Vegetation, 981, 0.63861366802505, 0.0419486258804033, 64.054316045434, 916.945683954566, 93.4705080483757, 0, 
22, 3, Cropland, 123, 0.491744292967657, 0.0419486258804033, 10.4453946811689, 112.554605318831, 91.5078092023017, 0, 
22, 4, Non-Forest, 35, 0.359306026075352, 0.0419486258804033, 4.07324229712436, 30.9267577028756, 88.362164865359, 0, 
