Interval*, Id*, Category_Name, Observed_Annual_Loss_number_of_elements, Loss_Intensity_percent_of_t1_category, Uniform_Intensity_percent_of_interval_domain, Uniform_Annual_Loss_number_of_elements, Hypothesized_Annual_Error_number_of_elements, Commission_Intensity_percent_of_t1_category, Omission_Intensity_percent_of_t1_category, 
13, 1, Forest, 824, 0.28268357279102, 0.0324886065460572, 94.4646731312723, 729.535326868728, 88.5358406394087, 0, 
13, 2, Other Vegetation, 104, 0.0702436915761604, 0.0324886065460572, 48.0831647072191, 55.9168352927809, 53.7661877815201, 0, 
13, 3, Cropland, 1, 0.00415956075038476, 0.0324886065460572, 7.81279928329153, 6.81279928329153, 0, 87.2004903269613, 
13, 4, Non-Forest, 12, 0.123291893557999, 0.0324886065460572, 3.15924383664214, 8.84075616335786, 73.6729680279822, 0, 
14, 1, Forest, 238, 0.0818592365078437, 0.0160889379919901, 46.746690359656, 191.253309640344, 80.3585334623294, 0, 
14, 2, Other Vegetation, 221, 0.148613389999193, 0.0160889379919901, 23.8938256189541, 197.106174381046, 89.1883141995683, 0, 
14, 3, Cropland, 2, 0.00828328846552081, 0.0160889379919901, 3.88497735100317, 1.88497735100317, 0, 48.5196483968287, 
14, 4, Non-Forest, 5, 0.0514085955171705, 0.0160889379919901, 1.56425733459395, 3.43574266540605, 68.714853308121, 0, 
15, 1, Forest, 756, 0.260076233986047, 0.0347672973346223, 100.835187485775, 655.164812514225, 86.6620122373314, 0, 
15, 2, Other Vegetation, 232, 0.15601778064707, 0.0347672973346223, 51.6366113339363, 180.363388666064, 77.7428399422688, 0, 
15, 3, Cropland, 5, 0.0206492112001322, 0.0347672973346223, 8.4197423285889, 3.4197423285889, 0, 40.6157599025008, 
15, 4, Non-Forest, 14, 0.143988480921526, 0.0347672973346223, 3.37673089628938, 10.6232691037106, 75.880493597933, 0, 
16, 1, Forest, 562, 0.19371828810942, 0.0286217373290982, 82.8979672748484, 479.102032725152, 85.2494720151515, 0, 
16, 2, Other Vegetation, 242, 0.162196217208885, 0.0286217373290982, 42.6471462796111, 199.352853720389, 82.3772122811524, 0, 
16, 3, Cropland, 20, 0.0823180770497201, 0.0286217373290982, 6.95020222263588, 13.0497977773641, 65.2489888868206, 0, 
16, 4, Non-Forest, 5, 0.0514827018121911, 0.0286217373290982, 2.77910747137611, 2.22089252862389, 44.4178505724778, 0, 
17, 1, Forest, 889, 0.306828928204102, 0.0360102195829305, 104.052628743191, 784.947371256809, 88.2955423236005, 0, 
17, 2, Other Vegetation, 112, 0.0749133814027531, 0.0360102195829305, 53.8164868788201, 58.1835131211799, 51.9495652867678, 0, 
17, 3, Cropland, 16, 0.0656544932293804, 0.0360102195829305, 8.7730880855107, 7.2269119144893, 45.1681994655581, 0, 
17, 4, Non-Forest, 26, 0.26782035434693, 0.0360102195829305, 3.48776541200273, 22.5122345879973, 86.5855176461433, 0, 
18, 1, Forest, 1407, 0.486884905529794, 0.0537909128573401, 154.771394777332, 1252.22860522267, 88.9999008687042, 0, 
18, 2, Other Vegetation, 143, 0.0951690081792106, 0.0537909128573401, 80.7922256206038, 62.2077743793962, 43.5019401254519, 0, 
18, 3, Cropland, 7, 0.0286897003975573, 0.0537909128573401, 13.1277409958816, 6.12774099588164, 0, 46.6778023561251, 
18, 4, Non-Forest, 1, 0.0103263114415531, 0.0537909128573401, 5.21137733941956, 4.21137733941956, 0, 80.8112148695151, 
19, 1, Forest, 1199, 0.416776741146536, 0.0447797265571054, 128.344672020305, 1070.6553279797, 89.2956904069804, 0, 
19, 2, Other Vegetation, 64, 0.0422645895381933, 0.0447797265571054, 67.8103027767924, 3.81030277679239, 0, 5.61906173658384, 
19, 3, Cropland, 24, 0.0978593272171254, 0.0447797265571054, 10.9763960038727, 13.0236039961273, 54.2650166505302, 0, 
19, 4, Non-Forest, 10, 0.103241792277514, 0.0447797265571054, 4.33482746555131, 5.66517253444869, 56.6517253444869, 0, 
20, 1, Forest, 179, 0.062469463251204, 0.0160544123739815, 45.9809577908344, 133.019042209166, 74.3123140833327, 0, 
20, 2, Other Vegetation, 280, 0.183695694960177, 0.0160544123739815, 24.4300683544348, 255.569931645565, 91.2749755877019, 0, 
20, 3, Cropland, 5, 0.0202601402001702, 0.0160544123739815, 3.96190176920407, 1.03809823079593, 20.7619646159185, 0, 
20, 4, Non-Forest, 1, 0.0103337811305157, 0.0160544123739815, 1.5536743745975, 0.553674374597496, 0, 35.6364489013944, 
22, 1, Forest, 1076, 0.376284297474419, 0.0419486258804033, 119.55255709048, 956.44744290952, 88.8891675566469, 0, 
22, 2, Other Vegetation, 78, 0.051076870690389, 0.0419486258804033, 64.054316045434, 13.9456839545659, 17.8790819930333, 0, 
22, 3, Cropland, 60, 0.240480961923848, 0.0419486258804033, 10.4453946811689, 49.5546053188311, 82.5910088647185, 0, 
22, 4, Non-Forest, 1, 0.0103018440300814, 0.0419486258804033, 4.07324229712436, 3.07324229712436, 0, 75.4495331469483, 
